"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0033456","GO:0033456",2.31468092020959e-07,1,3,3,"GCG codon-amino acid adaptor activity","MF",0.00268896482500748
"GO:0042628","GO:0042628",0.000227728092008729,0.999999078302235,2,4,"mating plug formation","BP",1
"GO:0005634","GO:0005634",0.00028909371312157,0.999891818126896,28,2403,"nucleus","CC",1
"GO:0098847","GO:0098847",0.000377964470286221,0.999997706534399,2,5,"sequence-specific single stranded DNA binding","MF",1
"GO:0033463","GO:0033463",0.000564757670994915,0.999995432408338,2,6,"GGA codon-amino acid adaptor activity","MF",1
"GO:0006355","GO:0006355",0.000939028760852746,0.999714559561279,14,885,"regulation of DNA-templated transcription","BP",1
"GO:1903506","GO:1903506",0.000939028760852746,0.999714559561279,14,885,"regulation of nucleic acid-templated transcription","BP",1
"GO:2001141","GO:2001141",0.000939028760852746,0.999714559561279,14,885,"regulation of RNA biosynthetic process","BP",1
"GO:0006351","GO:0006351",0.000954833078932105,0.999697369126184,15,992,"DNA-templated transcription","BP",1
"GO:0097659","GO:0097659",0.000954833078932105,0.999697369126184,15,992,"nucleic acid-templated transcription","BP",1
"GO:0032774","GO:0032774",0.000984962519101322,0.999686811307384,15,995,"RNA biosynthetic process","BP",1
"GO:0090304","GO:0090304",0.00117968676156437,0.999545173080567,22,1830,"nucleic acid metabolic process","BP",1
"GO:0051252","GO:0051252",0.00129458967805125,0.999576418578629,15,1022,"regulation of RNA metabolic process","BP",1
"GO:0016070","GO:0016070",0.00157177082938658,0.999400576022635,20,1622,"RNA metabolic process","BP",1
"GO:0010556","GO:0010556",0.00158930363639505,0.999468569370004,15,1043,"regulation of macromolecule biosynthetic process","BP",1
"GO:0009059","GO:0009059",0.00211830220352984,0.999140895516705,22,1912,"macromolecule biosynthetic process","BP",1
"GO:0019219","GO:0019219",0.00214642753495351,0.999258736213538,15,1075,"regulation of nucleobase-containing compound metabolic process","BP",1
"GO:0003676","GO:0003676",0.00230762103630325,0.999071994333732,21,1798,"nucleic acid binding","MF",1
"GO:0031326","GO:0031326",0.0024594696342088,0.999137959096173,15,1090,"regulation of cellular biosynthetic process","BP",1
"GO:0009889","GO:0009889",0.00268868208848677,0.999048382461716,15,1100,"regulation of biosynthetic process","BP",1
"GO:0043565","GO:0043565",0.00319664617291099,0.999156277700344,9,490,"sequence-specific DNA binding","MF",1
"GO:0010467","GO:0010467",0.00347808785959493,0.998454756044094,26,2518,"gene expression","BP",1
"GO:0034654","GO:0034654",0.00408590168815211,0.998484958500976,15,1149,"nucleobase-containing compound biosynthetic process","BP",1
"GO:0034641","GO:0034641",0.00470019781896758,0.997822891678225,28,2849,"cellular nitrogen compound metabolic process","BP",1
"GO:0006139","GO:0006139",0.00569825074865217,0.997470759982273,22,2067,"nucleobase-containing compound metabolic process","BP",1
"GO:0044271","GO:0044271",0.00609066730948584,0.997317299987935,21,1947,"cellular nitrogen compound biosynthetic process","BP",1
"GO:0019438","GO:0019438",0.00622475246941068,0.997578037842007,15,1202,"aromatic compound biosynthetic process","BP",1
