"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00513","path:dme00513",0.00767648886459253,0.999725393999126,2,29,1,"Various types of N-glycan biosynthesis"
"dme03015","path:dme03015",0.0409743869065985,0.996321053602589,2,70,1,"mRNA surveillance pathway"
"dme03013","path:dme03013",0.0606916123953942,0.993199679628482,2,87,1,"Nucleocytoplasmic transport"
"dme00511","path:dme00511",0.0900268728839972,0.996320942097813,1,20,1,"Other glycan degradation"
"dme03020","path:dme03020",0.115538500008304,0.993806045345461,1,26,1,"RNA polymerase"
"dme00630","path:dme00630",0.136292092148693,0.991254366944043,1,31,1,"Glyoxylate and dicarboxylate metabolism"
"dme00270","path:dme00270",0.140388481350468,0.990695973106352,1,32,1,"Cysteine and methionine metabolism"
"dme00020","path:dme00020",0.152570294547706,0.988927142509466,1,35,1,"Citrate cycle (TCA cycle)"
"dme00510","path:dme00510",0.156595353433669,0.988306766460987,1,36,1,"N-Glycan biosynthesis"
"dme03420","path:dme03420",0.18428041815872,0.983547055617237,1,43,1,"Nucleotide excision repair"
"dme00620","path:dme00620",0.192034929850518,0.982056991341911,1,45,1,"Pyruvate metabolism"
"dme04391","path:dme04391",0.226095423771658,0.974673612633477,1,54,1,"Hippo signaling pathway"
"dme04145","path:dme04145",0.293692162419179,0.955763043336013,1,73,1,"Phagosome"
"dme04146","path:dme04146",0.327038629996867,0.944207286414557,1,83,1,"Peroxisome"
"dme04814","path:dme04814",0.374341921323373,0.925090232032758,1,98,1,"Motor proteins"
"dme01200","path:dme01200",0.404151318698159,0.911297983167522,1,108,1,"Carbon metabolism"
"dme04142","path:dme04142",0.412835075222039,0.907013541786115,1,111,1,"Lysosome"
"dme04144","path:dme04144",0.418559183755686,0.904121798134339,1,113,1,"Endocytosis"
"dme03040","path:dme03040",0.443685873901453,0.890777433146423,1,122,1,"Spliceosome"
"dme03008","path:dme03008",0.58304255012244,0.795128160231625,1,180,1,"Ribosome biogenesis in eukaryotes"
"dme01100","path:dme01100",0.896162513775896,0.261677893165336,3,988,1,"Metabolic pathways"
"dme00010","path:dme00010",1,0.79265978724945,0,49,1,"Glycolysis / Gluconeogenesis"
"dme00030","path:dme00030",1,0.905674562198667,0,21,1,"Pentose phosphate pathway"
"dme00040","path:dme00040",1,0.796460811681115,0,48,1,"Pentose and glucuronate interconversions"
"dme00051","path:dme00051",1,0.876105442263693,0,28,1,"Fructose and mannose metabolism"
"dme00052","path:dme00052",1,0.859611518649532,0,32,1,"Galactose metabolism"
"dme00053","path:dme00053",1,0.855533069838421,0,33,1,"Ascorbate and aldarate metabolism"
"dme00061","path:dme00061",1,0.949516497960875,0,11,1,"Fatty acid biosynthesis"
"dme00062","path:dme00062",1,0.931749854329064,0,15,1,"Fatty acid elongation"
"dme00071","path:dme00071",1,0.867822309757524,0,30,1,"Fatty acid degradation"
"dme00100","path:dme00100",1,0.967595399767729,0,7,1,"Steroid biosynthesis"
"dme00130","path:dme00130",1,0.967595399767729,0,7,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00190","path:dme00190",1,0.572951174451086,0,116,1,"Oxidative phosphorylation"
"dme00220","path:dme00220",1,0.922982079336403,0,17,1,"Arginine biosynthesis"
"dme00230","path:dme00230",1,0.656838823704081,0,88,1,"Purine metabolism"
"dme00232","path:dme00232",1,0.967595399767729,0,7,1,"Caffeine metabolism"
"dme00240","path:dme00240",1,0.859611518649532,0,32,1,"Pyrimidine metabolism"
"dme00250","path:dme00250",1,0.884461499991696,0,26,1,"Alanine, aspartate and glutamate metabolism"
"dme00260","path:dme00260",1,0.888667059428379,0,25,1,"Glycine, serine and threonine metabolism"
"dme00280","path:dme00280",1,0.884461499991696,0,26,1,"Valine, leucine and isoleucine degradation"
"dme00290","path:dme00290",1,0.99064079991543,0,2,1,"Valine, leucine and isoleucine biosynthesis"
"dme00310","path:dme00310",1,0.888667059428379,0,25,1,"Lysine degradation"
"dme00330","path:dme00330",1,0.859611518649532,0,32,1,"Arginine and proline metabolism"
"dme00340","path:dme00340",1,0.967595399767729,0,7,1,"Histidine metabolism"
"dme00350","path:dme00350",1,0.901394747837132,0,22,1,"Tyrosine metabolism"
"dme00360","path:dme00360",1,0.967595399767729,0,7,1,"Phenylalanine metabolism"
"dme00380","path:dme00380",1,0.927356401987287,0,16,1,"Tryptophan metabolism"
"dme00400","path:dme00400",1,0.981362514699362,0,4,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00410","path:dme00410",1,0.909973127116003,0,20,1,"beta-Alanine metabolism"
"dme00430","path:dme00430",1,0.967595399767729,0,7,1,"Taurine and hypotaurine metabolism"
"dme00440","path:dme00440",1,0.981362514699362,0,4,1,"Phosphonate and phosphinate metabolism"
"dme00450","path:dme00450",1,0.96304612664043,0,8,1,"Selenocompound metabolism"
"dme00470","path:dme00470",1,0.985991583164924,0,3,1,"D-Amino acid metabolism"
"dme00480","path:dme00480",1,0.723546989124832,0,68,1,"Glutathione metabolism"
"dme00500","path:dme00500",1,0.871954796946846,0,29,1,"Starch and sucrose metabolism"
"dme00512","path:dme00512",1,0.905674562198667,0,21,1,"Mucin type O-glycan biosynthesis"
"dme00514","path:dme00514",1,0.847429705452294,0,35,1,"Other types of O-glycan biosynthesis"
"dme00515","path:dme00515",1,0.981362514699362,0,4,1,"Mannose type O-glycan biosynthesis"
"dme00520","path:dme00520",1,0.835407419093183,0,38,1,"Amino sugar and nucleotide sugar metabolism"
"dme00531","path:dme00531",1,0.940594454997027,0,13,1,"Glycosaminoglycan degradation"
"dme00532","path:dme00532",1,0.958516604337128,0,9,1,"Glycosaminoglycan biosynthesis"
"dme00534","path:dme00534",1,0.954006754226241,0,10,1,"Glycosaminoglycan biosynthesis"
"dme00561","path:dme00561",1,0.81571958184128,0,43,1,"Glycerolipid metabolism"
"dme00562","path:dme00562",1,0.811833779509313,0,44,1,"Inositol phosphate metabolism"
"dme00563","path:dme00563",1,0.888667059428379,0,25,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00564","path:dme00564",1,0.770203045878464,0,55,1,"Glycerophospholipid metabolism"
"dme00565","path:dme00565",1,0.901394747837132,0,22,1,"Ether lipid metabolism"
"dme00590","path:dme00590",1,0.940594454997027,0,13,1,"Arachidonic acid metabolism"
"dme00592","path:dme00592",1,0.954006754226241,0,10,1,"alpha-Linolenic acid metabolism"
"dme00600","path:dme00600",1,0.867822309757524,0,30,1,"Sphingolipid metabolism"
"dme00601","path:dme00601",1,0.99064079991543,0,2,1,"Glycosphingolipid biosynthesis"
"dme00603","path:dme00603",1,0.985991583164924,0,3,1,"Glycosphingolipid biosynthesis"
"dme00604","path:dme00604",1,0.981362514699362,0,4,1,"Glycosphingolipid biosynthesis"
"dme00640","path:dme00640",1,0.897133609029175,0,23,1,"Propanoate metabolism"
"dme00650","path:dme00650",1,0.936162513019875,0,14,1,"Butanoate metabolism"
"dme00670","path:dme00670",1,0.945045757477901,0,12,1,"One carbon pool by folate"
"dme00730","path:dme00730",1,0.901394747837132,0,22,1,"Thiamine metabolism"
"dme00740","path:dme00740",1,0.967595399767729,0,7,1,"Riboflavin metabolism"
"dme00750","path:dme00750",1,0.972164502636229,0,6,1,"Vitamin B6 metabolism"
"dme00760","path:dme00760",1,0.945045757477901,0,12,1,"Nicotinate and nicotinamide metabolism"
"dme00770","path:dme00770",1,0.936162513019875,0,14,1,"Pantothenate and CoA biosynthesis"
"dme00780","path:dme00780",1,0.99064079991543,0,2,1,"Biotin metabolism"
"dme00785","path:dme00785",1,0.931749854329064,0,15,1,"Lipoic acid metabolism"
"dme00790","path:dme00790",1,0.835407419093183,0,38,1,"Folate biosynthesis"
"dme00830","path:dme00830",1,0.855533069838421,0,33,1,"Retinol metabolism"
"dme00860","path:dme00860",1,0.82354274248549,0,41,1,"Porphyrin metabolism"
"dme00900","path:dme00900",1,0.901394747837132,0,22,1,"Terpenoid backbone biosynthesis"
"dme00910","path:dme00910",1,0.931749854329064,0,15,1,"Nitrogen metabolism"
"dme00920","path:dme00920",1,0.976753514449689,0,5,1,"Sulfur metabolism"
"dme00970","path:dme00970",1,0.843404646566331,0,36,1,"Aminoacyl-tRNA biosynthesis"
"dme00980","path:dme00980",1,0.720068397830962,0,69,1,"Metabolism of xenobiotics by cytochrome P450"
"dme00981","path:dme00981",1,0.884461499991696,0,26,1,"Insect hormone biosynthesis"
"dme00982","path:dme00982",1,0.727041086769194,0,67,1,"Drug metabolism"
"dme00983","path:dme00983",1,0.644198325232647,0,92,1,"Drug metabolism"
"dme01040","path:dme01040",1,0.901394747837132,0,22,1,"Biosynthesis of unsaturated fatty acids"
"dme01210","path:dme01210",1,0.905674562198667,0,21,1,"2-Oxocarboxylic acid metabolism"
"dme01212","path:dme01212",1,0.800278654804955,0,47,1,"Fatty acid metabolism"
"dme01230","path:dme01230",1,0.737617052363871,0,64,1,"Biosynthesis of amino acids"
"dme01232","path:dme01232",1,0.766517863840768,0,56,1,"Nucleotide metabolism"
"dme01240","path:dme01240",1,0.545471745007111,0,126,1,"Biosynthesis of cofactors"
"dme01250","path:dme01250",1,0.897133609029175,0,23,1,"Biosynthesis of nucleotide sugars"
"dme02010","path:dme02010",1,0.859611518649532,0,32,1,"ABC transporters"
"dme03010","path:dme03010",1,0.388546893969007,0,194,1,"Ribosome"
"dme03018","path:dme03018",1,0.755559746700653,0,59,1,"RNA degradation"
"dme03022","path:dme03022",1,0.847429705452294,0,35,1,"Basal transcription factors"
"dme03030","path:dme03030",1,0.888667059428379,0,25,1,"DNA replication"
"dme03050","path:dme03050",1,0.781356947936357,0,52,1,"Proteasome"
"dme03060","path:dme03060",1,0.918626809996522,0,18,1,"Protein export"
"dme03083","path:dme03083",1,0.751939298227704,0,60,1,"Polycomb repressive complex"
"dme03250","path:dme03250",1,0.897133609029175,0,23,1,"Viral life cycle"
"dme03266","path:dme03266",1,0.99064079991543,0,2,1,"Virion"
"dme03410","path:dme03410",1,0.909973127116003,0,20,1,"Base excision repair"
"dme03430","path:dme03430",1,0.927356401987287,0,16,1,"Mismatch repair"
"dme03440","path:dme03440",1,0.918626809996522,0,18,1,"Homologous recombination"
"dme03450","path:dme03450",1,0.972164502636229,0,6,1,"Non-homologous end-joining"
"dme03460","path:dme03460",1,0.901394747837132,0,22,1,"Fanconi anemia pathway"
"dme04013","path:dme04013",1,0.672961370003133,0,83,1,"MAPK signaling pathway"
"dme04068","path:dme04068",1,0.777622521346956,0,53,1,"FoxO signaling pathway"
"dme04070","path:dme04070",1,0.751939298227704,0,60,1,"Phosphatidylinositol signaling system"
"dme04080","path:dme04080",1,0.835407419093183,0,38,1,"Neuroactive ligand-receptor interaction"
"dme04120","path:dme04120",1,0.64107348261025,0,93,1,"Ubiquitin mediated proteolysis"
"dme04122","path:dme04122",1,0.96304612664043,0,8,1,"Sulfur relay system"
"dme04130","path:dme04130",1,0.909973127116003,0,20,1,"SNARE interactions in vesicular transport"
"dme04136","path:dme04136",1,0.918626809996522,0,18,1,"Autophagy"
"dme04137","path:dme04137",1,0.807965070149481,0,45,1,"Mitophagy"
"dme04140","path:dme04140",1,0.702905836140084,0,74,1,"Autophagy"
"dme04141","path:dme04141",1,0.553585037932781,0,123,1,"Protein processing in endoplasmic reticulum"
"dme04150","path:dme04150",1,0.660034521573899,0,87,1,"mTOR signaling pathway"
"dme04213","path:dme04213",1,0.788875513568127,0,50,1,"Longevity regulating pathway"
"dme04214","path:dme04214",1,0.751939298227704,0,60,1,"Apoptosis"
"dme04215","path:dme04215",1,0.905674562198667,0,21,1,"Apoptosis"
"dme04310","path:dme04310",1,0.637962637043272,0,94,1,"Wnt signaling pathway"
"dme04320","path:dme04320",1,0.888667059428379,0,25,1,"Dorso-ventral axis formation"
"dme04330","path:dme04330",1,0.905674562198667,0,21,1,"Notch signaling pathway"
"dme04341","path:dme04341",1,0.839397241447412,0,37,1,"Hedgehog signaling pathway"
"dme04350","path:dme04350",1,0.839397241447412,0,37,1,"TGF-beta signaling pathway"
"dme04392","path:dme04392",1,0.918626809996522,0,18,1,"Hippo signaling pathway"
"dme04512","path:dme04512",1,0.958516604337128,0,9,1,"ECM-receptor interaction"
"dme04624","path:dme04624",1,0.679512060049187,0,81,1,"Toll and Imd signaling pathway"
"dme04711","path:dme04711",1,0.949516497960875,0,11,1,"Circadian rhythm"
"dme04745","path:dme04745",1,0.876105442263693,0,28,1,"Phototransduction"
