"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0030527","GO:0030527",1.66834545510909e-70,1,112,114,"structural constituent of chromatin","MF",1.93811691520023e-66
"GO:0000786","GO:0000786",5.01847372983739e-69,1,112,115,"nucleosome","CC",2.91498046597605e-65
"GO:0044815","GO:0044815",8.2740018906098e-56,1,117,137,"DNA packaging complex","CC",3.20396933210714e-52
"GO:0032993","GO:0032993",4.26663808811054e-55,1,117,138,"protein-DNA complex","CC",1.2391383667395e-51
"GO:0006334","GO:0006334",1.48531412606056e-49,1,89,96,"nucleosome assembly","BP",3.45097884048912e-46
"GO:0034728","GO:0034728",1.65740271063858e-40,1,93,115,"nucleosome organization","BP",3.2090078815814e-37
"GO:0065004","GO:0065004",2.91099212855779e-32,1,96,138,"protein-DNA complex assembly","BP",4.83099936535083e-29
"GO:0035059","GO:0035059",5.37490077993184e-30,1,45,45,"RCAF complex","CC",7.80502779505852e-27
"GO:0071824","GO:0071824",4.22963896771946e-29,1,103,163,"protein-DNA complex subunit organization","BP",5.45952398755522e-26
"GO:0006325","GO:0006325",1.94767491269103e-25,1,157,324,"chromatin organization","BP",2.26261394607317e-22
"GO:0046982","GO:0046982",2.80724420777011e-23,1,107,194,"protein heterodimerization activity","MF",2.96470508742412e-20
"GO:0006338","GO:0006338",3.82597944797544e-21,1,119,237,"chromatin remodeling","BP",3.70386693726089e-18
"GO:0000785","GO:0000785",2.815153903123e-20,1,151,337,"chromatin","CC",2.51566483789076e-17
"GO:0031490","GO:0031490",7.09341705804729e-18,1,55,82,"chromatin DNA binding","MF",5.88601614023824e-15
"GO:0031492","GO:0031492",6.51227562572133e-17,1,27,28,"nucleosomal DNA binding","MF",5.04354039626698e-14
"GO:0031491","GO:0031491",7.24395834390463e-17,1,34,40,"nucleosome binding","MF",5.25956650507125e-14
"GO:0046983","GO:0046983",1.82630429859919e-14,0.999999999999993,131,316,"protein dimerization activity","MF",1.24801041393099e-11
"GO:0005694","GO:0005694",1.00748131599087e-10,0.999999999945784,194,572,"chromosome","CC",6.50217247103662e-08
"GO:0043933","GO:0043933",2.1189906133974e-10,0.999999999883835,198,591,"protein-containing complex organization","BP",1.29559547135987e-07
"GO:0065003","GO:0065003",2.92059088293159e-10,0.999999999845801,174,506,"protein-containing complex assembly","BP",1.69642521435081e-07
"GO:0003677","GO:0003677",4.75016802850361e-10,0.99999999971329,266,850,"DNA binding","MF",2.62774771367269e-07
"GO:0005704","GO:0005704",1.66688564002418e-09,0.999999999871089,21,27,"polytene chromosome band","CC",8.80191385461858e-07
"GO:0005198","GO:0005198",2.07733078367104e-09,0.999999998832486,190,576,"structural molecule activity","MF",1.04923268321332e-06
"GO:0004867","GO:0004867",4.22803924208962e-08,0.999999989675127,36,68,"serine-type endopeptidase inhibitor activity","MF",2.04654716147313e-05
"GO:0003682","GO:0003682",7.02471793943555e-08,0.999999968651567,84,219,"chromatin binding","MF",3.15268209965333e-05
"GO:0010525","GO:0010525",7.59878615738084e-08,0.999999994026623,17,22,"regulation of transposition, RNA-mediated","BP",3.15268209965333e-05
"GO:0010526","GO:0010526",7.59878615738084e-08,0.999999994026623,17,22,"negative regulation of transposition, RNA-mediated","BP",3.15268209965333e-05
"GO:0032197","GO:0032197",7.59878615738084e-08,0.999999994026623,17,22,"transposition, RNA-mediated","BP",3.15268209965333e-05
"GO:0030414","GO:0030414",3.22577162563756e-07,0.999999904519655,39,81,"peptidase inhibitor activity","MF",0.000124034250565335
"GO:0004558","GO:0004558",3.30985776665695e-07,1,10,10,"alpha-1,4-glucosidase activity","MF",0.000124034250565335
"GO:0032450","GO:0032450",3.30985776665695e-07,1,10,10,"maltose alpha-glucosidase activity","MF",0.000124034250565335
"GO:0004866","GO:0004866",4.7022849941532e-07,0.999999860672592,38,79,"endopeptidase inhibitor activity","MF",0.000170707639928368
"GO:0090599","GO:0090599",7.08245540875971e-07,0.999999983322811,11,12,"alpha-glucosidase activity","MF",0.000239305271597315
"GO:0061134","GO:0061134",7.19988958190672e-07,0.999999772437736,40,86,"peptidase regulator activity","MF",0.000239305271597315
"GO:0032991","GO:0032991",7.20985151580101e-07,0.999999451225641,623,2374,"protein-containing complex","CC",0.000239305271597315
"GO:0061135","GO:0061135",1.03871124125921e-06,0.999999677422837,38,81,"endopeptidase regulator activity","MF",0.000326830043400499
"GO:0015926","GO:0015926",1.04094960883347e-06,0.999999937013564,13,16,"glucosidase activity","MF",0.000326830043400499
"GO:0006352","GO:0006352",2.09793191239894e-06,0.999999283018434,41,92,"DNA-templated transcription initiation","BP",0.00064135986911417
"GO:0005700","GO:0005700",3.2825158628954e-06,0.999998471693211,69,185,"polytene chromosome","CC",0.000977768891775792
"GO:0031057","GO:0031057",3.50375111483688e-06,0.999999506420812,17,26,"negative regulation of histone modification","BP",0.0010175769175265
"GO:0044877","GO:0044877",6.2089404974272e-06,0.999996568326276,102,305,"protein-containing complex binding","MF",0.00175925028679541
"GO:0004857","GO:0004857",7.87425581236529e-06,0.999996892282766,46,112,"enzyme inhibitor activity","MF",0.00217798166124399
"GO:0022607","GO:0022607",1.57417900602816e-05,0.999988580582981,307,1112,"cellular component assembly","BP",0.0042528459332626
"GO:0010529","GO:0010529",3.33272921036185e-05,0.999991923883055,21,40,"negative regulation of transposition","BP",0.0087991625538122
"GO:0003676","GO:0003676",6.78074502816844e-05,0.999946946301239,468,1798,"nucleic acid binding","MF",0.0175048699982739
"GO:0010528","GO:0010528",8.50606807367339e-05,0.999977262750372,21,42,"regulation of transposition","BP",0.0210244665557157
"GO:0032196","GO:0032196",8.50606807367339e-05,0.999977262750372,21,42,"transposition","BP",0.0210244665557157
"GO:0016043","GO:0016043",9.9259203431256e-05,0.999919941026664,619,2443,"cellular component organization","BP",0.0240227951304354
"GO:0006998","GO:0006998",0.000103078526116946,0.999987975056615,11,16,"nuclear envelope organization","BP",0.0244380252632769
"GO:0044085","GO:0044085",0.00012566301921938,0.999904178375822,341,1280,"cellular component biogenesis","BP",0.0290150241382063
"GO:1904825","GO:1904825",0.000129877012583862,1,6,6,"protein localization to microtubule plus-end","BP",0.0290150241382063
"GO:1905725","GO:1905725",0.000129877012583862,1,6,6,"protein localization to microtubule end","BP",0.0290150241382063
"GO:0060025","GO:0060025",0.000133380901804094,0.999986428454631,10,14,"regulation of synaptic activity","BP",0.0292355837029841
"GO:0006171","GO:0006171",0.000165010692325715,0.999986154639562,9,12,"cAMP biosynthetic process","BP",0.0354986891249599
"GO:0007179","GO:0007179",0.000187635123093613,0.999993439368797,7,8,"transforming growth factor beta receptor signaling pathway","BP",0.0392567081310316
"GO:0015012","GO:0015012",0.000189237811426166,0.999988240611906,8,10,"heparan sulfate proteoglycan biosynthetic process","BP",0.0392567081310316
"GO:0071840","GO:0071840",0.000214894371334526,0.999824255179705,649,2587,"cellular component organization or biogenesis","BP",0.0437969809086524
"GO:0046058","GO:0046058",0.00031918432943516,0.999959520812011,10,15,"cAMP metabolic process","BP",0.0639304199146251
"GO:0007525","GO:0007525",0.000389522778305205,0.999836822060549,33,84,"somatic muscle development","BP",0.076696374840196
"GO:0050777","GO:0050777",0.000406697395249964,0.999862922048802,23,52,"negative regulation of immune response","BP",0.0787433940103139
"GO:0004016","GO:0004016",0.000428728472412889,0.999952197209935,9,13,"adenylate cyclase activity","MF",0.0803312687745246
"GO:0033462","GO:0033462",0.000428728472412889,0.999952197209935,9,13,"GGC codon-amino acid adaptor activity","MF",0.0803312687745246
"GO:0030201","GO:0030201",0.000556174126136649,0.99994836330659,8,11,"heparan sulfate proteoglycan metabolic process","BP",0.100147213663635
"GO:0017015","GO:0017015",0.000577590024572912,1,5,5,"regulation of transforming growth factor beta receptor signaling pathway","BP",0.100147213663635
"GO:0030512","GO:0030512",0.000577590024572912,1,5,5,"negative regulation of transforming growth factor beta receptor signaling pathway","BP",0.100147213663635
"GO:0050431","GO:0050431",0.000577590024572912,1,5,5,"transforming growth factor beta binding","MF",0.100147213663635
"GO:1903844","GO:1903844",0.000577590024572912,1,5,5,"regulation of cellular response to transforming growth factor beta stimulus","BP",0.100147213663635
"GO:0071559","GO:0071559",0.000678965299260083,0.99995274492724,7,9,"response to transforming growth factor beta","BP",0.111156801177856
"GO:0071560","GO:0071560",0.000678965299260083,0.99995274492724,7,9,"cellular response to transforming growth factor beta stimulus","BP",0.111156801177856
"GO:0004033","GO:0004033",0.00067936066829885,0.999896921473883,10,16,"aldo-keto reductase (NADP) activity","MF",0.111156801177856
"GO:0007193","GO:0007193",0.00067936066829885,0.999896921473883,10,16,"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","BP",0.111156801177856
"GO:0035372","GO:0035372",0.000733969431950824,0.999970805057311,6,7,"protein localization to microtubule","BP",0.118423929041288
"GO:0031056","GO:0031056",0.000855275180271734,0.99970800403302,21,48,"regulation of histone modification","BP",0.136105914646805
"GO:0000228","GO:0000228",0.00130747404424349,0.999340717043791,41,117,"nuclear chromosome","CC",0.196827418284718
"GO:0043228","GO:0043228",0.00132094558785719,0.998933840945365,389,1521,"non-membrane-bounded organelle","CC",0.196827418284718
