"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00500","path:dme00500",0.00351656031321701,0.99898567860358,13,29,0.495835004163598,"Starch and sucrose metabolism"
"dme04150","path:dme04150",0.0193089190494194,0.989633255553792,27,87,0.714411106161372,"mTOR signaling pathway"
"dme04213","path:dme04213",0.024577583721878,0.988727644032726,17,50,0.714411106161372,"Longevity regulating pathway"
"dme00052","path:dme00052",0.0248373229557733,0.990511605648209,12,32,0.714411106161372,"Galactose metabolism"
"dme02010","path:dme02010",0.0263688682655188,0.989830677524858,12,32,0.714411106161372,"ABC transporters"
"dme00564","path:dme00564",0.0304004726026116,0.985254934171564,18,55,0.714411106161372,"Glycerophospholipid metabolism"
"dme00534","path:dme00534",0.0414098448901363,0.991430237702053,5,10,0.834112589929888,"Glycosaminoglycan biosynthesis"
"dme04142","path:dme04142",0.0521947425594924,0.967592838483789,31,111,0.919932337611054,"Lysosome"
"dme00062","path:dme00062",0.0768902399704673,0.975891745833956,6,15,1,"Fatty acid elongation"
"dme00071","path:dme00071",0.166541900632164,0.916383097277901,9,30,1,"Fatty acid degradation"
"dme00360","path:dme00360",0.168945698466202,0.959539954395113,3,7,1,"Phenylalanine metabolism"
"dme04624","path:dme04624",0.177574348959782,0.882523725850306,21,81,1,"Toll and Imd signaling pathway"
"dme00190","path:dme00190",0.178849668992603,0.873496150943649,29,116,1,"Oxidative phosphorylation"
"dme00561","path:dme00561",0.182755195393113,0.89559918044151,12,43,1,"Glycerolipid metabolism"
"dme00400","path:dme00400",0.199173383506457,0.968111389501198,2,4,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00515","path:dme00515",0.200318274872408,0.967803730691996,2,4,1,"Mannose type O-glycan biosynthesis"
"dme03015","path:dme03015",0.213749883454856,0.859082727660547,18,70,1,"mRNA surveillance pathway"
"dme00450","path:dme00450",0.229285899231484,0.932580918484922,3,8,1,"Selenocompound metabolism"
"dme00760","path:dme00760",0.237584670443188,0.911037275116762,4,12,1,"Nicotinate and nicotinamide metabolism"
"dme03018","path:dme03018",0.256081331298394,0.832335990498689,15,59,1,"RNA degradation"
"dme03040","path:dme03040",0.269331337413507,0.798231227275186,29,122,1,"Spliceosome"
"dme04320","path:dme04320",0.272128949008918,0.856494095311338,7,25,1,"Dorso-ventral axis formation"
"dme01212","path:dme01212",0.281773654758137,0.821557857147312,12,47,1,"Fatty acid metabolism"
"dme04141","path:dme04141",0.2870542155286,0.782901762960152,29,123,1,"Protein processing in endoplasmic reticulum"
