"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0006334","GO:0006334",1,"GO:0006334",0.997,27.5797387808838,133,"nucleosome assembly","nucleosome assembly"
"GO:0034728","GO:0034728",1,"GO:0006334",0.977,24.5593172543426,11,"nucleosome organization","nucleosome assembly"
"GO:0071824","GO:0071824",1,"GO:0006334",0.946,14.8609812635367,0,"protein-DNA complex subunit organization","nucleosome assembly"
"GO:0065004","GO:0065004",1,"GO:0006334",0.966,13.4123984781093,3,"protein-DNA complex assembly","nucleosome assembly"
"GO:0006325","GO:0006325",1,"GO:0006334",0.836,12.9038592374124,110,"chromatin organization","nucleosome assembly"
"GO:0006338","GO:0006338",1,"GO:0006334",0.878,10.7381813969158,94,"chromatin remodeling","nucleosome assembly"
"GO:0010525","GO:0010525",2,"GO:0010525",1,4.31921702506918,0,"regulation of transposition, RNA-mediated","regulation of transposition, RNA-mediated"
"GO:0032197","GO:0032197",2,"GO:0010525",1,4.31921702506918,0,"transposition, RNA-mediated","regulation of transposition, RNA-mediated"
"GO:0010526","GO:0010526",2,"GO:0010525",1,4.31921702506918,24,"negative regulation of transposition, RNA-mediated","regulation of transposition, RNA-mediated"
"GO:0043933","GO:0043933",1,"GO:0006334",0.793,4.06350403536503,0,"protein-containing complex organization","nucleosome assembly"
"GO:0065003","GO:0065003",1,"GO:0006334",0.818,2.50660916581552,2,"protein-containing complex assembly","nucleosome assembly"
"GO:0031057","GO:0031057",3,"GO:0031057",0.999,1.91123062774264,17,"negative regulation of histone modification","negative regulation of histone modification"
"GO:0006352","GO:0006352",4,"GO:0006352",0.997,1.43968048334557,34,"DNA-templated transcription initiation","DNA-templated transcription initiation"
