"","GO:0006334","GO:0034728","GO:0071824","GO:0065004","GO:0006325","GO:0006338","GO:0010525","GO:0010526","GO:0032197","GO:0043933","GO:0065003","GO:0031057","GO:0006352"
"GO:0006334",0.997,0.977,0.946,0.966,0.836,0.878,0.023,0.023,0.023,0.793,0.818,0,0.027
"GO:0034728",0.977,0.997,0.966,0.949,0.855,0.898,0.024,0.024,0.024,0.812,0.797,0,0.027
"GO:0071824",0.946,0.966,0.995,0.977,0.341,0.329,0.024,0.024,0.024,0.84,0.824,0,0.028
"GO:0065004",0.966,0.949,0.977,0.996,0.334,0.323,0.024,0.024,0.024,0.822,0.847,0,0.028
"GO:0006325",0.836,0.855,0.341,0.334,0.987,0.948,0.026,0.026,0.026,0.396,0.388,0,0.031
"GO:0006338",0.878,0.898,0.329,0.323,0.948,0.991,0.025,0.025,0.025,0.38,0.372,0,0.03
"GO:0010525",0.023,0.024,0.024,0.024,0.026,0.025,1,1,1,0.027,0.027,0.137,0.023
"GO:0010526",0.023,0.024,0.024,0.024,0.026,0.025,1,1,1,0.027,0.027,0.336,0.023
"GO:0032197",0.023,0.024,0.024,0.024,0.026,0.025,1,1,1,0.027,0.027,0,0.023
"GO:0043933",0.793,0.812,0.84,0.822,0.396,0.38,0.027,0.027,0.027,0.982,0.959,0,0.032
"GO:0065003",0.818,0.797,0.824,0.847,0.388,0.372,0.027,0.027,0.027,0.959,0.985,0,0.032
"GO:0031057",0,0,0,0,0,0,0.137,0.336,0,0,0,0.999,0.174
"GO:0006352",0.027,0.027,0.028,0.028,0.031,0.03,0.023,0.023,0.023,0.032,0.032,0.174,0.997
