"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04141","path:dme04141",0.00633666251929078,0.996293575370976,64,123,0.640234616425387,"Protein processing in endoplasmic reticulum"
"dme04150","path:dme04150",0.0136803723675441,0.992336233980792,46,87,0.640234616425387,"mTOR signaling pathway"
"dme00534","path:dme00534",0.0145257128649138,0.997950228194133,8,10,0.640234616425387,"Glycosaminoglycan biosynthesis"
"dme00360","path:dme00360",0.0219076377179364,0.998018868865852,6,7,0.640234616425387,"Phenylalanine metabolism"
"dme04814","path:dme04814",0.0227033551923896,0.986343754827683,50,98,0.640234616425387,"Motor proteins"
"dme00532","path:dme00532",0.0291494016118162,0.995412716217868,7,9,0.685010937877681,"Glycosaminoglycan biosynthesis"
"dme04213","path:dme04213",0.0369196503627066,0.980925499954448,27,50,0.743667243020232,"Longevity regulating pathway"
"dme04145","path:dme04145",0.0543994386671667,0.967209154219625,37,73,0.830223364766875,"Phagosome"
"dme00052","path:dme00052",0.0578278214462374,0.973137990528523,18,32,0.830223364766875,"Galactose metabolism"
"dme00330","path:dme00330",0.0588810896997784,0.972571878585044,18,32,0.830223364766875,"Arginine and proline metabolism"
"dme04120","path:dme04120",0.073646888184291,0.951638436485837,45,93,0.944019203089548,"Ubiquitin mediated proteolysis"
"dme00500","path:dme00500",0.0873174968699523,0.958243318988743,16,29,1,"Starch and sucrose metabolism"
"dme04320","path:dme04320",0.0959349249997927,0.956059245331979,14,25,1,"Dorso-ventral axis formation"
"dme00270","path:dme00270",0.108700007878166,0.943958575487278,17,32,1,"Cysteine and methionine metabolism"
"dme00350","path:dme00350",0.143579199723964,0.932119916301194,12,22,1,"Tyrosine metabolism"
"dme04144","path:dme04144",0.158427486299132,0.883819664180392,52,113,1,"Endocytosis"
"dme03040","path:dme03040",0.166383950289564,0.876104636232865,54,122,1,"Spliceosome"
"dme03018","path:dme03018",0.16971494780945,0.888689462195399,28,59,1,"RNA degradation"
"dme00510","path:dme00510",0.1704610338688,0.901145927974452,18,36,1,"N-Glycan biosynthesis"
"dme03050","path:dme03050",0.17654541385404,0.88675762496714,25,52,1,"Proteasome"
"dme04122","path:dme04122",0.179475231493311,0.947968235088146,5,8,1,"Sulfur relay system"
