"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0008061","GO:0008061",1.16954949120492e-06,0.99999958213037,44,111,"chitin binding","MF",0.0087322589812944
"GO:0033460","GO:0033460",1.50335869523877e-06,0.999999936426647,11,13,"GAG codon-amino acid adaptor activity","MF",0.0087322589812944
"GO:0005868","GO:0005868",3.97717040442924e-05,0.999993409984066,14,25,"cytoplasmic dynein complex","CC",0.152465842645442
"GO:0042026","GO:0042026",6.26221846117595e-05,0.999987309392752,16,30,"protein refolding","BP",0.152465842645442
"GO:0005332","GO:0005332",7.87462387770208e-05,1,6,6,"gamma-aminobutyric acid:sodium:chloride symporter activity","MF",0.152465842645442
"GO:0140161","GO:0140161",7.87462387770208e-05,1,6,6,"monocarboxylate:sodium symporter activity","MF",0.152465842645442
"GO:1902494","GO:1902494",0.000110356813397945,0.999920545433592,229,913,"catalytic complex","CC",0.183145014463419
"GO:0004806","GO:0004806",0.000154106032360955,0.999954838032589,21,47,"triglyceride lipase activity","MF",0.223781222242152
"GO:0007156","GO:0007156",0.000212564482615001,0.999943767387611,18,38,"homophilic cell adhesion via plasma membrane adhesion molecules","BP",0.274373510504274
"GO:0140575","GO:0140575",0.000286626939687074,1,5,5,"transmembrane monodehydroascorbate reductase activity","MF",0.332974515834474
"GO:0015373","GO:0015373",0.000393419993347199,0.999975287527178,7,9,"anion:sodium symporter activity","MF",0.35754919481692
"GO:0015378","GO:0015378",0.000393419993347199,0.999975287527178,7,9,"sodium:chloride symporter activity","MF",0.35754919481692
"GO:0061077","GO:0061077",0.000400115307964186,0.999874979581406,20,47,"chaperone-mediated protein folding","BP",0.35754919481692
"GO:0006520","GO:0006520",0.000573065314913307,0.999717385473706,43,130,"cellular amino acid metabolic process","BP",0.457534886277611
"GO:0030286","GO:0030286",0.000590774149450303,0.999813393105399,19,46,"dynein complex","CC",0.457534886277611
"GO:0032880","GO:0032880",0.000699770199014107,0.999693867024575,32,90,"regulation of protein localization","BP",0.478907191130438
"GO:0015296","GO:0015296",0.000742044369488498,0.999917402504705,8,12,"anion:cation symporter activity","MF",0.478907191130438
"GO:0015377","GO:0015377",0.000742044369488498,0.999917402504705,8,12,"cation:chloride symporter activity","MF",0.478907191130438
"GO:0006950","GO:0006950",0.00083242369074789,0.999361146560779,262,1090,"response to stress","BP",0.508961369232539
"GO:0009066","GO:0009066",0.00108879149306123,0.999805201248854,10,18,"aspartate family amino acid metabolic process","BP",0.617440253981158
"GO:0016788","GO:0016788",0.00113085944171859,0.999239765664901,110,412,"hydrolase activity, acting on ester bonds","MF",0.617440253981158
"GO:0043227","GO:0043227",0.00116929375807743,0.999006394578481,931,4287,"membrane-bounded organelle","CC",0.617440253981158
"GO:0042175","GO:0042175",0.00127922055853285,0.999242567161193,64,222,"nuclear outer membrane-endoplasmic reticulum membrane network","CC",0.622609712034058
"GO:0005789","GO:0005789",0.00128627296968386,0.999241490830625,63,218,"endoplasmic reticulum membrane","CC",0.622609712034058
"GO:0015103","GO:0015103",0.00144726278604909,0.999422373160504,24,64,"inorganic anion transmembrane transporter activity","MF",0.641808664682048
"GO:0015185","GO:0015185",0.00149167891421325,0.99989350151377,6,8,"gamma-aminobutyric acid transmembrane transporter activity","MF",0.641808664682048
"GO:0015355","GO:0015355",0.00149167891421325,0.99989350151377,6,8,"secondary active monocarboxylate transmembrane transporter activity","MF",0.641808664682048
"GO:0045503","GO:0045503",0.00157899694815646,0.999781125081084,8,13,"dynein light chain binding","MF",0.655114555240486
"GO:0052689","GO:0052689",0.00169151586495366,0.999166109768582,36,110,"carboxylic ester hydrolase activity","MF",0.677597924247125
"GO:0051082","GO:0051082",0.00187387981972518,0.99921321596311,25,70,"unfolded protein binding","MF",0.725628728858247
"GO:0006457","GO:0006457",0.00247631326335952,0.998716930092994,38,121,"protein folding","BP",0.927978425175726
"GO:0070201","GO:0070201",0.0030145603149084,0.998830590880496,20,53,"regulation of establishment of protein localization","BP",1
"GO:0098827","GO:0098827",0.0030150646570107,0.998143274646007,63,225,"endoplasmic reticulum subcompartment","CC",1
"GO:0008340","GO:0008340",0.00313036606028822,0.998292876633301,42,137,"determination of adult lifespan","BP",1
"GO:0007018","GO:0007018",0.0033998998840689,0.998013723314568,51,176,"microtubule-based movement","BP",1
"GO:0060341","GO:0060341",0.00344531115781089,0.998109853581447,42,137,"regulation of cellular localization","BP",1
"GO:0051223","GO:0051223",0.0034476743752251,0.998682662126502,19,50,"regulation of protein transport","BP",1
"GO:0030705","GO:0030705",0.00350903185908523,0.998383126988559,27,79,"cytoskeleton-dependent intracellular transport","BP",1
"GO:0016298","GO:0016298",0.00351679621573815,0.998435931849841,25,72,"lipase activity","MF",1
"GO:0070085","GO:0070085",0.00358167454131222,0.998241129318962,31,95,"glycosylation","BP",1
