"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04814","path:dme04814",0.000249211319738332,0.999894435462256,36,98,0.0351387960831048,"Motor proteins"
"dme00270","path:dme00270",0.00982584231954769,0.996644077115272,13,32,0.414939860262314,"Cysteine and methionine metabolism"
"dme00330","path:dme00330",0.00982584231954769,0.996644077115272,13,32,0.414939860262314,"Arginine and proline metabolism"
"dme04141","path:dme04141",0.0117713435535408,0.993305352785341,37,123,0.414939860262314,"Protein processing in endoplasmic reticulum"
"dme04145","path:dme04145",0.0451951388638328,0.975062094668234,22,73,0.983325564446379,"Phagosome"
"dme00970","path:dme00970",0.0622769923311485,0.971657855979851,12,36,0.983325564446379,"Aminoacyl-tRNA biosynthesis"
"dme04120","path:dme04120",0.0725719217114691,0.955338115539799,26,93,0.983325564446379,"Ubiquitin mediated proteolysis"
"dme04391","path:dme04391",0.0913735925617007,0.949831552191398,16,54,0.983325564446379,"Hippo signaling pathway"
"dme04144","path:dme04144",0.100721295888565,0.933259319751563,30,113,0.983325564446379,"Endocytosis"
"dme00532","path:dme00532",0.102685724665056,0.974971824993984,4,9,0.983325564446379,"Glycosaminoglycan biosynthesis"
"dme03050","path:dme03050",0.120629760028236,0.931926190552858,15,52,0.983325564446379,"Proteasome"
"dme00510","path:dme00510",0.123120179185223,0.937723007668851,11,36,0.983325564446379,"N-Glycan biosynthesis"
"dme00860","path:dme00860",0.142356401791833,0.923101870161364,12,41,0.983325564446379,"Porphyrin metabolism"
"dme00513","path:dme00513",0.143503581286558,0.930798773033402,9,29,0.983325564446379,"Various types of N-glycan biosynthesis"
"dme00053","path:dme00053",0.14388801999693,0.927368029855967,10,33,0.983325564446379,"Ascorbate and aldarate metabolism"
"dme00350","path:dme00350",0.167960521731046,0.924681226903027,7,22,0.983325564446379,"Tyrosine metabolism"
"dme00100","path:dme00100",0.16991825628113,0.959191633499859,3,7,0.983325564446379,"Steroid biosynthesis"
"dme00360","path:dme00360",0.16991825628113,0.959191633499859,3,7,0.983325564446379,"Phenylalanine metabolism"
"dme00740","path:dme00740",0.16991825628113,0.959191633499859,3,7,0.983325564446379,"Riboflavin metabolism"
"dme01100","path:dme01100",0.176721954377251,0.847175075880423,220,988,0.983325564446379,"Metabolic pathways"
"dme03420","path:dme03420",0.185073445199304,0.893995276042304,12,43,0.983325564446379,"Nucleotide excision repair"
"dme03022","path:dme03022",0.192410889679468,0.895470794575744,10,35,0.983325564446379,"Basal transcription factors"
"dme01250","path:dme01250",0.199913503032653,0.905074864101198,7,23,0.983325564446379,"Biosynthesis of nucleotide sugars"
"dme00440","path:dme00440",0.200157057907975,0.967847040632216,2,4,0.983325564446379,"Phosphonate and phosphinate metabolism"
"dme00515","path:dme00515",0.200157057907975,0.967847040632216,2,4,0.983325564446379,"Mannose type O-glycan biosynthesis"
"dme04068","path:dme04068",0.219975203757656,0.863002437638121,14,53,0.983325564446379,"FoxO signaling pathway"
"dme00240","path:dme00240",0.224302370928098,0.877704722382736,9,32,0.983325564446379,"Pyrimidine metabolism"
"dme04122","path:dme04122",0.230966455159852,0.931828741850073,3,8,0.983325564446379,"Sulfur relay system"
"dme04130","path:dme04130",0.237835484797163,0.888220938555907,6,20,0.983325564446379,"SNARE interactions in vesicular transport"
"dme03430","path:dme03430",0.240130020118701,0.896719279881206,5,16,0.983325564446379,"Mismatch repair"
"dme00830","path:dme00830",0.254457752527286,0.85611198000307,9,33,0.983325564446379,"Retinol metabolism"
"dme00260","path:dme00260",0.269805705676991,0.858102056437002,7,25,0.983325564446379,"Glycine, serine and threonine metabolism"
"dme04320","path:dme04320",0.269805705676991,0.858102056437002,7,25,0.983325564446379,"Dorso-ventral axis formation"
"dme00920","path:dme00920",0.28840776573942,0.932219003839191,2,5,0.983325564446379,"Sulfur metabolism"
"dme01232","path:dme01232",0.29120761462116,0.806996694362228,14,56,0.983325564446379,"Nucleotide metabolism"
"dme00040","path:dme00040",0.312613767612763,0.796786877796427,12,48,0.983325564446379,"Pentose and glucuronate interconversions"
"dme00562","path:dme00562",0.324473244619256,0.791544928548597,11,44,0.983325564446379,"Inositol phosphate metabolism"
"dme03060","path:dme03060",0.331375803705284,0.835332885348758,5,18,0.983325564446379,"Protein export"
"dme00650","path:dme00650",0.345164781998972,0.84242512306463,4,14,0.983325564446379,"Butanoate metabolism"
"dme00770","path:dme00770",0.345164781998972,0.84242512306463,4,14,0.983325564446379,"Pantothenate and CoA biosynthesis"
"dme03040","path:dme03040",0.354171794818756,0.724491189302142,28,122,0.983325564446379,"Spliceosome"
"dme00534","path:dme00534",0.360082890739305,0.856504010367544,3,10,0.983325564446379,"Glycosaminoglycan biosynthesis"
"dme00052","path:dme00052",0.36651535816007,0.775697629071902,8,32,0.983325564446379,"Galactose metabolism"
"dme03450","path:dme03450",0.375318925421634,0.885414553625008,2,6,0.983325564446379,"Non-homologous end-joining"
"dme00290","path:dme00290",0.379875727945017,0.954911802981092,1,2,0.983325564446379,"Valine, leucine and isoleucine biosynthesis"
"dme00780","path:dme00780",0.379875727945017,0.954911802981092,1,2,0.983325564446379,"Biotin metabolism"
"dme03266","path:dme03266",0.379875727945017,0.954911802981092,1,2,0.983325564446379,"Virion"
"dme00051","path:dme00051",0.38354213931774,0.770648954083691,7,28,0.983325564446379,"Fructose and mannose metabolism"
"dme04341","path:dme04341",0.384681607785264,0.752924880212893,9,37,0.983325564446379,"Hedgehog signaling pathway"
"dme04350","path:dme04350",0.384681607785264,0.752924880212893,9,37,0.983325564446379,"TGF-beta signaling pathway"
"dme04150","path:dme04150",0.385128277874302,0.709905431563489,20,87,0.983325564446379,"mTOR signaling pathway"
"dme00520","path:dme00520",0.418330701080659,0.723743248388787,9,38,0.983325564446379,"Amino sugar and nucleotide sugar metabolism"
"dme00790","path:dme00790",0.418330701080659,0.723743248388787,9,38,0.983325564446379,"Folate biosynthesis"
"dme04711","path:dme04711",0.424070910762183,0.810551829321703,3,11,0.983325564446379,"Circadian rhythm"
"dme03410","path:dme03410",0.425106979490868,0.762164515202837,5,20,0.983325564446379,"Base excision repair"
"dme03030","path:dme03030",0.444802738703764,0.730194294323009,6,25,0.983325564446379,"DNA replication"
"dme00380","path:dme00380",0.451837056870695,0.759869979881299,4,16,0.983325564446379,"Tryptophan metabolism"
"dme00232","path:dme00232",0.457479193077835,0.83008174371887,2,7,0.983325564446379,"Caffeine metabolism"
"dme00340","path:dme00340",0.457479193077835,0.83008174371887,2,7,0.983325564446379,"Histidine metabolism"
"dme00430","path:dme00430",0.457479193077835,0.83008174371887,2,7,0.983325564446379,"Taurine and hypotaurine metabolism"
"dme00512","path:dme00512",0.471210336196894,0.722423761968417,5,21,0.983325564446379,"Mucin type O-glycan biosynthesis"
"dme00514","path:dme00514",0.473805445176451,0.681827389748419,8,35,0.983325564446379,"Other types of O-glycan biosynthesis"
"dme00010","path:dme00010",0.474466473186253,0.65942061913643,11,49,0.983325564446379,"Glycolysis / Gluconeogenesis"
"dme00670","path:dme00670",0.485679562178632,0.760755043487166,3,12,0.983325564446379,"One carbon pool by folate"
"dme00250","path:dme00250",0.486159882439105,0.693054407080705,6,26,0.983325564446379,"Alanine, aspartate and glutamate metabolism"
"dme00280","path:dme00280",0.486159882439105,0.693054407080705,6,26,0.983325564446379,"Valine, leucine and isoleucine degradation"
