"","FBgn","Symbol","CG","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0041100","FBgn0041100","park","CG10523",0,0,0,0,1,1
"FBgn0031049","FBgn0031049","Sec61gamma","CG14214",0,0,0,0,0,1
"FBgn0034510","FBgn0034510","CG13426","CG13426",0,0,0,0,1,1
"FBgn0039147","FBgn0039147","CG10694","CG10694",0,1,1,0,0,1
"FBgn0039562","FBgn0039562","Gp93","CG5520",0,0,0,0,0,1
"FBgn0013277","FBgn0013277","Hsp70Ba","CG31449",0,1,1,0,0,1
"FBgn0033656","FBgn0033656","S2P","CG8988",0,0,0,0,0,1
"FBgn0027588","FBgn0027588","GCS2alpha","CG14476",1,0,1,0,0,1
"FBgn0039003","FBgn0039003","wfs1","CG4917",0,0,0,0,0,1
"FBgn0001218","FBgn0001218","Hsc70-3","CG4147",0,0,0,0,0,1
"FBgn0003390","FBgn0003390","shf","CG3135",0,0,0,0,0,1
"FBgn0038947","FBgn0038947","Sar1","CG7073",0,0,0,0,0,1
"FBgn0036306","FBgn0036306","CG10973","CG10973",0,0,0,0,0,1
"FBgn0025638","FBgn0025638","Roc1a","CG16982",0,0,0,0,0,1
"FBgn0037718","FBgn0037718","P58IPK","CG8286",0,0,0,0,0,1
"FBgn0001230","FBgn0001230","Hsp68","CG5436",0,1,1,0,0,1
"FBgn0033663","FBgn0033663","ERp60","CG8983",0,0,0,0,0,1
"FBgn0011336","FBgn0011336","Stt3B","CG7748",0,1,1,0,0,1
"FBgn0013275","FBgn0013275","Hsp70Aa","CG31366",0,0,0,0,0,1
"FBgn0038145","FBgn0038145","Droj2","CG8863",0,1,1,0,0,1
"FBgn0030693","FBgn0030693","CG8974","CG8974",0,1,1,0,0,1
"FBgn0020369","FBgn0020369","Rpt6","CG1489",1,0,1,0,0,1
"FBgn0013276","FBgn0013276","Hsp70Ab","CG18743",0,0,0,0,0,1
"FBgn0035165","FBgn0035165","CG13887","CG13887",0,1,1,0,0,1
"FBgn0032480","FBgn0032480","Edem2","CG5682",1,0,1,0,0,1
"FBgn0034904","FBgn0034904","CG15800","CG15800",0,0,0,0,0,1
"FBgn0031149","FBgn0031149","Stt3A","CG1518",1,0,1,0,0,1
"FBgn0001233","FBgn0001233","Hsp83","CG1242",0,0,0,0,0,1
"FBgn0262535","FBgn0262535","CG43089","CG43089",0,0,0,0,0,1
"FBgn0001216","FBgn0001216","Hsc70-1","CG8937",0,1,1,0,0,1
"FBgn0000229","FBgn0000229","bsk","CG5680",0,0,0,0,0,1
"FBgn0010638","FBgn0010638","Sec61beta","CG10130",0,0,0,0,0,1
"FBgn0030377","FBgn0030377","CG1924","CG1924",0,0,0,0,0,1
"FBgn0019990","FBgn0019990","Gcn2","CG1609",0,0,0,0,0,1
"FBgn0025700","FBgn0025700","CG5885","CG5885",1,0,1,0,0,1
"FBgn0004179","FBgn0004179","Csp","CG6395",0,0,0,0,0,1
"FBgn0051202","FBgn0051202","alpha-Man-Ic","CG31202",0,0,0,0,0,1
"FBgn0052039","FBgn0052039","CG32039","CG32039",0,1,1,0,1,1
"FBgn0040340","FBgn0040340","TRAM","CG11642",0,1,1,0,0,1
"FBgn0032474","FBgn0032474","DnaJ-H","CG9828",1,0,1,0,0,1
"FBgn0025678","FBgn0025678","CaBP1","CG5809",1,0,1,0,0,1
"FBgn0032015","FBgn0032015","Ostgamma","CG7830",0,0,0,0,0,1
"FBgn0033179","FBgn0033179","p47","CG11139",1,0,1,0,0,1
"FBgn0032643","FBgn0032643","GCS2beta","CG6453",0,0,0,0,0,1
"FBgn0039634","FBgn0039634","alpha-Man-Ib","CG11874",0,0,0,0,0,1
"FBgn0036332","FBgn0036332","Cul6","CG11261",0,0,0,0,0,1
"FBgn0038438","FBgn0038438","Der-2","CG14899",0,1,1,0,1,1
"FBgn0052581","FBgn0052581","CG32581","CG32581",0,1,1,0,0,1
"FBgn0039296","FBgn0039296","Sil1","CG10420",0,1,1,0,0,1
"FBgn0015509","FBgn0015509","Cul1","CG1877",1,0,1,0,1,1
"FBgn0266599","FBgn0266599","Hsc70-4","CG4264",0,0,0,0,0,1
"FBgn0033050","FBgn0033050","Pngl","CG7865",0,0,0,0,0,1
"FBgn0023529","FBgn0023529","CG2918","CG2918",1,0,1,0,0,1
"FBgn0261609","FBgn0261609","eIF2alpha","CG9946",0,0,0,0,0,1
"FBgn0034277","FBgn0034277","OstDelta","CG6370",0,0,0,0,0,1
"FBgn0027554","FBgn0027554","CG8042","CG8042",0,0,0,0,0,1
"FBgn0030289","FBgn0030289","GCS1","CG1597",0,0,0,0,0,1
"FBgn0031057","FBgn0031057","Ubqn","CG14224",0,0,0,0,0,1
"FBgn0011296","FBgn0011296","l(2)efl","CG4533",0,0,0,0,0,1
"FBgn0031779","FBgn0031779","CG9175","CG9175",0,0,0,0,0,1
"FBgn0261274","FBgn0261274","Ero1L","CG1333",0,0,0,0,0,1
"FBgn0030329","FBgn0030329","prtp","CG1837",0,0,0,0,0,1
"FBgn0035830","FBgn0035830","CG8209","CG8209",0,0,0,0,0,1
"FBgn0028475","FBgn0028475","Hrd3","CG10221",0,0,0,0,0,1
"FBgn0015622","FBgn0015622","Cnx99A","CG11958",0,0,0,0,0,1
"FBgn0035593","FBgn0035593","CG4603","CG4603",0,1,1,0,0,1
"FBgn0263852","FBgn0263852","Dad1","CG13393",0,0,0,0,0,1
"FBgn0036505","FBgn0036505","CG7945","CG7945",0,1,1,0,0,1
"FBgn0014075","FBgn0014075","Uggt","CG6850",0,0,0,0,0,1
"FBgn0027052","FBgn0027052","STUB1","CG5203",0,0,0,0,0,1
"FBgn0259729","FBgn0259729","CG42383","CG42383",0,0,0,0,0,1
"FBgn0034863","FBgn0034863","SkpF","CG12227",0,0,0,0,0,1
"FBgn0005585","FBgn0005585","Calr","CG9429",0,1,1,0,0,1
"FBgn0051528","FBgn0051528","CG31528","CG31528",0,0,0,0,0,1
"FBgn0053303","FBgn0053303","CG33303","CG33303",0,1,1,0,0,1
"FBgn0033460","FBgn0033460","Sec24AB","CG1472",1,0,1,0,0,1
"FBgn0023511","FBgn0023511","Edem1","CG3810",0,0,0,0,0,1
"FBgn0040291","FBgn0040291","Roc1b",NA,0,0,0,0,0,1
"FBgn0000370","FBgn0000370","crc","CG8669",1,0,1,0,0,1
"FBgn0026176","FBgn0026176","SkpB","CG8881",0,0,0,0,0,1
"FBgn0035771","FBgn0035771","Sec63","CG8583",0,0,0,0,0,1
"FBgn0262126","FBgn0262126","Sec24CD","CG10882",1,0,1,0,0,1
"FBgn0262125","FBgn0262125","Sec23","CG1250",0,0,0,0,1,1
"FBgn0024314","FBgn0024314","Plap","CG5105",0,1,1,0,1,0
"FBgn0011016","FBgn0011016","SsRbeta","CG5474",0,0,0,0,1,0
"FBgn0004003","FBgn0004003","wbl","CG7225",0,0,0,0,1,0
"FBgn0058045","FBgn0058045","CG40045","CG40045",0,0,0,0,1,0
"FBgn0039348","FBgn0039348","Npl4","CG4673",0,0,0,0,1,0
"FBgn0039160","FBgn0039160","CG5510","CG5510",0,1,1,0,1,0
"FBgn0035909","FBgn0035909","ergic53","CG6822",0,0,0,0,1,0
"FBgn0037105","FBgn0037105","S1P","CG7169",0,1,1,0,1,0
"FBgn0035333","FBgn0035333","CG1317","CG1317",1,0,1,0,1,0
"FBgn0283535","FBgn0283535","Vha26","CG1088",0,0,0,0,1,0
"FBgn0011584","FBgn0011584","Trp1","CG4758",0,1,1,0,1,0
"FBgn0013279","FBgn0013279","Hsp70Bc","CG6489",0,1,1,0,0,0
"FBgn0267383","FBgn0267383","Ubc87F","CG9602",0,1,1,0,0,0
"FBgn0001217","FBgn0001217","Hsc70-2","CG7756",0,1,1,0,0,0
"FBgn0026174","FBgn0026174","SkpD","CG12700",0,1,1,0,0,0
"FBgn0026418","FBgn0026418","Hsc70Cb","CG6603",0,1,1,0,0,0
"FBgn0286818","FBgn0286818","Pdi","CG6988",0,1,1,0,0,0
"FBgn0051354","FBgn0051354","Hsp70Bbb",NA,0,1,1,0,0,0
"FBgn0264077","FBgn0264077","Cnx14D","CG9906",0,1,1,0,0,0
"FBgn0031074","FBgn0031074","SkpE","CG11942",0,1,1,0,0,0
"FBgn0052847","FBgn0052847","CG32847","CG32847",0,1,1,0,0,0
"FBgn0286784","FBgn0286784","TER94","CG2331",1,1,1,0,0,0
"FBgn0013278","FBgn0013278","Hsp70Bb","CG31359",0,1,1,0,0,0
"FBgn0025637","FBgn0025637","SkpA","CG16983",0,1,1,0,0,0
"FBgn0267384","FBgn0267384","Ubc7","CG4443",1,1,1,0,0,0
"FBgn0026175","FBgn0026175","SkpC","CG11941",0,1,1,0,0,0
"FBgn0038125","FBgn0038125","CG8141","CG8141",0,1,1,0,0,0
"FBgn0010303","FBgn0010303","hep","CG4353",1,0,1,0,0,0
"FBgn0014006","FBgn0014006","Ask1","CG4720",1,0,1,0,0,0
"FBgn0036667","FBgn0036667","kud","CG9669",1,0,1,0,0,0
"FBgn0021872","FBgn0021872","Xbp1","CG9415",1,0,1,0,0,0
"FBgn0033010","FBgn0033010","Atf6","CG3136",1,0,1,0,0,0
"FBgn0032398","FBgn0032398","CG6766","CG6766",1,0,1,0,0,0
"FBgn0011217","FBgn0011217","eff","CG7425",1,0,1,0,0,0
"FBgn0259170","FBgn0259170","alpha-Man-Ia","CG42275",1,0,1,0,0,0
"FBgn0032467","FBgn0032467","CG9934","CG9934",1,0,1,0,0,0
"FBgn0267972","FBgn0267972","Der-1","CG10908",1,0,1,0,0,0
"FBgn0261984","FBgn0261984","Ire1","CG4583",1,0,1,0,0,0
"FBgn0036136","FBgn0036136","Ufd1-like","CG6233",1,0,1,0,0,0
"FBgn0050156","FBgn0050156","CG30156","CG30156",1,0,1,0,0,0
