"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0001965","FBgn0001965","Sos","CG7793","34790",0,1,1,0,1,1
"FBgn0020386","FBgn0020386","Pdk1","CG1210","38017",0,1,1,0,0,1
"FBgn0020503","FBgn0020503","CLIP-190","CG5020","35042",0,0,0,0,0,1
"FBgn0284084","FBgn0284084","wg","CG4889","34009",1,0,1,0,0,1
"FBgn0003079","FBgn0003079","Raf","CG2845","31221",1,0,1,0,0,1
"FBgn0023169","FBgn0023169","AMPKalpha","CG3051","43904",0,0,0,0,0,1
"FBgn0031903","FBgn0031903","Wnt10","CG4971","34011",1,0,1,0,0,1
"FBgn0003371","FBgn0003371","sgg","CG2621","31248",0,1,1,0,0,1
"FBgn0022097","FBgn0022097","Vha36-1","CG8186","44702",1,0,1,0,0,1
"FBgn0283472","FBgn0283472","S6k","CG10539","38654",0,0,0,0,0,1
"FBgn0031399","FBgn0031399","mio","CG7074","33399",1,0,1,0,0,1
"FBgn0040368","FBgn0040368","eIF4E7","CG32859","31059",0,0,0,0,0,1
"FBgn0024248","FBgn0024248","chico","CG5686","64880",0,0,0,0,0,1
"FBgn0031902","FBgn0031902","Wnt6","CG4969","34010",1,0,1,0,0,1
"FBgn0035709","FBgn0035709","eIF4E4","CG10124","38743",0,0,0,0,0,1
"FBgn0032642","FBgn0032642","CG5110","CG5110","35055",0,0,0,0,0,1
"FBgn0027518","FBgn0027518","Wdr24","CG7609","43505",0,0,0,0,0,1
"FBgn0260945","FBgn0260945","Atg1","CG10967","39454",0,0,0,0,0,1
"FBgn0037647","FBgn0037647","RagA-B","CG11968","41071",0,0,0,0,0,1
"FBgn0265089","FBgn0265089","eIF4E3","CG8023","38923",0,0,0,0,0,1
"FBgn0039487","FBgn0039487","gb","CG6070","43265",0,0,0,0,0,1
"FBgn0026317","FBgn0026317","Tsc1","CG6147","42862",0,1,1,0,0,1
"FBgn0040377","FBgn0040377","Vha36-3","CG8310","31235",0,0,0,0,0,1
"FBgn0026379","FBgn0026379","Pten","CG5671","43991",0,0,0,0,0,1
"FBgn0027779","FBgn0027779","VhaSFD","CG17332","34997",0,0,0,0,0,1
"FBgn0000119","FBgn0000119","arr","CG5912","44279",0,0,0,0,0,1
"FBgn0044049","FBgn0044049","Ilp4","CG6736","39152",0,0,0,0,1,1
"FBgn0037402","FBgn0037402","Vha14-2","CG1076","40748",0,0,0,0,1,1
"FBgn0015218","FBgn0015218","eIF4E1","CG4035","45525",0,0,0,0,0,1
"FBgn0004638","FBgn0004638","drk","CG6033","36497",0,0,0,0,0,1
"FBgn0036046","FBgn0036046","Ilp2","CG8167","39150",0,0,0,0,1,1
"FBgn0038134","FBgn0038134","wntD","CG8458","41633",0,1,1,0,1,1
"FBgn0263593","FBgn0263593","Lpin","CG8709","35790",1,0,1,0,0,1
"FBgn0036684","FBgn0036684","CG3764","CG3764","39902",1,0,1,0,0,1
"FBgn0044050","FBgn0044050","Ilp3","CG14167","39151",0,0,0,0,1,1
"FBgn0014020","FBgn0014020","Rho1","CG8416","36775",0,0,0,0,0,1
"FBgn0035823","FBgn0035823","eIF4E5","CG8277","38878",1,0,1,0,0,1
"FBgn0004784","FBgn0004784","inaC","CG6518","36897",0,0,0,0,0,1
"FBgn0037236","FBgn0037236","Skp2","CG9772","40548",0,0,0,0,0,1
"FBgn0020622","FBgn0020622","Pi3K21B","CG2699","33203",0,0,0,0,0,1
"FBgn0020660","FBgn0020660","eIF4B","CG10837","3355041",0,0,0,0,0,1
"FBgn0003205","FBgn0003205","Ras85D","CG9375","41140",0,0,0,0,0,1
"FBgn0046332","FBgn0046332","gskt","CG31003","318552",0,0,0,0,0,1
"FBgn0027343","FBgn0027343","fz3","CG16785","31023",0,1,1,0,0,1
"FBgn0044051","FBgn0044051","Ilp1","CG14173","39149",0,0,0,0,1,1
"FBgn0003091","FBgn0003091","Pkc53E","CG6622","48311",0,0,0,0,0,1
"FBgn0037533","FBgn0037533","CD98hc","CG2791","40941",0,0,0,0,0,1
"FBgn0032339","FBgn0032339","Wdr59","CG4705","34540",0,1,1,0,0,1
"FBgn0053100","FBgn0053100","eIF4EHP","CG33100","326255",0,1,1,0,0,1
"FBgn0044048","FBgn0044048","Ilp5","CG33273","2768992",0,0,0,0,1,1
"FBgn0000499","FBgn0000499","dsh","CG18361","32078",0,0,0,0,0,1
"FBgn0037741","FBgn0037741","CG16908","CG16908","41189",0,1,1,0,0,1
"FBgn0003423","FBgn0003423","slgA","CG1417","33117",1,0,1,0,0,1
"FBgn0033272","FBgn0033272","RagC-D","CG8707","35793",0,0,0,0,0,1
"FBgn0016797","FBgn0016797","fz2","CG9739","40090",0,0,0,0,0,1
"FBgn0017572","FBgn0017572","Mo25","CG4083","39858",0,0,0,0,1,0
"FBgn0029840","FBgn0029840","raptor","CG4320","31543",1,1,1,0,1,0
"FBgn0033247","FBgn0033247","Nup44A","CG8722","35762",1,0,1,0,1,0
"FBgn0041191","FBgn0041191","Rheb","CG1081","117332",0,0,0,0,1,0
