"","Genotype","Sex","Biological.Replicate","Group","ID"
"D1","WT","F",1,"WT_F","WT_F1"
"D2","WT","F",2,"WT_F","WT_F2"
"D3","WT","F",3,"WT_F","WT_F3"
"D4","WT","F",4,"WT_F","WT_F4"
"D5","WT","M",1,"WT_M","WT_M1"
"D6","WT","M",2,"WT_M","WT_M2"
"D7","WT","M",3,"WT_M","WT_M3"
"D8","WT","M",4,"WT_M","WT_M4"
"D9","GBM","F",1,"GBM_F","GBM_F1"
"D10","GBM","F",2,"GBM_F","GBM_F2"
"D11","GBM","F",3,"GBM_F","GBM_F3"
"D12","GBM","F",4,"GBM_F","GBM_F4"
"D13","GBM","F",5,"GBM_F","GBM_F5"
"D14","GBM","M",1,"GBM_M","GBM_M1"
"D15","GBM","M",2,"GBM_M","GBM_M2"
"D16","GBM","M",3,"GBM_M","GBM_M3"
"D17","GBM","M",4,"GBM_M","GBM_M4"
"D18","GBM","M",5,"GBM_M","GBM_M5"
"D19","GBMLE","F",1,"GBMLE_F","GBMLE_F1"
"D20","GBMLE","F",2,"GBMLE_F","GBMLE_F2"
"D21","GBMLE","F",3,"GBMLE_F","GBMLE_F3"
"D22","GBMLE","F",4,"GBMLE_F","GBMLE_F4"
"D23","GBMLE","F",5,"GBMLE_F","GBMLE_F5"
"D24","GBMLE","M",1,"GBMLE_M","GBMLE_M1"
"D25","GBMLE","M",2,"GBMLE_M","GBMLE_M2"
"D26","GBMLE","M",3,"GBMLE_M","GBMLE_M3"
"D27","GBMLE","M",4,"GBMLE_M","GBMLE_M4"
"D28","GBMLE","M",5,"GBMLE_M","GBMLE_M5"
"D29","MLE","F",1,"MLE_F","MLE_F1"
"D30","MLE","F",2,"MLE_F","MLE_F2"
"D31","MLE","F",3,"MLE_F","MLE_F3"
"D32","MLE","F",4,"MLE_F","MLE_F4"
"D33","MLE","M",1,"MLE_M","MLE_M1"
"D34","MLE","M",2,"MLE_M","MLE_M2"
"D35","MLE","M",3,"MLE_M","MLE_M3"
"D36","MLE","M",4,"MLE_M","MLE_M4"
