Genotype,Replicate,Brood,Eclosed,Partial,Fail/Full,Total Pupae,% Eclosed,% Partial,% Fail/Full
G85R,1,2,0,1,11,12,0,8.333333333,91.66666667
G85R,2,1,0,2,7,9,0,22.22222222,77.77777778
G85R,2,2,0,0,32,32,0,0,100
"G85R, TKT-Df",1,1,30,4,1,35,85.71428571,11.42857143,2.857142857
"G85R, TKT-Df",1,2,36,2,1,39,92.30769231,5.128205128,2.564102564
"G85R, TKT-Df",2,1,11,3,0,14,78.57142857,21.42857143,0
"G85R, TKT-Df",2,2,28,2,1,31,90.32258065,6.451612903,3.225806452
"G85R, TKT-Df",3,1,7,2,0,9,77.77777778,22.22222222,0
"G85R, TKT-Df",3,2,24,2,0,26,92.30769231,7.692307692,0
"G85R, TKT-Df",4,1,7,3,2,12,58.33333333,25,16.66666667
"G85R, TKT-Df",4,2,16,3,1,20,80,15,5
"G85R, TKT-OE",1,1,11,6,1,18,61.11111111,33.33333333,5.555555556
"G85R, TKT-OE",1,2,15,4,1,20,75,20,5
"G85R, TKT-OE",2,1,8,10,6,24,33.33333333,41.66666667,25
"G85R, TKT-OE",2,2,7,4,10,21,33.33333333,19.04761905,47.61904762
"G85R, TKT-OE",3,1,5,2,2,9,55.55555556,22.22222222,22.22222222
"G85R, TKT-OE",3,2,8,4,5,17,47.05882353,23.52941176,29.41176471
"G85R, TKT-OE",4,1,11,13,3,27,40.74074074,48.14814815,11.11111111
"G85R, TKT-OE",4,2,10,3,2,15,66.66666667,20,13.33333333
WT,1,1,87,0,2,89,97.75280899,0,2.247191011
WT,1,2,73,0,2,75,97.33333333,0,2.666666667
WT,2,1,112,0,0,112,100,0,0
WT,2,2,172,0,5,177,97.17514124,0,2.824858757
"WT, TKT-Df",1,1,24,0,0,24,100,0,0
"WT, TKT-Df",1,2,54,0,0,54,100,0,0
"WT, TKT-Df",2,1,21,0,21,42,50,0,50
"WT, TKT-Df",2,2,29,0,26,55,52.72727273,0,47.27272727
"WT, TKT-OE",1,1,133,1,12,146,91.09589041,0.684931507,8.219178082
"WT, TKT-OE",1,2,113,0,3,116,97.4137931,0,2.586206897
"WT, TKT-OE",2,1,38,0,3,41,92.68292683,0,7.317073171
"WT, TKT-OE",2,2,156,0,4,160,97.5,0,2.5
