time,status,Genotype,Sex,TKT,DOB,DOD
10,0,WT,F,Df,511,521
10,0,WT,F,Df,511,521
10,0,WT,F,Df,511,521
10,0,WT,M,Df,511,521
10,0,WT,M,Df,511,521
10,0,WT,M,Df,511,521
10,0,WT,M,Df,511,521
10,0,WT,M,Df,511,521
10,0,WT,M,Df,511,521
9,0,WT,F,Df,512,521
9,0,WT,M,Df,512,521
9,0,WT,M,Df,512,521
9,0,WT,M,Df,512,521
9,0,WT,M,Df,512,521
9,0,WT,F,OE,512,521
9,0,WT,F,OE,512,521
9,0,WT,F,OE,512,521
9,0,WT,F,OE,512,521
9,0,WT,F,OE,512,521
9,0,WT,M,OE,512,521
8,0,G85R,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,F,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,M,Df,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,F,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
8,0,WT,M,OE,513,521
7,0,G85R,F,Df,514,521
7,0,G85R,F,Df,514,521
7,0,G85R,F,Df,514,521
7,0,G85R,F,Df,514,521
7,0,G85R,F,Df,514,521
7,0,G85R,F,Df,514,521
7,0,G85R,M,Df,514,521
7,0,G85R,M,Df,514,521
7,0,G85R,M,Df,514,521
7,0,G85R,M,Df,514,521
7,0,G85R,M,Df,514,521
7,0,WT,F,Df,514,521
7,0,WT,F,Df,514,521
7,0,WT,F,Df,514,521
7,0,WT,M,Df,514,521
7,0,WT,M,Df,514,521
7,0,WT,M,Df,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,F,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
7,0,WT,M,OE,514,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,F,Df,515,521
6,0,G85R,M,Df,515,521
6,0,G85R,M,Df,515,521
6,0,G85R,M,Df,515,521
6,0,G85R,M,Df,515,521
6,0,G85R,M,Df,515,521
6,0,G85R,F,OE,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
6,0,WT,F,Df,515,521
