Genotype,Replicate,Brood,Eclosed,Partial,Failed,NotEclosed,Total Pupae,% Eclosed,%NotEclosed,% Partial,% Fail/Full
G85R,1,2,0,1,11,12,12,0,100,8.333333333,91.66666667
G85R,1,3,0,1,13,14,14,0,100,7.142857143,92.85714286
G85R,1,4,0,1,12,13,13,0,100,7.692307692,92.30769231
G85R,2,1,0,2,7,9,9,0,100,22.22222222,77.77777778
G85R,2,2,0,0,32,32,32,0,100,0,100
G85R,2,3,0,0,7,7,7,0,100,0,100
G85R,2,4,1,3,5,8,9,11.11111111,88.88888889,33.33333333,55.55555556
"G85R, TKT-Df",1,1,31,4,1,5,36,86.11111111,13.88888889,11.11111111,2.777777778
"G85R, TKT-Df",1,2,37,2,2,4,41,90.24390244,9.756097561,4.87804878,4.87804878
"G85R, TKT-Df",1,3,39,6,2,8,47,82.9787234,17.0212766,12.76595745,4.255319149
"G85R, TKT-Df",1,4,50,6,0,6,56,89.28571429,10.71428571,10.71428571,0
"G85R, TKT-Df",2,1,12,3,0,3,15,80,20,20,0
"G85R, TKT-Df",2,2,29,2,1,3,32,90.625,9.375,6.25,3.125
"G85R, TKT-Df",2,3,52,13,2,15,67,77.6119403,22.3880597,19.40298507,2.985074627
"G85R, TKT-Df",2,4,40,5,3,8,48,83.33333333,16.66666667,10.41666667,6.25
"G85R, TKT-Df",3,1,7,2,0,2,9,77.77777778,22.22222222,22.22222222,0
"G85R, TKT-Df",3,2,24,2,0,2,26,92.30769231,7.692307692,7.692307692,0
"G85R, TKT-Df",3,3,57,4,0,4,61,93.44262295,6.557377049,6.557377049,0
"G85R, TKT-Df",3,4,37,9,2,11,48,77.08333333,22.91666667,18.75,4.166666667
"G85R, TKT-Df",4,1,9,3,2,5,14,64.28571429,35.71428571,21.42857143,14.28571429
"G85R, TKT-Df",4,2,16,3,1,4,20,80,20,15,5
"G85R, TKT-Df",4,3,44,2,0,2,46,95.65217391,4.347826087,4.347826087,0
"G85R, TKT-Df",4,4,39,6,7,13,52,75,25,11.53846154,13.46153846
"G85R, TKT-OE",1,1,11,6,1,7,18,61.11111111,38.88888889,33.33333333,5.555555556
"G85R, TKT-OE",1,2,16,3,1,4,20,80,20,15,5
"G85R, TKT-OE",1,3,44,2,0,2,46,95.65217391,4.347826087,4.347826087,0
"G85R, TKT-OE",1,4,39,6,7,13,52,75,25,11.53846154,13.46153846
"G85R, TKT-OE",2,1,8,10,6,16,24,33.33333333,66.66666667,41.66666667,25
"G85R, TKT-OE",2,2,7,4,10,14,21,33.33333333,66.66666667,19.04761905,47.61904762
"G85R, TKT-OE",2,3,19,2,7,9,28,67.85714286,32.14285714,7.142857143,25
"G85R, TKT-OE",2,4,16,10,7,17,33,48.48484848,51.51515152,30.3030303,21.21212121
"G85R, TKT-OE",3,1,7,2,1,3,10,70,30,20,10
"G85R, TKT-OE",3,2,8,4,5,9,17,47.05882353,52.94117647,23.52941176,29.41176471
"G85R, TKT-OE",3,3,10,2,11,13,23,43.47826087,56.52173913,8.695652174,47.82608696
"G85R, TKT-OE",3,4,11,1,3,4,15,73.33333333,26.66666667,6.666666667,20
"G85R, TKT-OE",4,1,15,5,7,12,27,55.55555556,44.44444444,18.51851852,25.92592593
"G85R, TKT-OE",4,2,11,3,1,4,15,73.33333333,26.66666667,20,6.666666667
"G85R, TKT-OE",4,3,17,6,7,13,30,56.66666667,43.33333333,20,23.33333333
"G85R, TKT-OE",4,4,20,0,1,1,21,95.23809524,4.761904762,0,4.761904762
WT,1,1,91,0,2,2,93,97.84946237,2.150537634,0,2.150537634
WT,1,2,80,0,2,2,82,97.56097561,2.43902439,0,2.43902439
WT,1,3,119,0,3,3,122,97.54098361,2.459016393,0,2.459016393
WT,1,4,107,0,1,1,108,99.07407407,0.925925926,0,0.925925926
WT,2,1,113,0,1,1,114,99.12280702,0.877192982,0,0.877192982
WT,2,2,182,0,1,1,183,99.45355191,0.546448087,0,0.546448087
WT,2,3,216,0,1,1,217,99.53917051,0.460829493,0,0.460829493
WT,2,4,180,0,0,0,180,100,0,0,0
"WT, TKT-Df",1,1,24,0,0,0,24,100,0,0,0
"WT, TKT-Df",1,2,54,0,0,0,54,100,0,0,0
"WT, TKT-Df",1,3,90,0,1,1,91,98.9010989,1.098901099,0,1.098901099
"WT, TKT-Df",1,4,95,0,2,2,97,97.93814433,2.06185567,0,2.06185567
"WT, TKT-Df",2,1,21,0,21,21,42,50,50,0,50
"WT, TKT-Df",2,2,29,0,26,26,55,52.72727273,47.27272727,0,47.27272727
"WT, TKT-Df",2,3,61,0,9,9,70,87.14285714,12.85714286,0,12.85714286
"WT, TKT-Df",2,4,83,0,4,4,87,95.40229885,4.597701149,0,4.597701149
"WT, TKT-OE",1,1,41,0,3,3,44,93.18181818,6.818181818,0,6.818181818
"WT, TKT-OE",1,2,115,0,1,1,116,99.13793103,0.862068966,0,0.862068966
"WT, TKT-OE",2,1,133,2,11,13,146,91.09589041,8.904109589,1.369863014,7.534246575
"WT, TKT-OE",2,2,159,0,1,1,160,99.375,0.625,0,0.625
"WT, TKT-OE",3,3,64,0,1,1,65,98.46153846,1.538461538,0,1.538461538
"WT, TKT-OE",3,4,77,0,3,3,80,96.25,3.75,0,3.75
