Genotype,Replicate,Brood,Sex,total
G85R,1,1,F,0
G85R,1,2,F,0
G85R,1,3,F,0
G85R,1,4,F,0
G85R,2,1,F,0
G85R,2,2,F,0
G85R,2,3,F,0
G85R,2,4,F,0
G85R,1,1,M,0
G85R,1,2,M,0
G85R,1,3,M,0
G85R,1,4,M,0
G85R,2,1,M,0
G85R,2,2,M,0
G85R,2,3,M,0
G85R,2,4,M,1
"G85R, TKT-Df",1,1,F,16
"G85R, TKT-Df",1,2,F,22
"G85R, TKT-Df",1,3,F,17
"G85R, TKT-Df",1,4,F,4
"G85R, TKT-Df",2,1,F,4
"G85R, TKT-Df",2,2,F,10
"G85R, TKT-Df",2,3,F,13
"G85R, TKT-Df",2,4,F,6
"G85R, TKT-Df",3,1,F,3
"G85R, TKT-Df",3,2,F,15
"G85R, TKT-Df",3,3,F,27
"G85R, TKT-Df",3,4,F,7
"G85R, TKT-Df",4,1,F,4
"G85R, TKT-Df",4,2,F,5
"G85R, TKT-Df",4,3,F,22
"G85R, TKT-Df",4,4,F,1
"G85R, TKT-Df",1,1,M,18
"G85R, TKT-Df",1,2,M,14
"G85R, TKT-Df",1,3,M,12
"G85R, TKT-Df",1,4,M,9
"G85R, TKT-Df",2,1,M,4
"G85R, TKT-Df",2,2,M,21
"G85R, TKT-Df",2,3,M,7
"G85R, TKT-Df",2,4,M,7
"G85R, TKT-Df",3,1,M,3
"G85R, TKT-Df",3,2,M,14
"G85R, TKT-Df",3,3,M,28
"G85R, TKT-Df",3,4,M,17
"G85R, TKT-Df",4,1,M,3
"G85R, TKT-Df",4,2,M,7
"G85R, TKT-Df",4,3,M,17
"G85R, TKT-Df",4,4,M,1
"G85R, TKT-OE",1,1,F,0
"G85R, TKT-OE",1,2,F,0
"G85R, TKT-OE",1,3,F,1
"G85R, TKT-OE",1,4,F,0
"G85R, TKT-OE",2,1,F,0
"G85R, TKT-OE",2,2,F,0
"G85R, TKT-OE",2,3,F,1
"G85R, TKT-OE",2,4,F,2
"G85R, TKT-OE",3,1,F,0
"G85R, TKT-OE",3,2,F,0
"G85R, TKT-OE",3,3,F,1
"G85R, TKT-OE",3,4,F,1
"G85R, TKT-OE",4,1,F,2
"G85R, TKT-OE",4,2,F,1
"G85R, TKT-OE",4,3,F,0
"G85R, TKT-OE",4,4,F,5
"G85R, TKT-OE",1,1,M,0
"G85R, TKT-OE",1,2,M,0
"G85R, TKT-OE",1,3,M,0
"G85R, TKT-OE",1,4,M,1
"G85R, TKT-OE",2,1,M,2
"G85R, TKT-OE",2,2,M,0
