id,Genotype,Sex,Biological Replicate,Group
D1,NEG,F,1,NEG_F
D2,NEG,F,2,NEG_F
D3,NEG,F,3,NEG_F
D4,NEG,F,4,NEG_F
D5,NEG,M,1,NEG_M
D6,NEG,M,2,NEG_M
D7,NEG,M,3,NEG_M
D8,NEG,M,4,NEG_M
D9,POS,F,1,POS_F
D10,POS,F,2,POS_F
D11,POS,F,3,POS_F
D12,POS,F,4,POS_F
D13,POS,F,5,POS_F
D14,POS,M,1,POS_M
D15,POS,M,2,POS_M
D16,POS,M,3,POS_M
D17,POS,M,4,POS_M
D18,POS,M,5,POS_M
D19,EXP,F,1,EXP_F
D20,EXP,F,2,EXP_F
D21,EXP,F,3,EXP_F
D22,EXP,F,4,EXP_F
D23,EXP,F,5,EXP_F
D24,EXP,M,1,EXP_M
D25,EXP,M,2,EXP_M
D26,EXP,M,3,EXP_M
D27,EXP,M,4,EXP_M
D28,EXP,M,5,EXP_M
D29,MLE,F,1,MLE_F
D30,MLE,F,2,MLE_F
D31,MLE,F,3,MLE_F
D32,MLE,F,4,MLE_F
D33,MLE,M,1,MLE_M
D34,MLE,M,2,MLE_M
D35,MLE,M,3,MLE_M
D36,MLE,M,4,MLE_M
