,ID,Genotype,Stage,GBB,Sod1,Tissue,Replicate,Experiment,Group
AHH0020,AHH0020,w1118,ML3,Control,Control,larvae,1,GBB-KO,w1118
AHH0021,AHH0021,w1118,ML3,Control,Control,larvae,2,GBB-KO,w1118
AHH0023,AHH0023,null,ML3,KO,Control,larvae,1,GBB-KO,GBB-null
AHH0024,AHH0024,null,ML3,KO,Control,larvae,2,GBB-KO,GBB-null
AHH0025,AHH0025,null,ML3,KO,Control,larvae,3,GBB-KO,GBB-null
AHH0027,AHH0027,w1118,ML3,Control,Control,larvae,3,GBB-KO,w1118
AHH0001,AHH0001,G85R_gbb,LL3,OK371-OE,G85R,brain,1,GBB-OE,LL3-G85R-GBB-OE
AHH0002,AHH0002,G85R,LL3,Control,G85R,brain,1,GBB-OE,LL3-G85R
AHH0003,AHH0003,LoxP,LL3,Control,WT,brain,1,GBB-OE,LL3-LoxP
AHH0004,AHH0004,LoxP,LL3,Control,WT,brain,2,GBB-OE,LL3-LoxP
AHH0006,AHH0006,LoxP,LL3,Control,WT,brain,3,GBB-OE,LL3-LoxP
AHH0007,AHH0007,G85R,LL3,Control,G85R,brain,2,GBB-OE,LL3-G85R
AHH0008,AHH0008,G85R_gbb,LL3,OK371-OE,G85R,brain,2,GBB-OE,LL3-G85R-GBB-OE
AHH0009,AHH0009,LoxP,ML3,Control,WT,brain,1,GBB-OE,ML3-LoxP
AHH0010,AHH0010,G85R,ML3,Control,G85R,brain,1,GBB-OE,ML3-G85R
AHH0011,AHH0011,G85R_gbb,ML3,OK371-OE,G85R,brain,1,GBB-OE,ML3-G85R-GBB-OE
AHH0012,AHH0012,LoxP,ML3,Control,WT,brain,2,GBB-OE,ML3-LoxP
AHH0014,AHH0014,G85R_gbb,ML3,OK371-OE,G85R,brain,2,GBB-OE,ML3-G85R-GBB-OE
AHH0015,AHH0015,G85R,LL3,Control,G85R,brain,3,GBB-OE,LL3-G85R
AHH0016,AHH0016,G85R_gbb,LL3,OK371-OE,G85R,brain,3,GBB-OE,LL3-G85R-GBB-OE
AHH0017,AHH0017,LoxP,ML3,Control,WT,brain,3,GBB-OE,ML3-LoxP
AHH0018,AHH0018,G85R,ML3,Control,G85R,brain,2,GBB-OE,ML3-G85R
AHH0019,AHH0019,G85R_gbb,ML3,OK371-OE,G85R,brain,3,GBB-OE,ML3-G85R-GBB-OE
AHH0026,AHH0026,G85R,ML3,Control,G85R,brain,3,GBB-OE,ML3-G85R
