KEGG.ID,Metabolite
C00022,Pyruvate
C00024,Acetyl-CoA
C00033,Acetate
C00036,Oxaloacetate
C00068,Thiamin diphosphate
C00074,Phosphoenolpyruvate
C00084,Acetaldehyde
C00085,D-Fructose 6-phosphate
C00103,D-Glucose 1-phosphate
C00111,Glycerone phosphate
C00118,D-Glyceraldehyde 3-phosphate
C00186,(S)-Lactate
C00197,3-Phospho-D-glycerate
C00221,beta-D-Glucose
C00236,3-Phospho-D-glyceroyl phosphate
C00267,alpha-D-Glucose
C00354,"D-Fructose 1,6-bisphosphate"
C00469,Ethanol
C00631,2-Phospho-D-glycerate
C00668,alpha-D-Glucose 6-phosphate
C01159,"2,3-Bisphospho-D-glycerate"
C01172,beta-D-Glucose 6-phosphate
C05125,2-Hydroxyethyl-ThPP
C15972,Lipoamide-E
C15973,Dihydrolipoamide-E
C16255,S-Acetyldihydrolipoamide-E
