,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
uric acid,C00366,1.59450508905573e-06,9.28142843249816e-07,0.000265875,0.967783358,0.433622494,0.065452113,0.228409561,4.66410078091951e-07,1.09010964202741e-06
deoxyinosine,C05512,4.97330577336783e-05,7.20879325686205e-06,0.017571477,0.005511584,0.255416708,0.788204882,0.198613818,7.05287488296278e-06,0.00577298
b-alanine,C00099,0.000168331,3.48341197450283e-05,0.000105146,0.558241619,0.039381198,0.377716211,0.036040954,0.000268779,0.000188167
nicotinamide riboside+,C03150,0.000218921,2.27959017054189e-05,0.017454922,0.372070106,0.001482129,0.995321663,0.740768371,0.0007306,0.00020006
guanine,C00242,0.000715058,2.32332807381594e-07,0.001286299,0.142291011,0.503427759,0.407582032,0.593888609,1.17961628677978e-06,0.001543211
hydroxyphenyllactic acid / HVA,C03672 / C05582,0.000672791,0.008957537,0.184627946,0.012961512,0.751976642,0.084963321,0.182914098,0.023604032,0.072770203
homoserine / threonine / allothreonine,C00263 / C00188 / C05519,0.000930603,1.65181830445135e-05,0.091430239,0.013685554,0.641661085,0.029696828,0.115274292,3.99960692176791e-05,0.01284682
xanthine,C00385,0.001238358,2.10333318218882e-05,0.001596695,0.054816333,0.114207646,0.145665486,0.945523956,0.000662067,0.000764
NMN,C00455,0.001771999,0.002606581,0.044012279,0.058543486,0.441408264,0.953987462,0.073882479,0.004287279,0.002012451
deoxycarnitine+,C01181,0.002077192,8.85477659033519e-05,0.000789268,0.358638792,0.448517585,0.01732677,0.879502845,0.001359073,0.00075285
adenine,C00147,0.002996013,0.335997701,0.920564378,0.000352433,0.398275438,0.036198259,0.352303086,0.12585444,0.325725239
glycine,C00037,0.002915462,0.000403882,0.419787232,0.643335943,0.691763198,0.111916651,0.108507467,0.001588167,0.01580346
F1P,C01094,0.003948188,0.000224338,0.109556567,0.31760676,0.319439552,0.651434967,0.071455101,0.000168597,0.241104041
acrylic acid,C00511,0.005506125,0.003872058,0.074167986,0.175437353,0.713076951,0.375289036,0.825993441,0.012448843,0.00312987
glutamine,C00303,0.009459555,1.90288381130315e-05,0.297088775,0.011710255,0.076673491,0.236674331,0.120631676,4.21730653847012e-05,0.022665294
guanosine,C00387,0.008366716,0.000697936,0.008424618,0.135361593,0.006534084,0.493699418,0.790613554,2.38410518275641e-05,0.004003197
phosphorylcholine+,C00588,0.009287738,0.000209889,0.000423746,0.036039611,0.176592973,0.765143752,0.081606638,0.000354957,0.011058712
deoxyguanosine,C00330,0.011038769,NA,NA,0.174226848,NA,0.305955526,NA,0.000269314,0.010928087
pyridoxal,C00250,0.011908924,0.034484963,0.04562083,0.130600986,0.826339953,0.392102845,0.604748592,0.077479674,0.069685537
2-HG,C02630,0.013621889,0.240963338,0.09326406,0.175268581,0.493610327,0.458696792,0.261403575,0.140088317,0.017467799
3-phospho-serine,C01005,0.014043238,3.56601428981821e-05,8.89727275866723e-05,0.004821407,0.732014951,0.521384617,0.144428051,0.022192411,0.012903821
N-acetylaspartic acid,C01042,0.012972509,0.000470932,0.05116544,0.000893617,0.083050883,0.394478387,0.293988818,0.908297091,0.017203029
D-sedoheptulose-7-phosphate,C05382,0.01498573,0.559464427,0.079961001,0.046593484,0.208567804,0.016016086,0.056439799,0.126776117,0.630025642
2-oxoadipic acid,C00322,0.0246966,0.963985995,0.558750287,0.120973224,0.011013875,0.058794512,0.097304631,0.010935385,0.067398157
3-hydroxykynurenine,C02794,0.022335123,0.012516411,0.010368442,0.672332531,0.564779055,0.094065397,0.232133757,0.067217998,0.004320343
AICA ribonucleotide,C04677,0.023483939,0.290508591,0.382734449,0.109111303,0.05900658,0.068355296,0.073829018,0.006459995,0.141151742
citramalic acid,C00815,0.019734705,0.037404568,0.10574775,0.514528153,0.885208647,0.647643429,0.773450089,0.00040747,0.004717024
D-ribose-1/5-phosphate / D-ribulose 5-phosphate,C00620 / C00117 / C00199,0.024442729,0.197245316,0.551874713,0.012759727,0.135651361,0.251061805,0.492697611,0.719736358,0.03371807
isonictinic acid ,C07446,0.023303816,0.764447082,0.181783433,0.585001703,0.176398164,0.99612718,0.707226966,0.246255646,0.023659751
proline,C16435,0.021497999,0.004000703,0.204354868,0.542454209,0.269486725,0.962073861,0.622707417,0.025525912,0.030430242
pyrroline hydroxycarboxylic acid,C04281,0.019515246,1.06819634964904e-06,0.677996173,0.010498216,0.038912302,0.29431452,0.13785729,4.82327438277924e-06,0.073456045
urea,C00086,0.024744618,0.002282837,0.122580908,0.051939423,0.701994037,0.30707343,0.200905926,0.091128724,0.02450399
NAD+,C00003,0.027930989,0.000254467,0.275350664,0.051199992,0.677638767,0.108410855,0.500098535,0.127192855,0.079775436
"2,3-bisphospho-D-glycerate",C01159-C03339,0.028798621,0.582807742,0.162907069,0.188021483,0.428907935,0.08948178,0.849087347,0.11046682,0.166509545
imidazole-4-acetate,C02835,0.031539883,0.222032109,0.756516013,0.593334831,0.603735127,0.037346513,0.827925822,0.175934186,0.90890213
inosine,C00294,0.031302052,0.000108919,0.033404317,0.932065396,0.412529139,0.87385455,0.849282745,0.00095996,0.023866002
agmatine,C00179,0.033261539,0.224003778,0.893533378,0.01102494,0.023150506,5.03300725546779e-05,0.168453569,0.00177448,2.64812554549841e-05
cytidine,C00475,0.033770908,8.22660514629092e-05,0.167359228,0.539819193,0.652828506,0.741832501,0.592744552,0.012808328,0.023834722
mesaconic acid,C01732,0.036728542,0.809929062,0.445040504,0.134189392,0.568162302,0.546138645,0.265445169,0.215741447,0.156084352
dAMP,C00360,0.040063178,0.000362762,0.01125482,0.089168083,0.157089684,0.490691684,0.038218291,0.002188909,0.008584277
histidine,C00768,0.03970237,0.000281481,0.020577581,0.085172211,0.491272766,0.732222872,0.526163504,0.127259399,0.037568746
N-acetyl-L-glutamic acid,C00624,0.046360826,0.395761356,0.000660246,0.014931185,0.263192259,0.011285094,0.500352954,0.653299647,0.00396624
orotic acid,C00295,0.046954817,0.00016784,0.037916194,0.719632642,0.209990774,0.635046954,0.3819305,0.001136824,0.061863333
vitamin B2,C00255,0.052306223,0.00164164,0.074462318,0.451603401,0.047759482,0.409593374,0.176810478,0.085358613,0.353439505
acetoin -,C00466,0.060918295,0.774026937,0.841191743,0.01668276,0.749053759,0.15381572,0.549293825,0.651432144,0.593741894
cysteine,C00736-C00097,0.061879003,0.157256976,0.047357905,0.461868712,0.980748377,0.628211206,0.777199481,0.084511858,0.065860925
"D-arabinono-1,4-lactone",C00652,0.060498296,0.437171054,0.535653408,0.0412704,0.170051413,0.047531425,0.86564237,0.127864466,0.330324355
asparagine,C16438,0.068569891,9.76809100816697e-06,0.301969434,0.107874269,0.846102666,0.056784515,0.301676627,0.000700318,0.954489691
creatine,C00300,0.072025541,0.455095038,0.003928587,0.134632965,0.764694434,0.038789143,0.027642838,0.392607354,0.003997011
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C04640,0.074461413,0.301340627,0.586684008,0.013157092,0.557279273,0.408160328,0.400632574,0.901935027,0.138915258
homogentisic acid,C00544,0.076062693,0.663746127,0.186706304,0.136014346,0.215464104,0.165539558,0.088027537,0.333523889,0.575712357
5'-methylthioadenosine,C00170,0.080703549,0.038598439,0.110153015,0.026463279,0.101036753,0.347106784,0.72282167,0.597598239,0.041027037
kynurenine,C01718,0.080012817,0.355851107,0.026654801,0.354129705,0.790368147,0.34453171,0.014966084,0.364599287,0.691430017
L-arginino-succinate,C03406,0.082175162,0.0894178,0.896609845,0.002240299,0.38157468,0.280273398,0.310597304,0.873982475,0.267763284
cystathionine,C00542,0.08459219,0.121267866,0.934915369,0.756612767,0.356446612,0.672461893,0.062013768,0.093321718,0.072806146
F6P / G1P / G6P,C00085 / C00103 / C00092,0.089743231,0.304104661,0.31791422,0.117288355,0.514318709,0.402553617,0.075248034,0.304512307,0.182677666
N-acetyl-b-alanine,C01073,0.088666918,0.000491225,0.048469746,0.199752561,0.388347669,0.972509264,0.874741612,0.014403605,0.06603977
N-acetylglucosamine 1/6-phosphate,C04501 / C00357,0.088738687,0.433069438,0.121152055,0.058319474,0.493477548,0.145897271,0.08144126,0.34170934,0.261411575
S-adenosyl-L-methionine+,C00019,0.09079035,0.334197506,0.140262227,0.092478175,0.179325772,0.885310836,0.057061757,0.133267776,0.08860916
6-phosphogluconic acid,C00345,0.095129806,0.615021327,0.331642296,0.290836143,0.26681323,0.600607999,0.095742594,0.512166561,0.191846742
acetylcarnitine+,C02571,0.100043665,0.010284476,0.035592252,0.70800095,0.08363398,0.447818962,0.236158653,0.010514088,0.000300628
CMP,C00055,0.09653522,0.000131426,0.279354926,0.205703512,0.222170256,0.66999355,0.346683835,0.24122265,0.074628116
galactose / glucose,C00124 / C00267,0.098820445,0.026223824,0.168720622,0.595086625,0.75379983,0.935649767,0.986894739,0.116651182,0.05800673
O-succinyl-homoserine,C01118,0.097720773,0.474469597,0.112876087,0.369688969,0.697091951,0.225345452,0.05825011,0.157633921,0.326579826
6-aminohexanoate,C02378,0.108319876,0.033409304,0.903695398,0.017208648,0.557225662,0.534875312,0.183287153,0.132594916,0.13261534
glutamate,C00302,0.108411454,0.073769306,0.052795718,0.067517693,0.965030731,0.946753754,0.215429508,0.443302657,0.074272559
N-formyl-L-methionine,C03145,0.108971965,0.244237699,0.348046352,0.407335577,0.27490321,0.045372206,0.585288754,0.101992978,0.314417935
CDP-choline+,C00307,0.112034797,0.733563126,0.772930326,0.040699886,0.434034668,0.456631218,0.33366283,0.533406084,0.149993578
2-hydroxybutanoic acid,C05984,0.115346894,0.196128139,0.125524004,0.647072496,0.393447105,0.161401863,0.100877467,0.115590365,0.598207814
arginine,C02385,0.114470967,0.455951216,0.561343003,0.798219774,0.195601938,0.755007112,0.106714245,0.10043056,0.171226183
D-erythrose-4-phosphate,C00279,0.122863402,0.262816677,0.361347214,0.128295479,0.434930704,0.68852339,0.08507413,0.293013905,0.154620919
UDP-D-galactose / UDP-D-glucose,C00052 / C00029,0.123472247,0.765277965,0.042555842,0.060601985,0.817932166,0.093228189,0.164325825,0.726405687,0.44405513
3- / 4-hydroxyphenylacetic acid,C05593 / C00642,0.128639764,0.821963684,0.616838474,0.157440612,0.890098327,0.256664069,0.429411585,0.644113882,0.219806109
hypoxanthine,C00262,0.129769553,0.058547175,0.136984336,0.034382101,0.93457448,0.537678731,0.710396001,0.250660859,0.104198079
UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine,C00203 / C00043,0.12673059,0.002751171,0.654463601,0.075207462,0.610877135,0.543941149,0.42433381,0.575467296,0.169824829
citrulline,C00327,0.13788504,0.320102719,0.057002166,0.344175336,0.008180352,0.113897154,0.132363443,0.467264497,0.535295283
citrate / citrate(iso),C00158 / C00311,0.147124744,0.44947926,0.197259048,0.117478157,0.361077114,0.545476716,0.063905896,0.574057355,0.261156542
serine,C00716,0.145769035,0.274261609,0.39795797,0.018771998,0.539343936,0.737468254,0.280822262,0.26188057,0.032528558
DL-DOPA,C00355,0.149298189,0.239399636,0.029108671,0.797288283,0.485944659,0.966230065,0.214333551,0.168187229,0.099240691
methionine,C00073,0.154941785,0.415670246,0.203626518,0.461079243,0.29188751,0.877789463,0.043475457,0.218151,0.104309171
2-keto-3-deoxy-d-gluconic acid,C01216,0.158788006,0.625198167,0.628449936,0.982929724,0.397074021,0.310876062,0.416574147,0.186367904,0.775360275
N-acetyl-DL-alanine ,n/a,0.161895411,0.359948588,0.185930602,0.484596901,0.060558065,0.427990587,0.871498261,0.944976149,0.074609516
5-HIAA,C05635,0.171005045,0.582631229,0.033846747,0.589592166,0.538251579,0.528254466,0.016537012,0.326913336,0.666112146
D-galactosamine/glucosamine-1/6-phosphate,C03783 / C00352 / C06377 / C06156,0.170212056,0.382030499,0.248662881,0.088081769,0.671429472,0.203495712,0.202453952,0.967981579,0.72296782
spermine,C00750,0.16841509,0.845071933,0.283559202,0.690036869,0.11544077,0.742350781,0.124647981,0.074218277,0.229125031
L-NMMA,C03884,0.180033946,0.624471379,0.476302776,0.708139689,0.170729503,0.506266953,0.167686106,0.287478196,0.227842573
