"","KEGG","metab"
"1","C00366","uric acid"
"2","C05512","deoxyinosine"
"3","C00099","b-alanine"
"4","C03150","nicotinamide riboside+"
"5","C00242","guanine"
"6","C00385","xanthine"
"7","C00455","NMN"
"8","C01181","deoxycarnitine+"
"9","C00147","adenine"
"10","C00037","glycine"
"11","C01094","F1P"
"12","C00511","acrylic acid"
"13","C00303","glutamine"
"14","C00387","guanosine"
"15","C00588","phosphorylcholine+"
"16","C00250","pyridoxal"
"17","C02630","2-HG"
"18","C01005","3-phospho-serine"
"19","C01042","N-acetylaspartic acid"
"20","C05382","D-sedoheptulose-7-phosphate"
"21","C00322","2-oxoadipic acid"
"22","C02794","3-hydroxykynurenine"
"23","C04677","AICA ribonucleotide"
"24","C00815","citramalic acid"
"25","C07446","isonictinic acid "
"26","C16435","proline"
"27","C04281","pyrroline hydroxycarboxylic acid"
"28","C00086","urea"
"29","C01159-C03339","2,3-bisphospho-D-glycerate"
"30","C00003","NAD+"
"31","C02835","imidazole-4-acetate"
"32","C00294","inosine"
"33","C00179","agmatine"
"34","C00475","cytidine"
"35","C01732","mesaconic acid"
"36","C00768","histidine"
"37","C00624","N-acetyl-L-glutamic acid"
"38","C00295","orotic acid"
"39","C00255","vitamin B2"
"40","C00466","acetoin -"
"41","C00736-C00097","cysteine"
"42","C00652","D-arabinono-1,4-lactone"
"43","C16438","asparagine"
"44","C00300","creatine"
"45","C04640","2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine"
"46","C00544","homogentisic acid"
"47","C00170","5'-methylthioadenosine"
"48","C01718","kynurenine"
"49","C03406","L-arginino-succinate"
"50","C00542","cystathionine"
"51","C01073","N-acetyl-b-alanine"
"52","C00019","S-adenosyl-L-methionine+"
"53","C00345","6-phosphogluconic acid"
"54","C02571","acetylcarnitine+"
"55","C00055","CMP"
"56","C01118","O-succinyl-homoserine"
"57","C02378","6-aminohexanoate"
"58","C00302","glutamate"
"59","C03145","N-formyl-L-methionine"
"60","C05984","2-hydroxybutanoic acid"
"61","C02385","arginine"
"62","C00307","CDP-choline+"
"63","C00279","D-erythrose-4-phosphate"
"64","C00262","hypoxanthine"
"65","C00327","citrulline"
"66","C00716","serine"
"67","C00355","DL-DOPA"
"68","C00073","methionine"
"69","C01216","2-keto-3-deoxy-d-gluconic acid"
"70","n/a","N-acetyl-DL-alanine "
"71","C05635","5-HIAA"
"72","C00750","spermine"
"73","C03884","L-NMMA"
"74","C00130","IMP"
"75","C01996","acetylcholine+"
"76","C00164","acetoacetic acid"
"77","C02670","D-glucuronolactone"
"78","C00026","a-KG"
"79","C00127","glutathione disulfide"
"80","C00044","GTP"
"81","C00498","ADP-D-glucose"
"82","C00169","carbamoyl phosphate"
"83","C00490","itaconic acid"
"84","C00645","ManNAC"
"85","C01602","ornithine"
"86","C01081","thiamine phosphate+"
"87","C00006","NADP+"
"88","C00806","tryptophan"
"89","C00120","biotin"
"90","C00112","CDP"
"91","C00072","ascorbic acid"
"92","C01384","maleic acid"
"93","C00655","XMP"
"94","C00669","y-glutamylcysteine"
"95","C00246","butyric acid"
"96","C03758","dopamine"
"97","C00325","GDP-L-fucose"
"98","C00337","dihydroorotate"
"99","C00035","GDP"
"100","C00015","UDP"
"101","C00104","IDP"
"102","C01026","dimethylglycine"
"103","C00005","NADPH"
"104","C00864","pantothenic acid"
"105","C00134","putrescine"
"106","C00214","thymidine"
"107","C00074","phosphoenolpyruvate"
"108","C00780","serotonin"
"109","C05422","dehydroascorbic acid"
"110","C00526","deoxyuridine"
