Sample	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4
Group	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F
TIC	1	1.330504462	1.604105229	1.402906283	1.315109223	1.119164793	1.386815887	1.390001224	1.478270158	1.509595854	1.539938513	1.326156115	1.003400819	1.481829882	1.290303483	1.425414618	1.481733733	1.466283455	1.419109824	1.409551958	1.45374971	1.398098205	1.016394738	1.444218978
"1,3-bisphospho-D-glycerate"			20946.94402					17284.04753																
1-methylnicotinamide+																								
1-phenylethylamine																								
2- / 3-phosphoglycerate	3581311.418	6477582.63	23989865.14	8346105.484	5871604.372	4393665.545	6509187.206	9845878.235	4987286.64	8190732.822	10056454.97	10233892.88	3152185.618	12767907.24	4919150.011	8975162.027	5836132.424	5898839.015	4058338.561	6845192.558	7355586.148	9556540.843	2536770.082	8548388.088
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	132704.0987	428129.6694	1629267.519	773911.9826	159358.788	238898.7468	1315663.409	837941.8007	278463.037	1551399.694	265566.2998	600523.052	307615.3844	940462.8706	600679.3919	685394.3412	568668.7355	191042.1482	341474.2175	739206.1027	1353409.286	921151.9053	161900.0667	543881.6797
"2,3-bisphospho-D-glycerate"	89397.0314	50806.94268	60156.02017	32507.72844	48713.50512	33138.60833	92520.36333	113932.1089	62842.75317	53500.03543	38124.38379	58686.77553	62704.69975	48643.41057	97765.94054	48451.94518	36289.57467	76784.49028	39275.06534	32651.38672	112405.1142	70744.76297	10023.16225	46482.31473
2-aminobutanoate / 2-/3-aminoisobutanoate	49770797.24	153050334.5	122704491.4	133125217.3	77190359.77	68538826.87	104213713.7	112828652.4	125444919.3	129027615.7	91166978.83	80215387.53	69640958.93	109631206.3	78205711.01	134960835.4	104896829.9	95555632.83	97662156.22	115442278.3	89101251.23	115699581.5	76357642.4	103357195.9
2-HG	3588288071	4713409422	6491571191	4682880263	4451767561	3121709544	5699858301	4884866039	5569172300	4951267744	4722761926	4214692311	3137797885	5835134959	4530882897	3897477880	3345902695	3844449749	5018995551	5729524648	6458233000	5716055941	2335923747	5070934285
2-hydroxybutanoic acid	1949575.349	1518971.93	1334056.476	1959532.765	1750600.936	2026026.442	2425418.328	1954624.915	2893008.367	2811261.386	2907243.972	1297454.379	1419783.591	2582706.092	1422189.12	2371133.578	3840632.679	2137223.146	2694495.641	2217864	1327622.152	2835588.032	1739893.393	1808622.635
2-keto-3-deoxy-d-gluconic acid	2667830.726	2449684.346	8466179.422	3657986.168	4459046.581	2394267.859	6962832.947	4858703.829	9820295.539	3762934.192	5760350.559	5406692.122	2393280.118	6580617.71	3297488.097	4696252.287	5666680.042	9756303.203	7320719.425	7452079.241	6825238.721	6707731.89	2331301.203	6923483.018
2-keto-isovaleric acid	16846835.98	32027713.88	36949195.04	60842348.59	30980004.06	21720221.34	27212714.85	23519645.23	47562820.09	48146443.53	37372697.56	23333141.53	20329732.88	28085027.34	15731821.28	58689707.52	31124818.7	44749568.33	37373214.09	35638704.28	32168992.83	53436991.64	47612398.8	52371567.35
2-ketovaleric acid		1387642.637			1453370.193		2266827.141		2083792.283									2578399.698						
2-oxoadipic acid	13348418.66	8218809.695	57942409.21	10254554.61	11836336.93	12630327	26334143.83	12165612.28	46798021.11	7039880.351	9474377.779	21751789.24	11790772.01	7299344.769	16123617.55	9515392.826	19889730.36	21127196.7	22357578.23	8572328.453	32687931.7	10462414.06	9485136.516	18796561.42
