"","ID","x","y","names"
"nicotinamide riboside+","C03150","0","0","nicotinamide riboside+"
"nicotinamide","C00153","0","5","nicotinamide"
"nicotinic acid","C00253","0","7.5","nicotinic acid"
"NMN","C00455","5","2.5","NMN"
"NAMN","C01185","5","7.5","NAMN"
"NADP+","C00006","10","-2.5","NADP+"
"NAD+","C00003","10","2.5","NAD+"
"NAAD","C00857","10","7.5","NAAD"
"NADPH","C00005","15","-2.5","NADPH"
"NADH","C00004","15","2.5","NADH"
"tryptophan","C00806","20","10","tryptophan"
"3-hydroxykynurenine","C02794","5","10","3-hydroxykynurenine"
"kynurenine","C01718","10","10","kynurenine"
"kynurenic acid","C01717","10","12.5","kynurenic acid"
"N-Formylkynurenine","C02700","15","10","N-Formylkynurenine"
