Gene name,NBs,GMCs,Hey,Secondary neurons (low Imp),Secondary neurons (high Imp),Secondary motor neurons,Motor neurons,Interneurons,Glia precursors,Midline glia,Subperineurial glia,Cortex glia 1,Cortex glia 2,Astrocytes,Ensheathing glia,Trachea,Twi+,Unannotated
Myo81F,87.63047087,2.746034324,8.839424563,1.073030941,1.031908366,1.054009463,17.76621091,19.60343912,1.130365475,1.060818355,1.042334717,1.055865912,1.114603542,1.031605178,1.137276124,1.335307829,1.02144877,1.405769229
CR46123,1.003019193,1.003542919,1.000885775,1,1.002419065,1.001698261,1.007491733,1.003685024,1,1,1,1,1.012128379,1,1.012946696,1,1,1.002915221
Parp,18.68689097,5.06320438,6.694000209,30.88843596,4.505314145,2.070801834,24.5810073,18.34755823,1.430094732,3.354602186,1.617646243,1.491739831,5.278531153,2.898425635,4.446770263,3.628189169,1.91031942,1.472792598
Alg-2,10.38089065,3.652094433,8.69453474,562.3413252,8.546618798,4.413719366,19.79686559,104.5127629,3.86477721,6.422325422,9.540954763,15.93532322,33.18504481,16.24840782,68.86345795,115.3494436,43.70720101,1.552021017
Tim17b,8380.662378,100.0663343,1586.109798,51794.74679,1457.785409,32.08217602,5362.107226,11290.56447,7.103986802,16.03718744,15.51945087,17.42395383,190.5920196,118.2967935,697.550122,1359.356391,249.0653795,2.714115458
CG41128,2122.203943,50.30852072,376.8203291,16187.64507,175.5864833,21.06239425,9778.574002,51388.10701,3.439384159,6.235507341,11.26213291,3.788042473,41.47639933,13.82103417,132.7104213,142.3929122,16.2922688,2.299151745
CG41099,3.146112777,2.051115027,2.764913953,2.171374303,1.730593918,1.575775969,4.584206594,7.787065037,1.247778043,1.914481976,1.412732785,1.407336581,3.318504481,1.718443015,2.908621104,2.027574143,1.699866231,1.215354316
CG42402,1.799039035,1.247099001,5.576312328,1.073030941,1.007274765,1.010232923,1.332899505,5.470401082,1.038266909,1,1.016723545,1.035564289,1.055747859,1.012524185,1.094223771,1.043769618,1,1.107255351
Gfat1,1.012742001,1.005985954,1.023891131,1.048113134,1.002419065,1.003399405,1.015039591,1.033658301,1,1,1.002768032,1.003890491,1,1.006242607,1.182022377,8.276171038,1,1.035549039
CG12581,1.007261383,1.002212856,1.003251678,1.023773966,1.007274765,1,1.01125862,1.014821773,1.001978422,1,1.002768032,1,1.012128379,1,1.630386245,4.759040271,1,1.0176193
beta-Man,1.009693542,1.01245523,1.011576469,2.047502731,1.131137017,1.046879827,1.007491733,1.01109586,1.326620735,3.558623573,1.66298509,1.150027599,2.0612759,1.645190588,1.927153025,2.12388884,2.035896803,1.026545025
CG14636,1.003624124,1.005985954,1.000885775,1.035872068,1.007274765,1.010232923,1,1,1,1,1.065641302,1,1,1.012524185,1.012946696,1.028970919,1,1
aux,1.257484057,1.139300237,1.363669255,1.373267373,1.245913618,1.145390493,1.284073701,1.589563769,1.019961293,1.125335583,1.074515006,1.072393398,1.234875109,1.084264241,1.197325661,1.203982446,1.100207635,1.050731573
DhpD,1.281981165,1.144854037,1.112423583,2.047502731,1.264107012,1.105295141,1.218707584,1.060618274,1.093016227,1.159051048,1.170650813,1.163502404,1.418510193,1.314979308,1.361689888,1.545778587,1.317697337,1.023561118
CG14641,6.004488824,2.83735389,3.66077842,18.42069969,8.484893193,2.9875363,6.758054939,7.673332644,1.337150397,1.557068405,1.59985872,1.412811811,4.326389884,1.934133675,6.212924691,6.40031797,4.101127071,1.24037346
abs,1.278893116,1.125035852,1.184597684,1.279802214,1.637045915,1.195023831,1.332899505,1.322530665,1.046507847,1.092600861,1.092484707,1.072393398,1.265010822,1.168335485,1.27686579,1.165914401,1.185039206,1.041595548
Gel,1.246914302,1.105560734,1.170350154,1.165001624,1.133873311,1.081180751,1.241661575,1.397550185,3.012797603,60.54123584,1.35161294,1.043637671,11.14603542,3.71766515,1.108390354,1.174268583,1.197680597,1.050731573
