"","TktOEWT1","TktDfWT1","WT1","TktDfGR1","GR1","TktOEGR1","TktOEWT2","TktDfWT2","WT2","TktDfGR2","GR2","TktOEGR2","TktOEWT3","TktDfWT3","WT3","TktDfGR3","GR3","TktOEGR3","TktOEWT4","TktDfWT4","WT4","TktDfGR4","GR4","TktOEGR4"
"1,3-bisphospho-D-glycerate",NA,NA,13058335.3518886,NA,NA,NA,NA,12434555.6187798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-methylnicotinamide+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-phenylethylamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2- / 3-phosphoglycerate",3581311418,4868516277.09911,14955293896.1213,5949153970.67902,4464727544.53491,3925843247.10793,4693620304.6252,7083359399.25762,3373731528.7129,5425778562.05479,6530426302.80655,7716959386.79135,3141501938.51895,8616311086.10617,3812397684.5841,6296527279.61571,3938718741.44611,4022986820.78493,2859777652.41656,4856289631.00628,5059733527.30712,6835385961.31736,2495851254.59396,5919038745.66035
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine",132704098.7,321779957.623321,1015686184.13873,551649095.864802,121175325.374477,213461635.224974,948693637.946477,602835296.99971,188370870.840511,1027692073.93438,172452534.668181,452829832.934111,306572785.845015,634663183.691959,465533418.931335,480838580.259319,383786049.298238,130290052.410091,240625645.545528,524426289.151379,930978198.441051,658860659.434149,159288572.290897,376592253.657534
"2,3-bisphospho-D-glycerate",89397031.4,38186224.9478123,37501292.9840652,23171703.50858,37041413.9510601,29610124.0293394,66714236.6894446,81965473.7944317,42511007.0915739,35439972.4192671,24757081.8368123,44253293.3085333,62492175.1733192,32826582.2959022,75769725.3615799,33991474.8790657,24491292.7753397,52366743.9731153,27675846.2775605,23164372.5757572,77320816.2497243,50600710.8205965,9861485.77443737,32185087.8835356
"2-aminobutanoate / 2-/3-aminoisobutanoate",49770797240,115031808514.145,76494041152.4586,94892452128.251,58695018193.1771,61241049842.4248,75146033930.6021,81171620896.3569,84859265149.2867,85471628289.1964,59201700626.6016,60487137692.6841,69404925341.206,73983665487.9929,60610323106.4439,94681809556.1301,70793306222.178,65168595133.606,68819308110.1523,81899980802.2685,61290640759.6119,82754974640.712,75125971775.7413,71566152691.8392
"2-HG",3588288071000,3542573179284.84,4046848718925.28,3337985095473.41,3385093407561.02,2789320718025.84,4110032452346.72,3514289019791.54,3767357590127.31,3279863104340.51,3066850972380.35,3178126815785.94,3127162969756.36,3937790045861.69,3511486217541.27,2734276631362.57,2258099832974.51,2621900789980.61,3536721024771.09,4064784285163.61,4442465546562.34,4088450954702.43,2298244628456.55,3511194882664.12
"2-hydroxybutanoic acid",1949575349,1141651135.62768,831651472.660339,1396766689.79606,1331144900.65438,1810302159.85359,1748911553.96751,1406203736.55153,1957022775.12931,1862260934.64086,1887896138.35705,978357196.656293,1414971528.93992,1742916729.76264,1102212881.49464,1663469385.01791,2591985721.4994,1457578436.63318,1898722421.21833,1573453172.4158,913239839.614482,2028175146.68077,1711828414.64101,1252318839.83732
"2-keto-3-deoxy-d-gluconic acid",2667830726,1841169583.39069,5277820475.20525,2607434446.8525,3390628324.26049,2139334505.49494,5020733474.62308,3495467302.55253,6643099358.97387,2492676554.47602,3740636726.96781,4076965042.68655,2385168591.33638,4440872592.68807,2555591099.6483,3294657026.59154,3824357855.79837,6653763410.97704,5158670105.1546,5286842530.85192,4694920091.16205,4797754453.87973,2293696647.41417,4793928845.60197
