Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Myo81F,1.002495083,1,1,1,1.015679663,1.008861195,1.004671983,1.073810967,1.012946696,1.033199999
CR46123,1,1,1,1,1,1.017800911,1,1.024021979,1,1
Parp,1.226717579,2.15443469,2.6196242,1.508979659,1.570167363,3.722898758,1.262451129,5.656884604,1.927153025,1.319980076
Alg-2,3.001046518,8.329806648,12.07149354,6.392086351,6.570033252,17.12838732,9.500200991,52.68045103,34.38055231,7.637983633
Tim17b,4.077459071,15.22438235,61.11721022,11.38744605,12.24159023,57.86981677,9.861140021,456.871234,173.8695234,6.648061608
CG41128,2.122461528,4.993587893,9.369105153,13.34725167,6.777680324,16.10262028,2.612185706,56.56884604,14.89993444,4.641588834
CG41099,1.135520045,1.494869134,1.672131546,1.445022496,1.243353424,2.570169028,1.262451129,2.464634806,1.738695234,1.288039193
CG42402,1,1.018442485,1,1.007244249,1,1.026819843,1.004671983,1.024021979,1,1.008198621
Gfat1,1,1,1.007267112,1.007244249,1,1,1.004671983,1.048621014,1,1
CG12581,1,1.018442485,1,1.007244249,1,1,1,1.569915541,1,1
beta-Man,1.267108642,2.782559402,1.612676175,1.718342445,1.750827032,1.955184472,1.134111803,1.685792525,2.163692455,1.341712835
CG14636,1,1,1,1,1.408149122,1,1,1.024021979,1,1
aux,1.004996391,1.095676986,1.090776692,1.082636734,1.080895687,1.15160272,1.052609309,1.099606032,1.080238255,1.033199999
DhpD,1.056354104,1.178768635,1.269911877,1.20643715,1.115057588,1.224961969,1.118363529,1.60762802,1.27686579,1.085078087
CG14641,1.164172446,1.441219597,1.771852938,1.424311614,1.343935353,3.012501023,1.250736984,6.679474067,3.910018128,1.444024189
abs,1.038087033,1.157422881,1.147488727,1.098379329,1.080895687,1.302994339,1.042842263,1.298380732,1.137276124,1.058821363
Gel,2.362526145,21.9416782,3.655047975,1.014540976,1.365007807,9.075162414,1.042842263,1.60762802,1.260545886,1.277564921
CG14642,1,1.31536905,1.014587035,1,1,1,1,1,1,1
CG34305,1,1.018442485,1,1,1,1,1,1.024021979,1,1
TwdlU,1.002495083,1.037225095,1,1,1,1,1,1,1.012946696,1
TwdlG,1,1,1,1,1,1,1,1,1,1
TwdlV,1,1,1,1,1,1,1,1,1,1
CG1092,1.004996391,2.077113926,1.014587035,1,1,1.008861195,1,1.024021979,1,1.008198621
CG9766,1,1,1,1,1,1,1,1,1,1
cpx,1.030355309,1.136463666,1.098703488,1.059444888,1.0477804,1.017800911,1.067431663,1.126020745,1.052801194,1.267175827
CG9780,1,1,1,1,1,1,1,1,1,1
Vps24,1.36206908,5.085682064,2.857425017,2.277019612,4.249896743,4.287300337,2.239764873,4.56871234,3.101845139,2.475238328
MP1,1.077624688,2.586416205,1.198440155,1,1.064209244,1.500531824,1.749504161,3.689863575,1.361689888,1.102943312
CR46140,1,1.037225095,1,1.007244249,1,1,1.004671983,1,1,1
Suv3,1.02268117,1.115883993,1.098703488,1.051825205,1.031605178,1.131461672,1.047714405,1.153069992,1.228529176,1.041670815
Syt14,1.002495083,1,1,1,1.015679663,1,1,1,1,1
CG9795,1.048486325,1.200508058,1.251653957,1.20643715,1.186654592,1.326188825,1.082462738,1.49712386,1.65149436,1.130294175
CG9776,1.074942617,1.55051578,1.316730378,1.163672366,1.132541315,1.989988537,1.128837892,2.77522992,1.761205593,1.256871215
