Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
Myo81F,10,5.97469568,10.69019205,10.36632928,8.030857221,6.855917356,3.414548874,32.90344562,6.158482111,3.72759372,19.85511196,4.270067916,6.640827851,7.19685673,3.528735021,16.78804018,7.498942093,1.132541315,2.682695795,2.912632655,3.913745602,4.641588834,5.878016072,13.33521432,5.108969775,3.792690191,1.668100537,3.16227766
CR46123,1,1,1,1,1,1,1,1,1,1,1.05021108,1,1,1.056354104,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parp,26.6072506,10.30760802,17.63505472,10.74607828,13.89495494,12.07722655,17.11328304,18.87391822,10.84145869,23.29951811,5.554958913,19.16940777,6.309573445,6.812920691,19.30697729,25.11886432,17.7827941,1.452653926,9.210553177,29.12632655,5.994842503,3.913745602,6.422325422,21.5443469,16.15598098,3.359818286,2.15443469,10
Alg-2,35.48133892,33.59818286,21.5443469,37.85515249,299.3577295,38.91920267,32.85993248,148.7352107,48.32930239,132.5711366,58.33879398,42.70067916,8.576958986,46.41588834,29.93577295,39.81071706,47.3151259,21.10203429,47.70582696,47.70582696,39.13745602,19.78318883,20.30917621,42.16965034,51.08969775,3.359818286,11.36463666,5.011872336
Tim17b,17782.7941,738.6199822,967.1798643,283.8735965,5372.281118,92.72847442,241.7315481,1547.587355,4281.332399,6551.285569,583.3879398,258.847204,95.01185073,268.2695795,415.9562163,794.3282347,944.0608763,27.0665207,92.10553177,24709.11228,118.5971012,91.82542836,53.79838403,1333.521432,1615.598098,10,5.274997064,15.84893192
CG41128,57323.58369,441302.9617,44892.51258,212875.1662,268269.5795,1972795.039,4298.662347,2212216.291,39490.3723,494171.3361,6434.438263,11052951.41,3782.489906,11158.83993,203950.0469,59566.21435,334965.4392,32622.2201,7196.85673,477058.2696,303027.1083,197.8318883,109260.0861,1211527.659,56234.13252,78.47599704,359.3813664,3162.27766
CG41099,5.623413252,4.832930239,5.670523941,4.067944321,7.742636827,5.068950297,8.576958986,9.236708572,5.239601353,3.393221772,6.126804781,7.785819799,2.643761186,3.528735021,5.179474679,6.683439176,8.413951416,1.452653926,5.179474679,11.78768635,7.742636827,3.300034791,3.775053205,3.83118685,4.216965034,1.832980711,1.668100537,3.16227766
CG42402,52.07948329,3.909356383,2.083725851,4.216965034,28.86140441,6.855917356,5.623413252,3.856620421,1.832980711,1.526417967,17.14125253,2.721338768,16.68100537,2.275845926,13.89495494,10,2.66072506,1.365007807,1.279802214,1.178768635,5.994842503,1.406527242,1.42510267,19.57341781,2.371373706,3.792690191,1.291549665,1.584893192
Gfat1,1.019373486,1.062467831,1.033933849,1.036632928,1.075835899,1.038468775,1,1,1.084145869,1.206792641,1,1,1.107756851,1.056354104,1.31536905,1.059253725,1.059253725,1,1,1,1,1.089022962,1,1.100694171,1.333521432,1.274274986,1,1
CG12581,1,1,1,1,1,1.038468775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333521432,1,1,1
beta-Man,1,1,1,1,1,1,1.039122304,1.04049831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.100694171,1,1,1
CG14636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.089022962,1,1,1,1,1,1
aux,1.467799268,1.313472706,1.492495545,1.333521432,1.494869134,2.209338675,1.467799268,1.487352107,1.32680475,1.325711366,1.479833198,1.162030136,1.291549665,1.178768635,1.467799268,1.496235656,1.883649089,1.132541315,1.279802214,1.637893707,1.406527242,1.406527242,1.193776642,1.615598098,1.467799268,1.128837892,1.467799268,2.511886432
DhpD,1,1.062467831,1.033933849,1.074607828,1,1,1,1.04049831,1.084145869,1,1,1.105295141,1.052500285,1,1.056354104,1,1.258925412,1,1,1,1.089022962,1,1,1,1,1.274274986,1,2.511886432
CG14641,4.823178482,1.832980711,2.813684268,2.458244069,5.372281118,2.209338675,2.417315481,4.344412299,3.94903723,2.120950888,3.753773682,2.721338768,1.668100537,2.993577295,2.275845926,3.981071706,2.985382619,1.205260937,4.393970561,7.813707377,2.782559402,2.55509709,2.424462017,2.610157216,5.623413252,2.069138081,1.668100537,2.511886432
abs,1.554771842,1.163561851,1.069019205,1.286396945,1.245197085,1.119902793,1.165914401,1.32035178,1.084145869,1.048113134,1.216483949,1.350314038,1.107756851,1,1.31536905,1.412537545,1.258925412,1.064209244,1.389495494,1.389495494,1.089022962,1.089022962,1,1.211527659,1.211527659,1,1.136463666,1.258925412
Gel,1.122018454,1.274274986,1.221677349,1.240937761,1.55051578,1.078417397,1.525222957,1.610262028,1.175372265,1,1.158323286,1.221677349,1.107756851,1.930697729,1.178768635,1.188502227,1.188502227,1.205260937,2.275845926,1.178768635,1.406527242,1.978318883,1.193776642,1.467799268,1.211527659,1.274274986,1,1.258925412
CG14642,1.059253725,1.128837892,1.14280206,1.240937761,1.075835899,1.162984082,1.039122304,1.21957046,1.128837892,1.206792641,1.05021108,1,1,1.115883993,1.056354104,1.258925412,1.059253725,1.064209244,1,1.085711119,1,1,1.092600861,1.100694171,1.100694171,1.274274986,1,1.584893192
CG34305,1.039122304,1.030760802,1,1,1.037225095,1,1.039122304,1.126481692,1,1,1,1,1,1.056354104,1.056354104,1.059253725,1,1,1,1,1,1,1.092600861,1,1,1.128837892,1,1
TwdlU,1,1,1,1.036632928,1,1,1,1.04049831,1,1,1.05021108,1,1,1,1,1,1,1,1,1,1,1,1,1.100694171,1.100694171,1,1,1
TwdlG,1,1.128837892,1,1,1,1,1,1,1,1,1,1.221677349,1.107756851,1,1,1.059253725,1,1,1,1,1,1,1,1,1,1,1,1
TwdlV,1,1,1,1,1,1,1,1,1,1,1,1.051330177,1.505836354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG1092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG9766,1,1.062467831,1.033933849,1.036632928,1,1.038468775,1,1.04049831,1.041223256,1,1,1.105295141,1,1,1.056354104,1,1.059253725,1,1,1,1,1,1,1.100694171,1,1,1,1
cpx,7356422545,2.00739E+19,9.6718E+22,1.65482E+25,1E+16,6.12189E+30,4.64159E+16,1.67547E+33,1.49775E+17,1.52642E+23,6.75752E+17,2.86103E+30,34145488738,76024.29141,1.7302E+19,7.94328E+22,4.46684E+28,88.29699955,3727593720,4.04709E+30,8.43191E+13,77426.36827,1.55707E+20,6.18966E+22,4.21697E+14,1128837.892,6812.920691,1.99526E+23
CG9780,1.019373486,1,1,1,1,1,1.039122304,1,1,1,1,1,1,1.056354104,1,1.059253725,1,1.064209244,1,1,1,1,1,1,1,1,1,1
Vps24,94.40608763,36.79505646,40.61585988,46.97588817,322.0597919,36.08918289,46.41588834,57.3615251,33.59818286,79.06043211,20.85205857,49.61947603,3.414548874,299.3577295,9.466522603,70.79457844,44.66835922,2.70665207,43.93970561,1000,21.5443469,505.4796821,26.48969288,26.10157216,51.08969775,18.32980711,6.812920691,7.943282347
MP1,1.079775162,1.030760802,1,1.11397386,1.115883993,1,1,1.04049831,1,1.59985872,1,1,1,1.056354104,1.056354104,1,1,1,1.085711119,1.085711119,1,1,1,1,1.100694171,1,1,1
