,GRF.CxDf,GRF.CxOE,WTF.CxDf,WTF.CxOE,GRxWT.FC,GRxWT.FDf,GRxWT.FOE,GRDfxWT.F,GROExWT.F,GRM.CxDf,GRM.CxOE,WTM.CxDf,WTM.CxOE,GRxWT.MC,GRxWT.MDf,GRxWT.MOE,GRDfxWT.M,GROExWT.M,GR.FxM,WT.FxM,Geno,TKT,Sex
GR.F,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,GR,Control,F
TktDfGR.F,T,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,GR,Df,F
TktOEGR.F,F,T,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,GR,OE,F
WT.F,F,F,T,T,T,F,F,T,T,F,F,F,F,F,F,F,F,F,F,T,WT,Control,F
TktDfWT.F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,WT,Df,F
TktOEWT.F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,WT,OE,F
GR.M,F,F,F,F,F,F,F,F,F,T,T,F,F,T,F,F,F,F,T,F,GR,Control,M
TktDfGR.M,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,T,F,F,F,GR,Df,M
TktOEGR.M,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,T,F,F,GR,OE,M
WT.M,F,F,F,F,F,F,F,F,F,F,F,T,T,T,F,F,T,T,F,T,WT,Control,M
TktDfWT.M,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,WT,Df,M
TktOEWT.M,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,WT,OE,M
