FBgn,Symbol
FBgn0010358,deltaTry
FBgn0013981,His4r
FBgn0029676,HIP-R
FBgn0035311,CR15821
FBgn0040928,CR15345
FBgn0052641,CG32641
FBgn0053868,His2B:CG33868
FBgn0085734,CR40450
FBgn0262532,CR43086
FBgn0263096,CR43364
FBgn0266808,asRNA:CR45270
FBgn0266854,CR45315
FBgn0267862,CR46150
FBgn0287213,CG46443
FBgn0287597,CG46466
FBgn0287617,asRNA:CR46486
FBgn0000276,CecA1
FBgn0010359,gammaTry
FBgn0014857,His3.3A
FBgn0030116,CR17438
FBgn0036646,CR18217
FBgn0043069,MESK4
FBgn0052745,CR32745
FBgn0058002,ND-AGGG
FBgn0085736,CG40472
FBgn0262546,CR43100
FBgn0263744,CR43669
FBgn0266940,CR45391
FBgn0267936,lncRNA:CR46216
FBgn0287214,lncRNA:CR46444
FBgn0287602,asRNA:CR46471
FBgn0287618,asRNA:CR46487
FBgn0003356,Jon99Cii
FBgn0013276,Hsp70Ab
FBgn0020637,Lcp65Ag2
FBgn0032898,CR9337
FBgn0037389,CR10991
FBgn0046776,CR14033
FBgn0053221,CR33221
FBgn0058354,CR40354
FBgn0086200,CR42490
FBgn0262789,CR43170
FBgn0263746,CR43671
FBgn0267418,CR45771
FBgn0286875,CG46397
FBgn0287217,CR46447
FBgn0287605,lncRNA:CR46474
FBgn0000277,CecA2
FBgn0013275,Hsp70Aa
FBgn0016974,swaΨ
FBgn0030882,Gss1
FBgn0037223,TwdlU
FBgn0043576,PGRP-SC1a
FBgn0053013,CR33013
FBgn0058005,CR40005
FBgn0085789,CR41506
FBgn0262616,CR43142
FBgn0263745,CR43670
FBgn0267412,CG45765
FBgn0284080,CG46302
FBgn0287215,lncRNA:CR46445
FBgn0287604,asRNA:CR46473
FBgn0287620,lncRNA:CR46489
FBgn0004426,LysC
FBgn0013687,mt:ori
FBgn0029523,CR18275
FBgn0033927,CR10102
FBgn0040028,CG17450
FBgn0051032,CR31032
FBgn0053318,CR33318
FBgn0085570,CR41243
FBgn0260954,CG42586
FBgn0262964,CR43275
FBgn0265533,CR44383
FBgn0267520,28SrRNA-Ψ:CR45860
FBgn0286914,lncRNA:CR46414
FBgn0287465,lncRNA:CR46454
FBgn0287614,lncRNA:CR46483
FBgn0004404,RpS14b
FBgn0013686,mt:lrRNA
FBgn0028537,CG31775
FBgn0033327,PGRP-SC1b
FBgn0039307,CR13656
FBgn0050279,CR30279
FBgn0053317,CR33317
FBgn0085494,Mst77Y-16Ψ
FBgn0260718,CR42545
FBgn0262947,lncRNA:CR43266
FBgn0264745,CR44003
FBgn0267519,28SrRNA-Ψ:CR45859
FBgn0286890,lncRNA:CR46409
FBgn0287462,lncRNA:CR46451
FBgn0287613,lncRNA:CR46482
FBgn0004403,RpS14a
FBgn0013279,Hsp70Bc
FBgn0027934,α-Est4aΨ
FBgn0033303,Cyp6a15Ψ
FBgn0038797,Dic2
FBgn0050031,CG30031
FBgn0053294,CR33294
FBgn0084049,CR41440
FBgn0260484,HIP
FBgn0262848,CR43212
FBgn0264706,CR43975
FBgn0267511,28SrRNA-Ψ:CR45851
FBgn0286883,CR46405
FBgn0287461,lncRNA:CR46450
FBgn0287612,lncRNA:CR46481
FBgn0003357,Jon99Ciii
FBgn0013278,Hsp70Bb
FBgn0020638,Lcp65Ag1
FBgn0033131,CR12842
FBgn0037560,CR18228
FBgn0050029,CR30029
FBgn0053222,CR33222
FBgn0058439,CG40439
FBgn0260447,CR11386
FBgn0262815,CR43186
FBgn0263985,CR43734
FBgn0267422,CR45775
FBgn0286877,CG46399
FBgn0287218,CG46448
FBgn0287606,lncRNA:CR46475
FBgn0004828,His3.3B
FBgn0013688,mt:srRNA
FBgn0029526,CR18166
FBgn0033997,Ir51a
FBgn0040045,CR12460
FBgn0052640,CG32640
FBgn0053319,CR33319
FBgn0085732,CR40190
FBgn0262163,βNACtes5
FBgn0262965,CR43276
FBgn0266211,CR44906
FBgn0267691,CR46027
FBgn0287211,CG46441
FBgn0287592,CG46462
FBgn0287615,asRNA:CR46484
