from,to,arrows,color,width,title,FBgn,physics
xanthine,uric acid,to,black,0,NA,FBgn0003308,T
hypoxanthine,xanthine,to,black,0,NA,FBgn0003308,T
xanthosine,xanthine,to,black,0,NA,FBgn0034898,T
xanthosine,xanthine,to,black,0,NA,FBgn0035348,T
guanine,xanthine,to,black,0,NA,FBgn0261436,T
XMP,xanthosine,to,black,0,NA,FBgn0033538,T
XMP,xanthosine,to,black,0,NA,FBgn0050104,T
XMP,xanthosine,to,black,0,NA,FBgn0052549,T
XMP,xanthosine,to,black,0,NA,FBgn0259101,T
XMP,xanthosine,to,black,0,NA,FBgn0034225,T
IMP,XMP,to,black,0,NA,FBgn0003204,T
IDP,IMP,to,black,0,NA,FBgn0037900,T
AMP,IMP,to,black,0,NA,FBgn0052626,T
IMP,adenylosuccinate,to,black,0,NA,FBgn0027493,T
hypoxanthine,inosine,to;from,black,0,NA,FBgn0034898,T
hypoxanthine,inosine,to;from,black,0,NA,FBgn0035348,T
adenosine,inosine,to,black,0,NA,FBgn0033952,T
adenosine,inosine,to,black,0,NA,FBgn0036751,T
adenosine,inosine,to,black,0,NA,FBgn0036752,T
adenosine,inosine,to,black,0,NA,FBgn0037661,T
adenosine,inosine,to,black,0,NA,FBgn0038172,T
IMP,inosine,to,black,0,NA,FBgn0033538,T
IMP,inosine,to,black,0,NA,FBgn0050104,T
IMP,inosine,to,black,0,NA,FBgn0052549,T
IMP,inosine,to,black,0,NA,FBgn0259101,T
IMP,inosine,to,black,0,NA,FBgn0034225,T
hypoxanthine,deoxyinosine,to;from,black,0,NA,FBgn0034898,T
hypoxanthine,deoxyinosine,to;from,black,0,NA,FBgn0035348,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0033952,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0036751,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0036752,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0037661,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0038172,T
AMP,adenosine,to,black,0,NA,FBgn0033538,T
AMP,adenosine,to,black,0,NA,FBgn0050104,T
AMP,adenosine,to,black,0,NA,FBgn0052549,T
AMP,adenosine,to,black,0,NA,FBgn0259101,T
AMP,adenosine,to,black,0,NA,FBgn0034225,T
adenylosuccinate,AMP,to,black,0,NA,FBgn0038467,T
adenosine,AMP,to;from,black,0,NA,FBgn0026602,T
adenosine,AMP,to;from,black,0,NA,FBgn0036337,T
adenosine,AMP,to;from,black,0,NA,FBgn0037995,T
cAMP,AMP,to,black,0,NA,FBgn0000479,T
cAMP,AMP,to,black,0,NA,FBgn0085370,T
cAMP,AMP,to,black,0,NA,FBgn0266377,T
adenosine,adenine,to;from,black,0,NA,FBgn0034898,T
adenosine,adenine,to;from,black,0,NA,FBgn0035348,T
AMP,adenine,to;from,black,0,NA,FBgn0000109,T
AMP,ADP,to;from,black,0,NA,FBgn0022709,T
AMP,ADP,to;from,black,0,NA,FBgn0033754,T
AMP,ADP,to;from,black,0,NA,FBgn0042094,T
ATP,ADP,to;from,black,0,NA,FBgn0000150,T
ATP,ADP,to;from,black,0,NA,FBgn0028997,T
ATP,ADP,to;from,black,0,NA,FBgn0030573,T
ATP,ADP,to;from,black,0,NA,FBgn0039809,T
ATP,ADP,to,black,0,NA,FBgn0037046,T
ADP,dADP,to,black,0,NA,FBgn0011703,T
ADP,dADP,to,black,0,NA,FBgn0011704,T
dATP,dADP,to;from,black,0,NA,FBgn0000150,T
dATP,dADP,to;from,black,0,NA,FBgn0028997,T
dATP,dADP,to;from,black,0,NA,FBgn0030573,T
dATP,dADP,to;from,black,0,NA,FBgn0039809,T
deoxyadenosine,dAMP,to,black,0,NA,FBgn0022338,T
dADP,dAMP,to;from,black,0,NA,FBgn0022709,T
dADP,dAMP,to;from,black,0,NA,FBgn0033754,T
adenine,deoxyadenosine,to;from,black,0,NA,FBgn0034898,T
adenine,deoxyadenosine,to;from,black,0,NA,FBgn0035348,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0033538,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0050104,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0052549,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0259101,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0034225,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0031836,T
deoxyguanosine,guanine,to,black,0,NA,FBgn0034898,T
deoxyguanosine,guanine,to,black,0,NA,FBgn0035348,T
dGTP,dGDP,to;from,black,0,NA,FBgn0000150,T
dGTP,dGDP,to;from,black,0,NA,FBgn0028997,T
dGTP,dGDP,to;from,black,0,NA,FBgn0030573,T
dGTP,dGDP,to;from,black,0,NA,FBgn0039809,T
GDP,dGDP,to,black,0,NA,FBgn0011703,T
GDP,dGDP,to,black,0,NA,FBgn0011704,T
guanine,guanosine,to;from,black,0,NA,FBgn0034898,T
guanine,guanosine,to;from,black,0,NA,FBgn0035348,T
GMP,guanosine,to,black,0,NA,FBgn0033538,T
GMP,guanosine,to,black,0,NA,FBgn0050104,T
GMP,guanosine,to,black,0,NA,FBgn0052549,T
GMP,guanosine,to,black,0,NA,FBgn0259101,T
GMP,guanosine,to,black,0,NA,FBgn0034225,T
