"","logFC","logCPM","F","PValue","FDR"
"FBgn0035750",4.61085398468145,3.73448557073825,160.451955905177,2.26768690533107e-05,0.0416349619337731
"FBgn0265651",-8.14088366831215,3.88016669200258,157.178842371795,2.39982294116204e-05,0.0416349619337731
"FBgn0053242",-6.91425188216941,4.30949857243559,148.192508996313,2.82066423190199e-05,0.0416349619337731
"FBgn0035929",3.28294265426745,4.79120600360443,96.4363160725714,9.07719936845175e-05,0.0416349619337731
"FBgn0000078",4.33828278884335,4.73397307099528,80.4708595171677,0.000147531201594333,0.0416349619337731
"FBgn0011695",2.9714357160509,7.44861890557275,77.0058408263857,0.000165907342294241,0.0416349619337731
"FBgn0026738",-7.19519459597406,2.56876472680454,75.7610645733598,0.000173264229637549,0.0416349619337731
"FBgn0027535",-11.373852738856,2.92873137719159,114.742227048939,0.000184299778281447,0.0416349619337731
"FBgn0000079",4.12413219304322,4.7757333073962,73.9758380255745,0.000184606803411454,0.0416349619337731
"FBgn0263846",-6.4309855226186,2.48892627993371,67.1652123079828,0.000238432896965211,0.0416349619337731
"FBgn0032022",3.6366831130859,4.09026355547666,66.2866355618296,0.000246865559992045,0.0416349619337731
"FBgn0039789",2.72279387129262,4.5518600845992,64.297667551498,0.000267505274263718,0.0416349619337731
"FBgn0035343",4.0025050279416,5.63231569058064,61.8013256420519,0.000296857310713264,0.0416349619337731
"FBgn0039098",3.77031907102873,3.09288554009083,61.0499024966746,0.000306542123651435,0.0416349619337731
"FBgn0032449",-6.03682670646643,2.35961378927855,60.4706070975363,0.00031430246543457,0.0416349619337731
"FBgn0029831",2.94019199234729,3.95034089776506,59.1446952601171,0.00033309343576293,0.0416349619337731
"FBgn0053863",-2.38411456864025,5.24829616922403,57.594000860634,0.000357051879602031,0.0416349619337731
"FBgn0019637",-8.63846181336634,2.61935060188426,57.4776583645623,0.000358942297342814,0.0416349619337731
"FBgn0053806",-2.43192662264046,5.23942599898685,57.4056199655277,0.000360119624753998,0.0416349619337731
