id,connector,color.background,color.border,x,y,size,FC,pval,title,label,KEGG,Pathway,data.id,data.KEGG,shape
xanthine,metabolite,white,black,-75,750,0,NA,NA,,xanthine,C00385,Purine,xanthine,C00385,circle
hypoxanthine,metabolite,white,black,75,750,0,NA,NA,,hypoxanthine,C00262,Purine,hypoxanthine,C00262,circle
xanthosine,metabolite,white,black,-75,600,0,NA,NA,,xanthosine,C01762,Purine,xanthosine,C01762,circle
guanine,metabolite,white,black,-225,675,0,NA,NA,,guanine,C00242,Purine,guanine,C00242,circle
XMP,metabolite,white,black,-75,450,0,NA,NA,,XMP,C00655,Purine,XMP,C00655,circle
IMP,metabolite,white,black,75,450,0,NA,NA,,IMP,C00130,Purine,IMP,C00130,circle
IDP,metabolite,white,black,-75,337.5,0,NA,NA,,IDP,C00104,Purine,IDP,C00104,circle
AMP,metabolite,white,black,375,450,0,NA,NA,,AMP,C00020,Purine,AMP,C00020 / C00362,circle
adenosine,metabolite,white,black,225,525,0,NA,NA,,adenosine,C00212,Purine,adenosine,C00212,circle
deoxyadenosine,metabolite,white,black,375,750,0,NA,NA,,deoxyadenosine,C00559,Purine,deoxyadenosine,C00559,circle
adenylosuccinate,metabolite,white,black,225,337.5,0,NA,NA,,adenylosuccinate,C03794,Purine,adenylosuccinate,C03794,circle
cAMP,metabolite,white,black,487.5,337.5,0,NA,NA,,cAMP,C00575,Purine,cAMP,C02353 / C00575,circle
ATP,metabolite,white,black,600,423.75,0,NA,NA,,ATP,C00002,Purine,ATP,C00002 / C00286,circle
ADP,metabolite,white,black,487.5,525,0,NA,NA,,ADP,C00008,Purine,NA,NA,circle
dATP,metabolite,white,black,637.5,675,0,NA,NA,,dATP,C00131,Purine,dATP,C00131,circle
dADP,metabolite,white,black,525,600,0,NA,NA,,dADP,C00206,Purine,dADP,C00206,circle
adenine,metabolite,white,black,375,600,0,NA,NA,,adenine,C00147,Purine,adenine,C00147,circle
dAMP,metabolite,white,black,525,750,0,NA,NA,,dAMP,C00360,Purine,dAMP,C00360,circle
deoxyguanosine,metabolite,white,black,-337.5,787.5,0,NA,NA,,deoxyguanosine,C00330,Purine,deoxyguanosine,C00330,circle
dGTP,metabolite,white,black,-637.5,712.5,0,NA,NA,,dGTP,C00286,Purine,NA,NA,circle
GDP,metabolite,white,black,-487.5,487.5,0,NA,NA,,GDP,C00035,Purine,GDP,C00035,circle
GMP,metabolite,white,black,-337.5,412.5,0,NA,NA,,GMP,C00144,Purine,GMP,C00144,circle
GTP,metabolite,white,black,-637.5,375,0,NA,NA,,GTP,C00044,Purine,GTP,C00044,circle
dGDP,metabolite,white,black,-525,600,0,NA,NA,,dGDP,C00361,Purine,NA,NA,circle
uric acid,metabolite,white,black,-75,900,0,NA,NA,,uric acid,C00366,Purine,uric acid,C00366,circle
inosine,metabolite,white,black,75,600,0,NA,NA,,inosine,C00294,Purine,inosine,C00294,circle
deoxyinosine,metabolite,white,black,225,825,0,NA,NA,,deoxyinosine,C05512,Purine,deoxyinosine,C05512,circle
guanosine,metabolite,white,black,-225,525,0,NA,NA,,guanosine,C00387,Purine,guanosine,C00387,circle
dGMP,metabolite,white,black,-487.5,712.5,0,NA,NA,,dGMP,C00362,Purine,NA,NA,circle
