"","from","to","arrows","color","width","title","FBgn"
"1","xanthine","uric acid","to","black",0,NA,"FBgn0003308"
"2","hypoxanthine","xanthine","to","black",0,NA,"FBgn0003308"
"3","xanthosine","xanthine","to","black",0,NA,"FBgn0034898"
"4","xanthosine","xanthine","to","black",0,NA,"FBgn0035348"
"5","guanine","xanthine","to","black",0,NA,"FBgn0261436"
"6","XMP","xanthosine","to","black",0,NA,"FBgn0033538"
"7","XMP","xanthosine","to","black",0,NA,"FBgn0050104"
"8","XMP","xanthosine","to","black",0,NA,"FBgn0052549"
"9","XMP","xanthosine","to","black",0,NA,"FBgn0259101"
"10","XMP","xanthosine","to","black",0,NA,"FBgn0034225"
"11","IMP","XMP","to","black",0,NA,"FBgn0003204"
"12","IDP","IMP","to","black",0,NA,"FBgn0037900"
"13","AMP","IMP","to","black",0,NA,"FBgn0052626"
"14","IMP","adenylosuccinate","to","black",0,NA,"FBgn0027493"
"15","hypoxanthine","inosine","to;from","black",0,NA,"FBgn0034898"
"16","hypoxanthine","inosine","to;from","black",0,NA,"FBgn0035348"
"17","adenosine","inosine","to","black",0,NA,"FBgn0033952"
"18","adenosine","inosine","to","black",0,NA,"FBgn0036751"
"19","adenosine","inosine","to","black",0,NA,"FBgn0036752"
"20","adenosine","inosine","to","black",0,NA,"FBgn0037661"
"21","adenosine","inosine","to","black",0,NA,"FBgn0038172"
"22","IMP","inosine","to","black",0,NA,"FBgn0033538"
"23","IMP","inosine","to","black",0,NA,"FBgn0050104"
"24","IMP","inosine","to","black",0,NA,"FBgn0052549"
"25","IMP","inosine","to","black",0,NA,"FBgn0259101"
"26","IMP","inosine","to","black",0,NA,"FBgn0034225"
"27","hypoxanthine","deoxyinosine","to;from","black",0,NA,"FBgn0034898"
"28","hypoxanthine","deoxyinosine","to;from","black",0,NA,"FBgn0035348"
"29","deoxyadenosine","deoxyinosine","to","black",0,NA,"FBgn0033952"
"30","deoxyadenosine","deoxyinosine","to","black",0,NA,"FBgn0036751"
"31","deoxyadenosine","deoxyinosine","to","black",0,NA,"FBgn0036752"
"32","deoxyadenosine","deoxyinosine","to","black",0,NA,"FBgn0037661"
"33","deoxyadenosine","deoxyinosine","to","black",0,NA,"FBgn0038172"
"34","AMP","adenosine","to","black",0,NA,"FBgn0033538"
"35","AMP","adenosine","to","black",0,NA,"FBgn0050104"
"36","AMP","adenosine","to","black",0,NA,"FBgn0052549"
"37","AMP","adenosine","to","black",0,NA,"FBgn0259101"
"38","AMP","adenosine","to","black",0,NA,"FBgn0034225"
"39","adenylosuccinate","AMP","to","black",0,NA,"FBgn0038467"
"40","adenosine","AMP","to;from","black",0,NA,"FBgn0026602"
"41","adenosine","AMP","to;from","black",0,NA,"FBgn0036337"
"42","adenosine","AMP","to;from","black",0,NA,"FBgn0037995"
"43","cAMP","AMP","to","black",0,NA,"FBgn0000479"
"44","cAMP","AMP","to","black",0,NA,"FBgn0085370"
"45","cAMP","AMP","to","black",0,NA,"FBgn0266377"
"46","adenosine","adenine","to;from","black",0,NA,"FBgn0034898"
"47","adenosine","adenine","to;from","black",0,NA,"FBgn0035348"
"48","AMP","adenine","to;from","black",0,NA,"FBgn0000109"
"49","AMP","ADP","to;from","black",0,NA,"FBgn0022709"
