"","enzyme","from","to","arrows","FBgn"
"1","1.17.1.4","xanthine","uric acid","to","FBgn0003308"
"2","1.17.1.4","hypoxanthine","xanthine","to","FBgn0003308"
"3","2.4.2.1","xanthosine","xanthine","to","FBgn0034898"
"4","2.4.2.1","xanthosine","xanthine","to","FBgn0035348"
"5","3.5.4.3","guanine","xanthine","to","FBgn0261436"
"6","3.1.3.5","XMP","xanthosine","to","FBgn0033538"
"7","3.1.3.5","XMP","xanthosine","to","FBgn0050104"
"8","3.1.3.5","XMP","xanthosine","to","FBgn0052549"
"9","3.1.3.5","XMP","xanthosine","to","FBgn0259101"
"10","3.1.3.5","XMP","xanthosine","to","FBgn0034225"
"11","1.1.1.205","IMP","XMP","to","FBgn0003204"
"12","3.6.1.6","IDP","IMP","to","FBgn0037900"
"13","3.5.4.6","AMP","IMP","to","FBgn0052626"
"14","6.3.4.4","IMP","adenylosuccinate","to","FBgn0027493"
"15","2.4.2.1","hypoxanthine","inosine","to;from","FBgn0034898"
"16","2.4.2.1","hypoxanthine","inosine","to;from","FBgn0035348"
"17","3.5.4.4","adenosine","inosine","to","FBgn0033952"
"18","3.5.4.4","adenosine","inosine","to","FBgn0036751"
"19","3.5.4.4","adenosine","inosine","to","FBgn0036752"
"20","3.5.4.4","adenosine","inosine","to","FBgn0037661"
"21","3.5.4.4","adenosine","inosine","to","FBgn0038172"
"22","3.1.3.5","IMP","inosine","to","FBgn0033538"
"23","3.1.3.5","IMP","inosine","to","FBgn0050104"
"24","3.1.3.5","IMP","inosine","to","FBgn0052549"
"25","3.1.3.5","IMP","inosine","to","FBgn0259101"
"26","3.1.3.5","IMP","inosine","to","FBgn0034225"
"27","2.4.2.1","hypoxanthine","deoxyinosine","to;from","FBgn0034898"
"28","2.4.2.1","hypoxanthine","deoxyinosine","to;from","FBgn0035348"
"29","3.5.4.4","deoxyadenosine","deoxyinosine","to","FBgn0033952"
"30","3.5.4.4","deoxyadenosine","deoxyinosine","to","FBgn0036751"
"31","3.5.4.4","deoxyadenosine","deoxyinosine","to","FBgn0036752"
"32","3.5.4.4","deoxyadenosine","deoxyinosine","to","FBgn0037661"
"33","3.5.4.4","deoxyadenosine","deoxyinosine","to","FBgn0038172"
"34","3.1.3.5","AMP","adenosine","to","FBgn0033538"
"35","3.1.3.5","AMP","adenosine","to","FBgn0050104"
"36","3.1.3.5","AMP","adenosine","to","FBgn0052549"
"37","3.1.3.5","AMP","adenosine","to","FBgn0259101"
"38","3.1.3.5","AMP","adenosine","to","FBgn0034225"
"39","4.3.2.2","adenylosuccinate","AMP","to","FBgn0038467"
"40","2.7.1.20","adenosine","AMP","to;from","FBgn0026602"
"41","2.7.1.20","adenosine","AMP","to;from","FBgn0036337"
"42","2.7.1.20","adenosine","AMP","to;from","FBgn0037995"
"43","3.1.4.17","cAMP","AMP","to","FBgn0000479"
"44","3.1.4.17","cAMP","AMP","to","FBgn0085370"
"45","3.1.4.53","cAMP","AMP","to","FBgn0266377"
"46","2.4.2.1","adenosine","adenine","to;from","FBgn0034898"
"47","2.4.2.1","adenosine","adenine","to;from","FBgn0035348"
"48","2.4.2.7","AMP","adenine","to;from","FBgn0000109"
"49","2.7.4.3","AMP","ADP","to;from","FBgn0022709"
"50","2.7.4.3","AMP","ADP","to;from","FBgn0033754"
"51","2.7.4.10","AMP","ADP","to;from","FBgn0042094"
"52","2.7.4.6","ATP","ADP","to;from","FBgn0000150"
"53","2.7.4.6","ATP","ADP","to;from","FBgn0028997"
"54","2.7.4.6","ATP","ADP","to;from","FBgn0030573"
"55","2.7.4.6","ATP","ADP","to;from","FBgn0039809"
"56","3.6.1.15","ATP","ADP","to","FBgn0037046"
"57","1.17.4.1","ADP","dADP","to","FBgn0011703"
"58","1.17.4.1","ADP","dADP","to","FBgn0011704"
"59","2.7.4.6","dATP","dADP","to;from","FBgn0000150"
