"","filter","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"TIC",0.14588573875,1,1.386815887,1.003400819,1.419109824,1.330504462,1.390001224,1.481829882,1.409551958,1.604105229,1.478270158,1.290303483,1.45374971,1.402906283,1.509595854,1.425414618,1.398098205,1.315109223,1.539938513,1.481733733,1.016394738,1.119164793,1.326156115,1.466283455,1.444218978
"1,3-bisphospho-D-glycerate",0,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,17284.04753,3456.809506,3456.809506,20946.94402,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506,3456.809506
"2- / 3-phosphoglycerate",4150254.24825,3581311.418,6509187.206,3152185.618,4058338.561,6477582.63,9845878.235,12767907.24,6845192.558,23989865.14,4987286.64,4919150.011,7355586.148,8346105.484,8190732.822,8975162.027,9556540.843,5871604.372,10056454.97,5836132.424,2536770.082,4393665.545,10233892.88,5898839.015,8548388.088
"2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine",583505.47415,132704.0987,1315663.409,307615.3844,341474.2175,428129.6694,837941.8007,940462.8706,739206.1027,1629267.519,278463.037,600679.3919,1353409.286,773911.9826,1551399.694,685394.3412,921151.9053,159358.788,265566.2998,568668.7355,161900.0667,238898.7468,600523.052,191042.1482,543881.6797
"2,3-bisphospho-D-glycerate",33267.299845,89397.0314,92520.36333,62704.69975,39275.06534,50806.94268,113932.1089,48643.41057,32651.38672,60156.02017,62842.75317,97765.94054,112405.1142,32507.72844,53500.03543,48451.94518,70744.76297,48713.50512,38124.38379,36289.57467,10023.16225,33138.60833,58686.77553,76784.49028,46482.31473
"2-aminobutanoate / 2-/3-aminoisobutanoate",37737840.575,49770797.24,104213713.7,69640958.93,97662156.22,153050334.5,112828652.4,109631206.3,115442278.3,122704491.4,125444919.3,78205711.01,89101251.23,133125217.3,129027615.7,134960835.4,115699581.5,77190359.77,91166978.83,104896829.9,76357642.4,68538826.87,80215387.53,95555632.83,103357195.9
"2-HG",1717622953,3588288071,5699858301,3137797885,5018995551,4713409422,4884866039,5835134959,5729524648,6491571191,5569172300,4530882897,6458233000,4682880263,4951267744,3897477880,5716055941,4451767561,4722761926,3345902695,2335923747,3121709544,4214692311,3844449749,5070934285
"2-hydroxybutanoic acid",925990.452,1949575.349,2425418.328,1419783.591,2694495.641,1518971.93,1954624.915,2582706.092,2217864,1334056.476,2893008.367,1422189.12,1327622.152,1959532.765,2811261.386,2371133.578,2835588.032,1750600.936,2907243.972,3840632.679,1739893.393,2026026.442,1297454.379,2137223.146,1808622.635
"2-keto-3-deoxy-d-gluconic acid",3365458.85,2667830.726,6962832.947,2393280.118,7320719.425,2449684.346,4858703.829,6580617.71,7452079.241,8466179.422,9820295.539,3297488.097,6825238.721,3657986.168,3762934.192,4696252.287,6707731.89,4459046.581,5760350.559,5666680.042,2331301.203,2394267.859,5406692.122,9756303.203,6923483.018
"2-keto-isovaleric acid",21285767.3225,16846835.98,27212714.85,20329732.88,37373214.09,32027713.88,23519645.23,28085027.34,35638704.28,36949195.04,47562820.09,15731821.28,32168992.83,60842348.59,48146443.53,58689707.52,53436991.64,30980004.06,37372697.56,31124818.7,47612398.8,21720221.34,23333141.53,44749568.33,52371567.35
