"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00242","Guanine","HMDB0000132","764","C00242","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"C04281","Pyrroline hydroxycarboxylic acid","HMDB0001369","1059","C04281","C1C(C=NC1C(=O)O)O","1"
"C00366","Uric acid","HMDB0000289","1175","C00366","C12=C(NC(=O)N1)NC(=O)NC2=O","1"
"C05512","Deoxyinosine","HMDB0000071","65058","C05512","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O","1"
"C16438","NA","NA","NA","NA","NA","0"
"C00303","Majoroside F6","HMDB0030886","131751089","C00303","CC1OC(OC2C(O)C(O)C(CO)OC2OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(C\C=C\C(C)(C)O)OC3OC(CO)C(O)C(O)C3O)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O","1"
"C03150","Nicotinamide riboside","HMDB0000855","439924","C03150","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N","1"
"C12269","N-Methyl-D-aspartic acid","HMDB0002393","22880","C12269","CN[C@H](CC(=O)O)C(=O)O","1"
"C00385","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"C01005","Phosphoserine","HMDB0000272","68841","C01005","C([C@@H](C(=O)O)N)OP(=O)(O)O","1"
"C00099","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"C00475","Cytidine","HMDB0000089","6253","C00475","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C01181","4-Trimethylammoniobutanoic acid","HMDB0001161","134","C01181","C[N+](C)(C)CCCC(=O)O","1"
"C00294","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"C00055","Cytidine monophosphate","HMDB0000095","8117","C00055","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"C00380","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"C00295","Orotic acid","HMDB0000226","967","C00295","C1=C(NC(=O)NC1=O)C(=O)O","1"
"C00588","Phosphorylcholine","HMDB0001565","8691","C00588","C[N+](C)(C)CCOP(=O)(O)O","1"
"C01094","3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid","HMDB0000399","5283899","C01094","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)O)C","1"
"C00003","NAD","HMDB0000902","5893","C00003","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N","1"
"C00768","NA","NA","NA","NA","NA","0"
"C00360","Deoxyadenosine monophosphate","HMDB0000905","12599","C00360","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O","1"
"C00037","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"C05422","Dehydroascorbic acid","HMDB0001264","7786","C05422","C([C@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O","1"
"C01042","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(=O)O)C(=O)O","1"
"C01073","N-Acetyl-beta-alanine","HMDB0061880","76406","C01073","CC(=O)NCCC(O)=O","1"
"C00378","Thiamine","HMDB0000235","1130","C00378","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","1"
"C00337","4,5-Dihydroorotic acid","HMDB0000528","648","C00337","C1C(NC(=O)NC1=O)C(=O)O","1"
"C00387","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"C02470","Xanthurenic acid","HMDB0000881","5699","C02470","C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O","1"
"C01717","Kynurenic acid","HMDB0000715","3845","C01717","C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O","1"
"C00120","Biotin","HMDB0000030","171548","C00120","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","1"
"C00141","Alpha-ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(=O)O","1"
"C00255","Riboflavin","HMDB0000244","493570","C00255","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O","1"
"C01081","Thiamine monophosphate","HMDB0002666","3382778","C01081","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)[O-]","1"
"C00559","Deoxyadenosine","HMDB0000101","13730","C00559","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","1"
"C00086","Urea","HMDB0000294","2447","C00086","C(=O)(N)N","1"
"C00455","Nicotinamide ribotide","HMDB0000229","14180","C00455","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","1"
"C00487","Malonyl-Carnitin","HMDB0062496","3770","C00487","C[N+](C)(C)C[C@H](O)CC([O-])=O","1"
"C00061","Flavin Mononucleotide","HMDB0001520","643976","C00061","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O","1"
"C00511","Acrylic acid",NA,"3794","C00511",NA,"1"
"C02057","NA","NA","NA","NA","NA","0"
"C16435","NA","NA","NA","NA","NA","0"
"C02067","Pseudouridine","HMDB0000767","15047","C02067","C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C00214","Thymidine","HMDB0000273","5789","C00214","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O","1"
"C01536","6-Hydroxysandoricin","HMDB0037556","1153","C01536","COC(=O)C(O)C1C(C)(C)C(CC2OC34C(O)C(=O)OC(C5=COC=C5)C3(C)C(CC(C4=C)C12C)OC(C)=O)OC(C)=O","1"
"C00072","Ascorbate",NA,"3372","C00072",NA,"1"
"C01879-C02237","NA","NA","NA","NA","NA","0"
"C02170","Methylmalonic acid","HMDB0000202","487","C02170","CC(C(=O)O)C(=O)O","1"
"C01996","Acetylcholine","HMDB0000895","6060","C01996","CC(=O)OCC[N+](C)(C)C","1"
"C00299","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C01602","L-Ornithine monochlorohydrate/ornithine","HMDB32455","389","C01602","C(CC(C(=O)O)N)CN","1"
"C00719","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"C02571","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"C00325","GDP-L-fucose","HMDB0001095","439211","C00325","C[C@H]1[C@H]([C@H]([C@@H](C(O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O","1"
"C00169","Carbamoyl phosphate","HMDB0001096","278","C00169","C(=O)(N)OP(=O)(O)O","1"
"C02794","Hydroxykynurenine","HMDB0000732","89","C02794","C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N","1"
"C05198","5'-Deoxyadenosine","HMDB0001983","439182","C05198","C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"C00048","Glyoxylic acid","HMDB0000119","760","C00048","C(=O)C(=O)O","1"
"C02354","2',3'-Cyclic CMP","METPA0278",NA,"C02354",NA,"1"
"C00498","ADP-glucose","HMDB0006557","16500","C00498","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O","1"
"C03758","Dopamine","HMDB0000073","681","C03758","C1=CC(=C(C=C1CCN)O)O","1"
"C00711","NA","NA","NA","NA","NA","0"
