"","NR2NAM","NR2NMN","NAM2NMN","NMN2NAD","NAD2NADP","NAD2NADH","NA2NAMN","NAMN2NAAD","NAMN2NMN","NAAD2NAD","NADP2NADPH"
"1","37756","32043","","42987","36507","39878","","42987","","32328","34495"
"2","38315","32822","","","31811","39336","","","","","39878"
"3","","36121","","","33900","42756","","","","","42756"
"4","","36968","","","36405","42832","","","","","42832"
"5","","246458","","","39876","39469","","","","","36839"
"6","","","","","2768678","39470","","","","","43936"
"7","","","","","","31703","","","","","47173"
"8","","","","","","35706","","","","","3772542"
"9","","","","","","34256","","","","","3772692"
"10","","","","","","40097","","","","","34256"
"11","","","","","","43244","","","","","40097"
"12","","","","","","45398","","","","","43244"
"13","","","","","","41311","","","","","44291"
"14","","","","","","3771877","","","","","318878"
"15","","","","","","36510","","","","","40946"
"16","","","","","","45880","","","","","43043"
"17","","","","","","30995","","","","","45398"
"18","","","","","","32940","","","","","36860"
"19","","","","","","37900","","","","","42833"
"20","","","","","","42586","","","","","43420"
"21","","","","","","43102","","","","","33421"
"22","","","","","","317829","","","","","32974"
"23","","","","","","43092","","","","","40445"
"24","","","","","","32789","","","","","31760"
"25","","","","","","33824","","","","","40475"
"26","","","","","","37672","","","","","38457"
"27","","","","","","40836","","","","","42003"
"28","","","","","","41313","","","","","35407"
"29","","","","","","42003","","","","","31858"
"30","","","","","","35586","","","","","35586"
"31","","","","","","38462","","","","","38462"
"32","","","","","","38463","","","","","38463"
"33","","","","","","39304","","","","","39304"
"34","","","","","","39305","","","","","39305"
"35","","","","","","32545","","","","","41279"
"36","","","","","","35728","","","","","39276"
"37","","","","","","36904","","","","","42106"
"38","","","","","","43873","","","","","42284"
"39","","","","","","47895","","","","","33777"
"40","","","","","","42106","","","","","44007"
"41","","","","","","42284","","","","","36540"
"42","","","","","","34554","","","","","31185"
"43","","","","","","39988","","","","","37166"
"44","","","","","","41605","","","","","31703"
"45","","","","","","31781","","","","","35706"
"46","","","","","","31782","","","","","31781"
"47","","","","","","32582","","","","","31782"
"48","","","","","","34276","","","","","39050"
"49","","","","","","39050","","","","","35724"
"50","","","","","","39918","","","","","41520"
"51","","","","","","33421","","","","","40443"
"52","","","","","","36860","","","","","35561"
"53","","","","","","42833","","","","","37814"
"54","","","","","","43420","","","","","117361"
"55","","","","","","37166","","","","","31811"
"56","","","","","","192507","","","","","33900"
"57","","","","","","41520","","","","","36405"
"58","","","","","","33777","","","","","39876"
"59","","","","","","44007","","","","","2768678"
"60","","","","","","44513","","","","","30986"
"61","","","","","","318878","","","","","31188"
"62","","","","","","36624","","","","","31192"
"63","","","","","","35383","","","","","31193"
"64","","","","","","31811","","","","","32138"
"65","","","","","","33900","","","","","32172"
"66","","","","","","36405","","","","","32444"
"67","","","","","","39876","","","","","33056"
"68","","","","","","2768678","","","","","33127"
"69","","","","","","38457","","","","","33439"
"70","","","","","","38598","","","","","33748"
"71","","","","","","30986","","","","","33749"
"72","","","","","","31188","","","","","33754"
"73","","","","","","31192","","","","","33755"
"74","","","","","","31193","","","","","33756"
"75","","","","","","32138","","","","","33836"
"76","","","","","","32172","","","","","34036"
"77","","","","","","32444","","","","","34291"
"78","","","","","","33056","","","","","34817"
"79","","","","","","33127","","","","","35115"
"80","","","","","","33439","","","","","35543"
"81","","","","","","33748","","","","","35587"
"82","","","","","","33749","","","","","35635"
"83","","","","","","33754","","","","","35821"
"84","","","","","","33755","","","","","35822"
"85","","","","","","33756","","","","","35837"
"86","","","","","","33836","","","","","35946"
"87","","","","","","34036","","","","","35948"
"88","","","","","","34291","","","","","36316"
"89","","","","","","34817","","","","","36317"
"90","","","","","","35115","","","","","36318"
"91","","","","","","35543","","","","","36378"
"92","","","","","","35587","","","","","36412"
"93","","","","","","35635","","","","","36661"
"94","","","","","","35821","","","","","36662"
"95","","","","","","35822","","","","","36663"
"96","","","","","","35837","","","","","36664"
"97","","","","","","35946","","","","","36666"
"98","","","","","","35948","","","","","36667"
"99","","","","","","36316","","","","","36752"
"100","","","","","","36317","","","","","37163"
"101","","","","","","36318","","","","","37594"
"102","","","","","","36378","","","","","37941"
"103","","","","","","36412","","","","","38631"
"104","","","","","","36661","","","","","38840"
"105","","","","","","36662","","","","","38841"
"106","","","","","","36663","","","","","40005"
"107","","","","","","36664","","","","","41019"
"108","","","","","","36666","","","","","41486"
"109","","","","","","36667","","","","","41487"
"110","","","","","","36752","","","","","41488"
"111","","","","","","37163","","","","","41563"
"112","","","","","","37594","","","","","41586"
"113","","","","","","37941","","","","","41759"
"114","","","","","","38631","","","","","42293"
"115","","","","","","38840","","","","","42294"
"116","","","","","","38841","","","","","42682"
"117","","","","","","40005","","","","","43304"
"118","","","","","","41019","","","","","44632"
"119","","","","","","41486","","","","","45524"
"120","","","","","","41487","","","","","45556"
"121","","","","","","41488","","","","","45706"
"122","","","","","","41563","","","","","49165"
"123","","","","","","41586","","","","","49847"
"124","","","","","","41759","","","","","41311"
"125","","","","","","42293","","","","","3771877"
"126","","","","","","42294","","","","","34614"
"127","","","","","","42682","","","","",""
"128","","","","","","43304","","","","",""
"129","","","","","","44632","","","","",""
"130","","","","","","45524","","","","",""
"131","","","","","","45556","","","","",""
"132","","","","","","45706","","","","",""
"133","","","","","","49165","","","","",""
"134","","","","","","49847","","","","",""
"135","","","","","","39276","","","","",""
