from,to,OldSymbol,FGbn
Tudor-SN,piwi,piwi,FBgn0004872
Tudor-SN,AGO2,AGO2,FBgn0087035
Tudor-SN,Fmr1,FMR1,FBgn0028734
Tudor-SN,vig,VIG,FBgn0024183
Tudor-SN,Ctps,CTPSYN,FBgn0266452
Tudor-SN,Fas2,FAS2,FBgn0000635
Tudor-SN,FASN2,FAS2,FBgn0042627
Tudor-SN,hop,HOP,FBgn0004864
Tudor-SN,Stip1,HOP,FBgn0024352
Tudor-SN,Moe,MOE,FBgn0011661
Tudor-SN,mRpL38,MRPL38,Fbgn0030552
Tudor-SN,Naa20A,NAA20,FBgn0031043
Tudor-SN,Naa20B,NAA20,FBgn0051851
Tudor-SN,Rtnl1,RTNL1,FBgn0053113
Tudor-SN,dom,DOM,FBgn0020306
Hrb27C,sqd,SQD,FBgn0263396
Hrb27C,dx,DX,FBgn0000524
Hrb27C,osk,OSK,FBgn0003015
Hrb27C,Mi{Hto-WP}Drgx[GLO],GLO,FBti0160540
Hrb27C,msl-2,MSL-2,FBgn0005616
Hrb27C,otu,otu,FBgn0003023
Hrb27C,C15,C15,FBgn0004863
Hrb27C,CG14204,CG14204,FBgn0031032
Hrb27C,CG14989,CG14989,FBgn0035495
Hrb27C,indra,CG2199,FBgn0035213
Hrb27C,Targ2,CG33056,FBgn0053056
Hrb27C,CG4617,CG4617,FBgn0029936
Hrb27C,CG9008,CG9008,FBgn0028540
Hrb27C,CtBP,CTBP,FBgn0020496
Hrb27C,cup,cup,FBgn0000392
Hrb27C,dnt,DNT,FBgn0024245
Hrb27C,Dscam1,DSCAM1,FBgn0033159
Hrb27C,eIF3d1,EIF-3P66,FBgn0040227
Hrb27C,FER,FER,FBgn0000723
Hrb27C,fs(1)K10,FS(1)K10,FBgn0000810
Hrb27C,PPP1R15,GADD34,FBgn0034948
Hrb27C,grk,GRK,FBgn0001137
Hrb27C,His:CG33825,HIS1:CG33825,FBgn0053825
Hrb27C,how,HOW,FBgn0264491
Hrb27C,Hrb87F,HRB87F,FBgn0004237
Hrb27C,Hrb98DE,HRB98DE,FBgn0001215
Hrb27C,Hsp23,HSP23,FBgn0001224
Hrb27C,IMP,IMP,FBch0000119
Hrb27C,CG17029,IMP,FBgn0036551
Hrb27C,CG17028,IMP,FBgn0036552
Hrb27C,CG17027,IMP,FBgn0036553
Hrb27C,CG9391,IMP,FBgn0037063
Hrb27C,CG9389,IMP,FBgn0037064
Hrb27C,Imp,IMP,FBgn0285926
Hrb27C,Hsp83,Hsp83,FBgn0001233
Hrb27C,kel,KEL,FBgn0001301
