Frame,X,Y,Width,Height
1,617,551,36,34
2,614,549,35,33
3,618,548,35,33
4,621,552,35,33
5,620,551,36,34
6,614,549,35,33
7,621,551,36,34
8,620,552,36,34
9,620,552,35,33
10,620,551,36,34
11,620,551,35,33
12,628,559,35,33
13,639,566,36,34
14,651,574,36,34
15,651,574,36,34
16,651,574,36,34
17,652,574,36,34
18,650,575,36,34
19,652,574,36,34
20,640,567,36,34
21,648,574,37,35
22,650,573,37,35
23,648,572,37,35
24,649,572,37,35
25,649,572,37,35
26,647,573,37,35
27,650,574,36,34
28,645,571,35,33
29,646,570,35,33
30,646,571,35,33
31,646,571,35,33
32,642,568,34,32
33,642,569,33,31
34,647,572,33,31
35,644,568,33,31
36,648,571,34,32
37,652,575,33,31
38,650,575,33,31
39,652,574,33,31
40,650,573,33,31
41,650,574,33,31
42,651,573,33,31
43,650,574,33,31
44,651,573,33,31
45,650,575,33,31
46,650,573,33,31
47,648,574,33,31
48,644,570,33,31
49,645,570,33,31
50,650,572,34,32
51,649,574,33,31
52,645,570,34,32
53,646,570,33,31
54,647,569,33,31
55,648,572,33,31
56,641,568,33,31
57,636,564,34,32
58,643,568,34,32
59,644,568,34,32
60,642,569,34,32
61,643,568,34,32
62,646,570,33,31
63,652,575,33,31
64,652,574,33,31
65,650,575,33,31
66,651,574,33,31
67,647,572,33,31
68,649,573,33,31
69,649,573,33,31
70,649,573,33,31
71,649,574,33,31
72,649,573,33,31
73,649,574,33,31
74,649,574,33,31
75,650,573,33,31
76,650,573,33,31
77,650,574,33,31
78,650,573,33,31
79,650,573,33,31
80,649,574,33,31
81,649,573,33,31
82,649,573,33,31
83,649,572,33,31
84,649,572,33,31
85,648,574,33,31
86,650,573,33,31
87,649,573,33,31
88,649,573,33,31
89,650,573,33,31
90,649,573,33,31
91,649,573,33,31
92,649,573,33,31
93,649,572,33,31
94,649,573,33,31
95,649,573,33,31
96,649,572,33,31
97,648,572,33,31
98,648,573,33,31
99,648,573,33,31
100,649,572,33,31
101,648,574,33,31
102,648,572,33,31
103,648,572,33,31
104,649,572,33,31
105,648,573,33,31
106,650,572,33,31
107,647,572,33,31
108,648,571,33,31
109,648,571,33,31
110,648,571,33,31
111,648,572,33,31
112,648,571,33,31
113,648,571,33,31
114,648,572,33,31
115,648,571,33,31
116,648,572,33,31
117,648,572,33,31
118,648,572,33,31
119,648,572,33,31
120,648,572,33,31
121,649,572,33,31
122,648,572,33,31
123,648,572,33,31
124,648,572,33,31
125,648,572,33,31
126,648,572,33,31
127,648,572,33,31
128,649,572,33,31
129,648,573,33,31
130,649,572,33,31
131,649,572,33,31
132,648,572,33,31
133,649,572,33,31
134,648,572,33,31
135,648,572,33,31
136,648,572,33,31
137,648,571,33,31
138,647,572,33,31
139,649,571,33,31
140,648,572,33,31
141,648,571,33,31
142,648,572,33,31
143,648,572,33,31
144,648,572,33,31
145,648,572,33,31
146,648,572,33,31
147,648,571,33,31
148,648,572,33,31
149,648,572,33,31
150,648,572,33,31
151,648,571,33,31
152,648,572,33,31
153,648,571,33,31
154,647,572,33,31
155,648,572,33,31
156,649,571,33,31
157,648,572,33,31
158,648,572,33,31
159,648,571,33,31
160,647,572,33,31
161,649,571,33,31
162,648,571,33,31
163,648,571,33,31
164,647,571,33,31
165,647,571,33,31
166,648,571,33,31
167,648,571,33,31
168,648,571,33,31
169,648,571,33,31
170,648,572,33,31
171,648,572,33,31
172,649,572,33,31
173,649,572,33,31
174,649,572,33,31
175,648,571,33,31
176,649,571,33,31
177,648,572,33,31
178,649,571,33,31
179,649,572,33,31
180,648,571,33,31
181,648,571,33,31
182,648,571,33,31
183,648,571,33,31
184,648,572,33,31
185,648,571,33,31
186,647,571,33,31
187,648,571,33,31
188,648,571,33,31
189,648,571,33,31
190,647,571,33,31
191,647,569,33,31
192,647,570,33,31
193,647,571,33,31
194,648,571,33,31
195,648,571,33,31
196,645,568,33,31
197,648,572,33,31
198,649,571,33,31
199,648,571,33,31
200,649,571,33,31
201,647,571,33,31
202,648,571,33,31
203,648,571,33,31
204,648,571,33,31
205,648,571,33,31
206,648,571,33,31
207,649,570,33,31
208,649,570,33,31
209,649,571,33,31
210,649,571,33,31
211,649,572,33,31
212,649,571,33,31
213,649,572,33,31
214,649,571,33,31
215,649,572,33,31
216,649,571,33,31
217,649,571,33,31
218,648,571,33,31
219,648,571,33,31
220,648,571,33,31
221,648,571,33,31
222,648,571,33,31
