Frame,ObjectID,X,Y,Width,Height
1,1,829,661,20,20
1,2,806,647,20,20
1,3,715,327,20,20
1,4,641,211,20,20
1,5,656,202,20,20
2,1,830,661,20,20
2,2,806,648,20,20
2,3,716,327,20,20
2,4,641,212,20,20
2,5,657,203,20,20
3,1,830,661,20,20
3,2,806,648,20,20
3,3,716,326,20,20
3,4,642,212,19,19
3,5,657,202,20,20
4,1,830,662,20,20
4,2,806,648,20,20
4,3,716,325,21,21
4,4,641,212,20,20
4,5,659,197,20,20
5,1,830,662,20,20
5,2,807,648,20,20
5,3,714,325,22,22
5,4,641,211,20,20
5,5,657,203,20,20
6,1,829,663,20,20
6,2,806,648,20,20
6,3,715,326,21,21
6,4,640,211,20,20
6,5,657,203,20,20
7,1,828,664,20,20
7,2,806,648,20,20
7,3,716,326,21,21
7,4,639,210,22,22
7,5,658,202,20,20
8,1,827,663,20,20
8,2,806,647,20,20
8,3,716,325,20,20
8,4,640,210,22,22
8,5,656,203,20,20
9,1,825,664,21,21
9,2,806,648,20,20
9,3,716,326,20,20
9,4,639,210,23,23
9,5,656,202,20,20
10,1,825,664,20,20
10,2,807,648,20,20
10,3,716,326,20,20
10,4,639,210,23,23
10,5,656,202,20,20
11,1,825,664,20,20
11,2,807,648,20,20
11,3,716,325,20,20
11,4,639,210,23,23
11,5,657,203,20,20
12,1,824,664,21,21
12,2,807,648,20,20
12,3,715,326,20,20
12,4,639,210,23,23
12,5,659,203,20,20
13,1,824,665,20,20
13,2,807,648,20,20
13,3,715,326,21,21
13,4,640,210,23,23
13,5,656,203,20,20
14,1,823,665,20,20
14,2,807,648,20,20
14,3,715,325,21,21
14,4,639,210,22,22
14,5,658,204,20,20
15,1,823,665,20,20
15,2,806,648,20,20
15,3,715,325,21,21
15,4,639,210,22,22
15,5,657,203,20,20
16,1,824,665,19,19
16,2,806,648,20,20
16,3,715,326,20,20
16,4,639,210,22,22
16,5,657,203,20,20
17,1,824,665,20,20
17,2,806,648,20,20
17,3,716,325,20,20
17,4,639,211,22,22
17,5,656,204,20,20
18,1,824,665,20,20
18,2,806,648,20,20
18,3,716,325,20,20
18,4,639,211,23,23
18,5,656,204,20,20
19,1,824,665,20,20
19,2,807,648,20,20
19,3,715,325,21,21
19,4,639,210,23,23
19,5,656,203,20,20
20,1,823,665,20,20
20,2,807,648,20,20
20,3,715,326,21,21
20,4,639,211,22,22
20,5,656,204,20,20
21,1,823,664,20,20
21,2,807,648,20,20
21,3,716,326,20,20
21,4,640,211,22,22
21,5,656,204,20,20
22,1,822,664,20,20
22,2,807,648,20,20
22,3,716,325,20,20
22,4,640,211,22,22
22,5,656,203,20,20
23,1,822,665,20,20
23,2,807,649,20,20
23,3,715,325,20,20
23,4,639,211,23,23
23,5,656,203,20,20
24,1,821,665,20,20
24,2,807,648,20,20
24,3,715,326,20,20
24,4,640,211,22,22
24,5,656,203,20,20
25,1,822,665,20,20
25,2,807,648,20,20
25,3,715,326,21,21
25,4,640,211,22,22
25,5,656,203,20,20
26,1,822,665,20,20
26,2,807,648,20,20
26,3,715,326,20,20
26,4,640,211,22,22
26,5,655,203,20,20
27,1,821,665,20,20
27,2,807,648,20,20
27,3,715,325,20,20
27,4,640,211,22,22
27,5,655,203,20,20
28,1,822,665,20,20
28,2,806,648,20,20
28,3,715,325,20,20
28,4,640,211,22,22
28,5,655,203,20,20
29,1,823,666,20,20
29,2,806,648,20,20
29,3,715,325,21,21
29,4,639,211,22,22
29,5,655,203,20,20
30,1,822,665,20,20
30,2,806,649,20,20
30,3,716,326,21,21
30,4,639,211,22,22
30,5,656,203,20,20
31,1,822,665,20,20
31,2,806,649,20,20
31,3,716,325,21,21
31,4,640,210,22,22
31,5,656,203,20,20
32,1,821,664,20,20
32,2,806,648,20,20
32,3,716,325,21,21
32,4,640,210,22,22
32,5,656,203,20,20
33,1,821,664,20,20
33,2,807,648,20,20
33,3,716,326,21,21
33,4,640,210,22,22
33,5,656,203,20,20
34,1,821,665,20,20
34,2,807,648,20,20
34,3,715,325,20,20
34,4,640,210,22,22
34,5,656,203,20,20
35,1,822,665,20,20
35,2,807,648,20,20
35,3,715,325,20,20
35,4,639,210,23,23
35,5,655,203,20,20
36,1,821,665,20,20
36,2,807,649,20,20
36,3,715,326,20,20
36,4,640,211,23,23
36,5,655,204,20,20
37,1,821,664,20,20
37,2,807,648,20,20
37,3,715,326,20,20
37,4,640,211,22,22
37,5,656,204,20,20
38,1,821,664,20,20
38,2,807,647,20,20
38,3,715,326,20,20
38,4,640,211,22,22
38,5,656,204,20,20
39,1,821,665,20,20
39,2,807,648,20,20
39,3,715,326,20,20
39,4,640,210,22,22
39,5,656,204,20,20
40,1,822,665,20,20
40,2,807,648,20,20
40,3,716,325,20,20
40,4,639,211,22,22
40,5,656,204,20,20
41,1,822,665,20,20
41,2,807,649,20,20
41,3,716,325,20,20
41,4,639,211,22,22
41,5,656,204,20,20
42,1,821,665,20,20
42,2,807,648,20,20
42,3,716,325,20,20
42,4,640,211,22,22
42,5,656,203,20,20
43,1,821,665,20,20
43,2,807,648,20,20
43,3,716,326,20,20
43,4,640,211,22,22
43,5,656,204,20,20
44,1,821,665,20,20
44,2,807,649,20,20
44,3,715,326,21,21
44,4,639,211,22,22
44,5,656,204,20,20
45,1,821,665,20,20
45,2,807,648,20,20
45,3,715,326,21,21
45,4,639,211,23,23
45,5,656,204,20,20
46,1,822,665,20,20
46,2,807,648,20,20
46,3,715,325,20,20
46,4,639,210,23,23
46,5,655,203,20,20
47,1,822,665,20,20
47,2,807,649,20,20
47,3,715,325,20,20
47,4,640,210,22,22
47,5,656,203,20,20
48,1,822,664,20,20
48,2,807,648,20,20
48,3,715,326,20,20
48,4,640,210,23,23
48,5,657,203,20,20
49,1,822,664,20,20
49,2,808,648,20,20
49,3,715,326,20,20
49,4,639,211,22,22
49,5,656,204,20,20
50,1,822,664,20,20
50,2,808,647,20,20
50,3,715,326,20,20
50,4,639,211,23,23
50,5,656,204,20,20
51,1,822,665,20,20
51,2,809,648,20,20
51,3,716,325,20,20
51,4,639,210,23,23
51,5,656,203,20,20
52,1,821,665,20,20
52,2,809,647,20,20
52,3,716,325,20,20
52,4,640,210,23,23
52,5,656,203,20,20
53,1,822,665,20,20
53,2,808,649,20,20
53,3,716,325,20,20
53,4,640,211,23,23
53,5,656,203,20,20
54,1,822,665,20,20
54,2,809,648,20,20
54,3,716,325,20,20
54,4,640,211,22,22
54,5,656,204,20,20
55,1,822,665,20,20
55,2,808,648,20,20
55,3,716,325,20,20
55,4,639,211,22,22
55,5,656,204,20,20
56,1,822,665,20,20
56,2,809,648,20,20
56,3,715,326,20,20
56,4,640,211,22,22
56,5,656,204,20,20
57,1,821,665,20,20
57,2,810,647,20,20
57,3,715,326,20,20
57,4,639,210,22,22
57,5,655,203,20,20
58,1,821,665,20,20
58,2,809,647,20,20
58,3,715,326,20,20
58,4,639,211,22,22
58,5,655,204,20,20
59,1,821,665,20,20
59,2,810,647,20,20
59,3,715,326,20,20
59,4,640,211,22,22
59,5,656,204,20,20
60,1,821,664,20,20
60,2,810,646,20,20
60,3,715,326,20,20
60,4,640,211,22,22
60,5,656,204,20,20
61,1,821,664,20,20
61,2,810,646,20,20
61,3,716,326,20,20
61,4,640,210,22,22
61,5,656,204,20,20
62,1,821,664,20,20
62,2,811,646,20,20
62,3,716,325,20,20
62,4,640,211,22,22
62,5,656,203,20,20
63,1,821,664,20,20
63,2,814,641,20,20
63,3,716,325,20,20
63,4,640,211,22,22
63,5,657,203,20,20
64,1,822,664,20,20
64,2,815,640,20,20
64,3,716,325,20,20
64,4,640,211,22,22
64,5,656,203,20,20
65,1,822,665,20,20
65,2,816,640,20,20
65,3,715,325,20,20
65,4,639,210,22,22
65,5,655,203,20,20
66,1,822,665,20,20
66,2,816,640,20,20
66,3,715,325,20,20
66,4,640,211,22,22
66,5,656,203,20,20
67,1,822,665,20,20
67,2,816,640,20,20
67,3,715,325,20,20
67,4,640,211,22,22
67,5,656,203,20,20
68,1,822,665,20,20
68,2,816,640,20,20
68,3,715,325,20,20
68,4,640,211,22,22
68,5,656,203,20,20
69,1,822,665,20,20
69,2,816,640,20,20
69,3,715,325,20,20
69,4,639,210,22,22
69,5,656,203,20,20
70,1,821,665,20,20
70,2,815,641,20,20
70,3,715,325,20,20
70,4,640,210,22,22
70,5,657,203,20,20
71,1,821,664,20,20
71,2,816,639,20,20
71,3,715,325,20,20
71,4,640,211,22,22
71,5,656,204,20,20
72,1,821,664,20,20
72,2,816,639,20,20
72,3,715,325,20,20
72,4,640,211,22,22
72,5,657,204,20,20
73,1,821,664,20,20
73,2,816,639,20,20
73,3,716,325,20,20
73,4,639,211,22,22
73,5,656,204,20,20
74,1,821,665,20,20
74,2,815,640,20,20
74,3,716,325,20,20
74,4,640,210,22,22
74,5,656,203,20,20
75,1,822,665,20,20
75,2,816,640,20,20
75,3,716,325,20,20
75,4,640,211,22,22
75,5,656,203,20,20
76,1,822,665,20,20
76,2,816,640,20,20
76,3,716,325,20,20
76,4,639,211,22,22
76,5,656,203,20,20
77,1,821,665,20,20
77,2,815,640,20,20
77,3,716,325,20,20
77,4,640,211,22,22
77,5,656,203,20,20
78,1,821,664,20,20
78,2,815,640,20,20
78,3,716,325,20,20
78,4,640,210,22,22
78,5,656,203,20,20
79,1,822,665,20,20
79,2,815,640,20,20
79,3,716,325,20,20
79,4,640,211,22,22
79,5,656,203,20,20
80,1,822,665,20,20
80,2,815,640,20,20
80,3,716,325,20,20
80,4,639,211,22,22
80,5,656,203,20,20
81,1,821,665,20,20
81,2,815,641,20,20
81,3,716,326,20,20
81,4,640,211,22,22
81,5,656,203,20,20
82,1,821,665,20,20
82,2,815,640,20,20
82,3,715,326,20,20
82,4,640,210,22,22
82,5,656,203,20,20
83,1,821,665,20,20
83,2,815,640,20,20
83,3,715,326,20,20
83,4,640,211,22,22
83,5,656,204,20,20
84,1,821,665,20,20
84,2,815,640,20,20
84,3,715,326,20,20
84,4,639,211,22,22
84,5,656,204,20,20
85,1,821,665,20,20
85,2,815,641,20,20
85,3,715,326,20,20
85,4,640,211,22,22
85,5,656,204,20,20
86,1,821,665,20,20
86,2,816,641,20,20
86,3,715,326,20,20
86,4,640,210,22,22
86,5,656,204,20,20
87,1,821,665,20,20
87,2,815,640,20,20
87,3,715,326,20,20
87,4,640,210,22,22
87,5,656,203,20,20
88,1,822,665,20,20
88,2,816,640,20,20
88,3,715,326,20,20
88,4,640,211,22,22
88,5,656,203,20,20
89,1,822,665,20,20
89,2,816,640,20,20
89,3,715,325,20,20
89,4,640,211,22,22
89,5,656,203,20,20
90,1,821,665,20,20
90,2,815,640,20,20
90,3,715,325,20,20
90,4,640,211,22,22
90,5,656,203,20,20
91,1,821,665,20,20
91,2,815,640,20,20
91,3,715,325,20,20
91,4,640,211,22,22
91,5,656,203,20,20
92,1,821,665,20,20
92,2,816,640,20,20
92,3,715,326,20,20
92,4,640,210,22,22
92,5,656,203,20,20
93,1,821,665,20,20
93,2,816,641,20,20
93,3,715,326,20,20
93,4,640,210,22,22
93,5,656,204,20,20
94,1,821,665,20,20
94,2,816,641,20,20
94,3,715,325,20,20
94,4,640,210,22,22
94,5,657,203,20,20
95,1,821,665,20,20
95,2,816,641,20,20
95,3,715,325,20,20
95,4,640,211,22,22
95,5,656,203,20,20
96,1,822,665,20,20
96,2,816,640,20,20
96,3,715,325,20,20
96,4,640,211,22,22
96,5,656,203,20,20
97,1,821,665,20,20
97,2,816,640,20,20
97,3,715,325,20,20
97,4,640,211,22,22
97,5,656,203,20,20
98,1,821,666,20,20
98,2,816,641,20,20
98,3,716,325,20,20
98,4,640,210,22,22
98,5,656,203,20,20
99,1,821,666,20,20
99,2,816,641,20,20
99,3,716,325,20,20
99,4,640,210,22,22
99,5,656,203,20,20
100,1,821,666,20,20
100,2,816,641,20,20
100,3,715,325,20,20
100,4,640,211,22,22
100,5,656,204,20,20
101,1,820,666,20,20
101,2,815,641,20,20
101,3,715,325,20,20
101,4,640,211,22,22
101,5,657,204,20,20
102,1,820,666,20,20
102,2,815,641,20,20
102,3,715,325,20,20
102,4,640,211,22,22
102,5,656,204,20,20
103,1,820,666,20,20
103,2,816,642,20,20
103,3,715,326,20,20
103,4,640,210,22,22
103,5,656,203,20,20
104,1,820,666,20,20
104,2,815,642,20,20
104,3,715,326,20,20
104,4,640,210,22,22
104,5,656,203,20,20
105,1,820,666,20,20
105,2,815,642,20,20
105,3,715,325,20,20
105,4,639,211,22,22
105,5,655,203,20,20
106,1,820,665,20,20
106,2,816,642,20,20
106,3,715,325,20,20
106,4,640,211,22,22
106,5,656,203,20,20
107,1,820,665,20,20
107,2,816,642,20,20
107,3,715,325,20,20
107,4,640,211,22,22
107,5,656,203,20,20
108,1,820,665,20,20
108,2,816,642,20,20
108,3,715,325,20,20
108,4,640,210,22,22
108,5,656,203,20,20
109,1,819,665,20,20
109,2,816,642,20,20
109,3,715,325,20,20
109,4,640,210,22,22
109,5,656,203,20,20
110,1,819,665,20,20
110,2,816,642,20,20
110,3,715,325,20,20
110,4,640,211,22,22
110,5,656,204,20,20
111,1,818,665,20,20
111,2,819,639,20,20
111,3,715,325,20,20
111,4,640,211,22,22
111,5,656,204,20,20
112,1,818,666,20,20
112,2,819,640,20,20
112,3,715,325,20,20
112,4,639,210,22,22
112,5,656,204,20,20
113,1,816,666,20,20
113,2,820,640,20,20
113,3,715,325,20,20
113,4,640,211,22,22
113,5,656,204,20,20
114,1,815,666,20,20
114,2,820,640,20,20
114,3,716,325,20,20
114,4,640,211,22,22
114,5,656,204,20,20
115,1,814,665,20,20
115,2,820,640,20,20
115,3,716,325,20,20
115,4,640,211,22,22
115,5,656,204,20,20
116,1,813,665,20,20
116,2,819,640,20,20
116,3,715,325,20,20
116,4,639,210,22,22
116,5,656,203,20,20
117,1,812,664,20,20
117,2,822,638,20,20
117,3,715,325,20,20
117,4,640,211,22,22
117,5,656,204,20,20
118,1,812,663,20,20
118,2,822,637,20,20
118,3,715,325,20,20
118,4,640,211,22,22
118,5,656,203,20,20
119,1,811,663,20,20
119,2,821,638,20,20
119,3,715,326,20,20
119,4,640,210,22,22
119,5,656,203,20,20
120,1,811,663,20,20
120,2,821,638,20,20
120,3,715,326,20,20
120,4,639,210,22,22
120,5,656,204,20,20
121,1,810,662,20,20
121,2,821,639,20,20
121,3,715,325,20,20
121,4,640,211,22,22
121,5,656,204,20,20
122,1,809,662,20,20
122,2,820,639,20,20
122,3,715,325,20,20
122,4,640,211,22,22
122,5,656,204,20,20
123,1,808,662,20,20
123,2,820,640,20,20
123,3,715,325,20,20
123,4,640,211,22,22
123,5,656,204,20,20
124,1,807,662,20,20
124,2,821,639,20,20
124,3,715,325,20,20
124,4,639,210,22,22
124,5,656,203,20,20
125,1,807,661,20,20
125,2,822,638,20,20
125,3,715,325,20,20
125,4,640,210,22,22
125,5,656,204,20,20
126,1,806,661,20,20
126,2,822,639,20,20
126,3,715,325,20,20
126,4,640,210,22,22
126,5,656,203,20,20
127,1,806,661,20,20
127,2,822,639,20,20
127,3,715,325,20,20
127,4,640,210,22,22
127,5,656,203,20,20
128,1,806,661,20,20
128,2,822,639,20,20
