,Sample,Conc.,Genotype,Sex,GuHCL,rep,Label
10^-3 WT male .5M rep1,10^-3 WT male .5M rep1,10^-3,WT,male,.5M,1,WT male .5M
10^-3 WT male .5M rep2,10^-3 WT male .5M rep2,10^-3,WT,male,.5M,2,WT male .5M
10^-3 WT male .5M rep3,10^-3 WT male .5M rep3,10^-3,WT,male,.5M,3,WT male .5M
10^-3 WT male .5M rep4,10^-3 WT male .5M rep4,10^-3,WT,male,.5M,4,WT male .5M
10^-3 G85R male .5M rep1,10^-3 G85R male .5M rep1,10^-3,G85R,male,.5M,1,G85R male .5M
10^-3 G85R male .5M rep2,10^-3 G85R male .5M rep2,10^-3,G85R,male,.5M,2,G85R male .5M
10^-3 G85R male .5M rep3,10^-3 G85R male .5M rep3,10^-3,G85R,male,.5M,3,G85R male .5M
10^-3 G85R male .5M rep4,10^-3 G85R male .5M rep4,10^-3,G85R,male,.5M,4,G85R male .5M
10^-3 WT female .5M rep1,10^-3 WT female .5M rep1,10^-3,WT,female,.5M,1,WT female .5M
10^-3 WT female .5M rep2,10^-3 WT female .5M rep2,10^-3,WT,female,.5M,2,WT female .5M
10^-3 WT female .5M rep3,10^-3 WT female .5M rep3,10^-3,WT,female,.5M,3,WT female .5M
10^-3 WT female .5M rep4,10^-3 WT female .5M rep4,10^-3,WT,female,.5M,4,WT female .5M
10^-3 G85R female .5M rep1,10^-3 G85R female .5M rep1,10^-3,G85R,female,.5M,1,G85R female .5M
10^-3 G85R female .5M rep2,10^-3 G85R female .5M rep2,10^-3,G85R,female,.5M,2,G85R female .5M
10^-3 G85R female .5M rep3,10^-3 G85R female .5M rep3,10^-3,G85R,female,.5M,3,G85R female .5M
10^-3 G85R female .5M rep4,10^-3 G85R female .5M rep4,10^-3,G85R,female,.5M,4,G85R female .5M
10^-3 WT male .6M rep1,10^-3 WT male .6M rep1,10^-3,WT,male,.6M,1,WT male .6M
10^-3 WT male .6M rep2,10^-3 WT male .6M rep2,10^-3,WT,male,.6M,2,WT male .6M
10^-3 WT male .6M rep3,10^-3 WT male .6M rep3,10^-3,WT,male,.6M,3,WT male .6M
10^-3 WT male .6M rep4,10^-3 WT male .6M rep4,10^-3,WT,male,.6M,4,WT male .6M
10^-3 G85R male .6M rep1,10^-3 G85R male .6M rep1,10^-3,G85R,male,.6M,1,G85R male .6M
10^-3 G85R male .6M rep2,10^-3 G85R male .6M rep2,10^-3,G85R,male,.6M,2,G85R male .6M
10^-3 G85R male .6M rep3,10^-3 G85R male .6M rep3,10^-3,G85R,male,.6M,3,G85R male .6M
10^-3 G85R male .6M rep4,10^-3 G85R male .6M rep4,10^-3,G85R,male,.6M,4,G85R male .6M
10^-3 WT female .6M rep1,10^-3 WT female .6M rep1,10^-3,WT,female,.6M,1,WT female .6M
10^-3 WT female .6M rep2,10^-3 WT female .6M rep2,10^-3,WT,female,.6M,2,WT female .6M
10^-3 WT female .6M rep3,10^-3 WT female .6M rep3,10^-3,WT,female,.6M,3,WT female .6M
10^-3 WT female .6M rep4,10^-3 WT female .6M rep4,10^-3,WT,female,.6M,4,WT female .6M
10^-3 G85R female .6M rep1,10^-3 G85R female .6M rep1,10^-3,G85R,female,.6M,1,G85R female .6M
10^-3 G85R female .6M rep2,10^-3 G85R female .6M rep2,10^-3,G85R,female,.6M,2,G85R female .6M
10^-3 G85R female .6M rep3,10^-3 G85R female .6M rep3,10^-3,G85R,female,.6M,3,G85R female .6M
10^-3 G85R female .6M rep4,10^-3 G85R female .6M rep4,10^-3,G85R,female,.6M,4,G85R female .6M
