time (h),10^-3 WT male .5M rep1,10^-3 WT male .5M rep2,10^-3 WT male .5M rep3,10^-3 WT male .5M rep4,10^-3 G85R male .5M rep1,10^-3 G85R male .5M rep2,10^-3 G85R male .5M rep3,10^-3 G85R male .5M rep4,10^-3 WT female .5M rep1,10^-3 WT female .5M rep2,10^-3 WT female .5M rep3,10^-3 WT female .5M rep4,10^-3 G85R female .5M rep1,10^-3 G85R female .5M rep2,10^-3 G85R female .5M rep3,10^-3 G85R female .5M rep4,10^-3 WT male .6M rep1,10^-3 WT male .6M rep2,10^-3 WT male .6M rep3,10^-3 WT male .6M rep4,10^-3 G85R male .6M rep1,10^-3 G85R male .6M rep2,10^-3 G85R male .6M rep3,10^-3 G85R male .6M rep4,10^-3 WT female .6M rep1,10^-3 WT female .6M rep2,10^-3 WT female .6M rep3,10^-3 WT female .6M rep4,10^-3 G85R female .6M rep1,10^-3 G85R female .6M rep2,10^-3 G85R female .6M rep3,10^-3 G85R female .6M rep4
0,581,559,569,562,597,597,579,609,601,585,609,611,611,618,614,585,582,576,606,584,612,597,591,625,607,585,574,575,610,599,580,583
0.666666667,526,480,493,480,523,507,509,511,502,494,497,527,529,510,529,509,509,503,522,507,483,507,501,515,513,519,487,501,502,513,483,517
1.333333333,491,467,485,497,481,489,492,494,498,489,500,489,511,492,522,492,485,494,480,477,487,482,496,502,479,493,452,474,493,481,466,468
2,473,490,474,460,490,481,504,479,465,486,474,516,494,471,513,497,471,475,462,481,468,470,474,476,472,483,477,467,494,459,482,487
2.666666667,458,477,479,480,482,472,484,479,469,478,493,480,518,495,489,486,463,479,485,487,467,461,467,481,474,481,465,473,466,484,444,484
3.333333333,480,457,483,463,472,464,477,492,477,484,484,491,495,474,494,495,453,468,461,470,462,467,473,481,476,471,470,463,465,469,460,483
4,472,461,470,459,477,470,466,472,456,463,478,494,491,477,496,465,471,463,473,477,443,466,471,466,468,462,461,453,473,460,460,478
4.666666667,467,463,464,454,473,468,468,473,473,475,498,483,497,479,486,471,451,478,481,474,446,439,465,473,464,472,465,455,458,450,462,462
5.333333333,482,478,471,471,458,466,474,477,470,462,466,489,485,478,483,468,454,458,478,470,463,458,466,470,471,470,456,446,445,461,457,472
6,474,478,473,464,465,475,477,473,474,465,469,495,484,456,491,480,459,474,467,467,448,464,460,492,467,456,463,472,456,472,455,464
6.666666667,473,470,458,466,467,473,483,457,468,463,467,494,482,477,483,479,466,470,468,461,454,445,457,497,467,463,443,475,453,459,454,464
7.333333333,460,462,456,470,458,465,476,486,463,452,475,467,481,467,473,471,483,449,467,466,442,437,456,460,466,462,439,462,474,460,453,469
8,451,469,455,465,475,465,459,478,460,474,476,473,493,480,487,476,456,458,457,457,458,439,458,476,464,446,454,454,459,466,445,464
8.666666667,453,464,445,458,467,468,486,455,468,471,478,480,490,464,479,493,460,452,450,462,459,445,468,473,464,461,447,457,441,443,431,461
9.333333333,446,459,462,452,456,468,472,474,463,471,484,488,487,466,477,480,473,440,467,443,431,460,461,469,460,454,444,444,473,456,438,455
10,464,451,459,465,464,469,469,476,469,466,466,462,491,451,478,490,467,466,452,458,458,460,452,471,462,468,470,444,463,451,448,460
10.66666667,462,463,451,465,469,477,465,474,444,453,452,469,484,445,482,482,457,463,466,460,442,451,464,450,463,476,453,443,466,461,449,470
11.33333333,464,456,459,453,464,468,459,455,451,461,457,480,482,466,477,483,470,454,479,451,451,447,453,458,455,437,453,472,452,456,437,461
12,448,454,456,468,444,465,477,452,466,459,481,477,474,484,474,466,448,461,455,464,439,451,441,458,432,458,472,464,454,454,465,458
12.66666667,465,457,448,451,466,457,461,461,471,464,475,491,469,477,475,464,447,465,459,472,462,448,460,467,469,455,440,455,462,468,429,462
13.33333333,450,467,460,454,470,456,477,459,457,473,471,478,490,486,473,468,460,456,470,459,434,436,455,452,458,466,449,446,451,452,444,462
14,452,458,471,451,450,457,479,457,452,464,455,458,503,469,476,457,452,450,453,465,445,448,450,468,472,467,453,456,456,453,441,459
14.66666667,466,452,453,457,465,466,475,474,476,471,448,482,488,458,474,476,447,458,457,458,467,447,457,462,460,456,445,444,467,452,446,463
15.33333333,459,462,459,476,440,458,473,455,471,460,466,466,490,468,464,471,447,462,447,468,443,446,441,460,452,463,442,446,443,454,451,473
16,458,444,451,449,458,472,472,463,451,466,476,471,483,449,468,470,449,458,453,451,434,452,467,457,458,452,451,450,447,447,434,456
16.66666667,461,444,467,450,454,460,448,460,451,465,455,464,478,461,472,470,438,450,473,460,461,451,432,443,458,445,448,425,442,458,459,446
17.33333333,499,458,455,457,447,458,485,466,468,460,463,476,470,447,469,470,447,474,442,446,439,462,453,442,455,470,452,454,456,455,467,467
18,464,452,436,462,451,451,465,460,448,457,466,457,480,473,471,474,443,449,463,454,443,445,453,461,457,470,453,453,466,451,474,463
18.66666667,462,447,460,443,463,465,466,458,452,471,475,467,479,461,476,468,455,448,471,471,456,441,445,457,465,458,442,451,448,460,432,481
19.33333333,461,444,437,450,475,466,474,457,459,474,457,468,499,455,468,468,465,454,451,464,455,441,439,452,472,455,439,442,454,451,433,456
20,456,442,484,459,456,454,459,471,464,464,465,458,482,455,475,462,456,430,440,449,449,440,448,464,455,457,462,435,441,440,463,458
20.66666667,462,438,446,445,458,454,468,465,467,469,453,479,470,441,460,440,436,451,469,442,449,464,448,450,440,469,468,455,467,460,453,458
21.33333333,448,454,445,458,463,468,470,463,463,482,459,484,480,464,467,484,457,455,449,439,450,448,453,470,456,460,441,450,453,470,445,469
22,463,468,443,432,446,474,469,458,444,468,469,459,492,457,481,470,454,447,434,455,454,450,439,458,466,453,437,451,439,450,458,460
22.66666667,446,459,459,457,451,463,452,454,456,471,447,460,470,453,483,465,438,454,447,476,439,452,457,439,451,460,463,434,466,454,437,460
23.33333333,465,439,449,462,452,458,460,448,451,458,447,474,468,457,458,457,446,447,457,470,445,440,451,448,437,443,426,453,445,451,442,455
24,467,450,452,467,467,468,465,448,449,449,472,475,488,452,458,472,440,476,464,441,463,454,445,457,459,461,453,441,451,451,445,449
24.66666667,437,460,452,459,459,454,462,469,439,457,472,451,483,452,470,467,464,446,450,441,446,446,455,439,448,450,438,455,449,454,440,453
25.33333333,442,451,439,433,460,463,467,447,443,464,451,455,496,459,472,463,443,457,450,455,449,450,450,452,451,457,453,448,459,454,437,455
26,445,460,468,449,451,436,477,456,456,454,473,473,465,464,458,463,439,458,463,448,442,441,448,462,444,453,447,436,454,452,452,458
26.66666667,447,446,453,437,453,448,455,457,464,456,463,450,487,452,471,471,457,460,431,432,441,440,436,459,454,449,435,436,441,452,448,458
27.33333333,452,452,454,457,445,456,455,461,441,455,448,483,478,454,462,477,448,447,458,460,454,457,457,476,460,457,447,454,454,449,443,469
28,457,439,462,437,449,451,467,459,459,452,454,472,478,441,465,471,449,456,448,456,448,446,450,449,447,457,434,436,450,442,446,454
28.66666667,455,454,442,448,454,445,460,441,465,456,450,470,470,454,462,461,448,467,436,451,443,457,439,459,447,456,442,431,449,459,462,455
29.33333333,453,447,485,450,448,455,461,463,448,464,443,472,470,453,469,459,445,445,437,452,445,454,452,460,447,458,451,455,451,461,441,481
30,463,447,456,457,461,447,471,473,462,453,474,476,486,457,471,481,454,450,456,460,451,464,457,459,470,470,453,447,442,460,459,448
30.66666667,467,449,458,459,459,447,475,469,441,470,450,462,484,434,481,456,455,457,456,471,451,449,458,451,451,451,462,441,463,471,426,473
31.33333333,463,462,446,449,442,458,470,468,454,450,471,468,489,462,488,447,472,470,453,444,453,461,460,453,450,447,439,454,447,446,453,465
32,437,435,480,449,442,455,466,469,469,445,479,471,493,461,473,473,473,450,448,457,453,458,446,461,475,469,449,457,459,453,468,437
32.66666667,465,459,453,459,448,454,473,452,459,460,466,478,494,466,459,478,443,458,456,459,455,460,451,461,462,475,455,450,445,464,456,478
33.33333333,446,443,466,463,460,463,472,468,466,478,481,475,470,458,487,479,463,464,453,452,442,452,453,476,458,454,446,453,464,458,466,457
34,464,452,446,454,438,473,483,450,453,463,454,476,484,457,480,483,442,472,462,453,464,451,455,470,450,449,441,469,465,466,435,453
34.66666667,446,457,490,458,452,459,476,458,455,471,461,475,481,485,484,474,452,467,439,466,450,479,455,461,456,455,465,470,451,453,449,459
35.33333333,469,442,471,450,453,465,491,469,468,455,463,476,474,470,470,472,457,454,455,461,467,457,453,466,462,462,459,453,457,448,456,460
36,466,449,458,455,451,462,481,471,450,466,449,479,475,478,470,476,471,447,459,440,486,468,452,452,456,451,441,461,454,462,453,467
36.66666667,454,446,465,474,452,460,476,466,464,475,459,467,492,469,478,476,461,460,448,466,472,471,467,468,470,468,442,450,469,464,466,454
37.33333333,442,467,458,467,451,473,467,474,470,452,480,456,475,480,480,479,467,453,452,463,461,466,451,470,454,458,457,466,444,470,457,457
38,447,456,459,456,454,460,469,468,458,456,454,490,480,494,477,480,463,463,446,465,476,477,450,468,471,470,449,458,473,461,443,470
38.66666667,444,449,462,469,465,453,478,466,463,471,480,480,479,494,475,483,450,469,444,460,480,492,459,457,451,472,450,446,462,464,467,480
39.33333333,447,451,462,452,468,465,489,471,458,473,460,496,490,494,475,488,452,456,461,472,491,476,463,459,452,469,448,451,476,466,449,461
40,443,454,471,454,462,467,474,464,452,456,475,493,488,500,475,471,456,464,464,456,474,482,461,472,459,469,449,473,465,468,445,467
40.66666667,462,447,477,454,452,480,489,481,454,484,466,477,490,476,482,487,463,452,479,459,504,486,465,470,457,486,441,454,481,472,465,468
41.33333333,449,461,462,457,463,488,486,498,461,459,457,482,480,499,487,481,464,482,449,468,499,479,484,454,450,470,452,441,456,484,456,465
