"","diff","lwr","upr","p adj"
"WTloxP-w1118",0.0999999999999943,-21.8494610671206,22.0494610671206,1
"G85Rhr-w1118",-98.38,-120.329461067121,-76.4305389328794,4.20774526332934e-14
"WTcr.G85Rhr-w1118",-0.0500000000000114,-19.058790883504,18.9587908835039,1
"WTcr-w1118",-0.383333333333269,-18.3049932478435,17.538326581177,1
"G85Rcr-w1118",-96.9333333333333,-116.970358252572,-76.8963084140943,0
"WTcr.null26-w1118",1.39999999999995,-20.5494610671207,23.3494610671206,0.999999999962522
"G85Rcr.null26-w1118",-68.6,-90.5494610671206,-46.6505389328794,3.82902043405409e-10
"null26.null26-w1118",-60.1000000000001,-82.0494610671207,-38.1505389328794,7.5952975020499e-09
"A4V.A4V-w1118",-4.84285714285716,-22.4415778151784,12.755863529464,0.998621665072523
"A4V.null26-w1118",-53.1,-75.0494610671207,-31.1505389328794,1.06959275325558e-07
"A4V.X16-w1118",-56.6,-78.5494610671207,-34.6505389328794,2.79037296602169e-08
"A4V.G85Rcr-w1118",-76.85,-98.7994610671206,-54.9005389328794,2.64940291927473e-11
"A4V.G85Rhr-w1118",-46.675,-65.683790883504,-27.6662091164961,7.8511443346585e-08
"G85Rhr-WTloxP",-98.48,-120.429461067121,-76.5305389328794,4.05231403988182e-14
"WTcr.G85Rhr-WTloxP",-0.150000000000006,-19.158790883504,18.858790883504,1
"WTcr-WTloxP",-0.483333333333263,-18.4049932478435,17.438326581177,1
"G85Rcr-WTloxP",-97.0333333333333,-117.070358252572,-76.9963084140943,0
"WTcr.null26-WTloxP",1.29999999999995,-20.6494610671207,23.2494610671206,0.999999999985569
"G85Rcr.null26-WTloxP",-68.7,-90.6494610671206,-46.7505389328794,3.70212194233943e-10
"null26.null26-WTloxP",-60.2,-82.1494610671207,-38.2505389328794,7.32261817848467e-09
"A4V.A4V-WTloxP",-4.94285714285715,-22.5415778151784,12.6558635294641,0.998314298629843
"A4V.null26-WTloxP",-53.2,-75.1494610671207,-31.2505389328794,1.0286992979669e-07
"A4V.X16-WTloxP",-56.7,-78.6494610671207,-34.7505389328794,2.68696004335212e-08
"A4V.G85Rcr-WTloxP",-76.95,-98.8994610671206,-55.0005389328794,2.56855647862153e-11
"A4V.G85Rhr-WTloxP",-46.775,-65.783790883504,-27.7662091164961,7.50799492577059e-08
"WTcr.G85Rhr-G85Rhr",98.33,79.321209116496,117.338790883504,0
"WTcr-G85Rhr",97.9966666666667,80.0750067521565,115.918326581177,0
"G85Rcr-G85Rhr",1.44666666666674,-18.5903582525722,21.4836915859057,0.999999999817007
"WTcr.null26-G85Rhr",99.7799999999999,77.8305389328793,121.729461067121,2.4535928844216e-14
"G85Rcr.null26-G85Rhr",29.78,7.83053893287937,51.7294610671206,0.00199668810804932
"null26.null26-G85Rhr",38.28,16.3305389328793,60.2294610671206,4.91634149294429e-05
"A4V.A4V-G85Rhr",93.5371428571428,75.9384221848216,111.135863529464,0
"A4V.null26-G85Rhr",45.28,23.3305389328793,67.2294610671206,2.50421213887631e-06
"A4V.X16-G85Rhr",41.78,19.8305389328793,63.7294610671206,1.09272192615473e-05
"A4V.G85Rcr-G85Rhr",21.53,-0.419461067120633,43.4794610671206,0.0584979549898815
"A4V.G85Rhr-G85Rhr",51.705,32.696209116496,70.7137908835039,8.78215489219514e-09
"WTcr-WTcr.G85Rhr",-0.333333333333258,-14.501649528531,13.8349828618645,1
"G85Rcr-WTcr.G85Rhr",-96.8833333333333,-113.647511133928,-80.1191555327388,0
"WTcr.null26-WTcr.G85Rhr",1.44999999999996,-17.558790883504,20.4587908835039,0.999999999631327
"G85Rcr.null26-WTcr.G85Rhr",-68.55,-87.5587908835039,-49.541209116496,1.30214727889211e-11
"null26.null26-WTcr.G85Rhr",-60.05,-79.058790883504,-41.0412091164961,2.98637892193199e-10
"A4V.A4V-WTcr.G85Rhr",-4.79285714285714,-18.5504099418881,8.96469565617381,0.987872338835799
"A4V.null26-WTcr.G85Rhr",-53.05,-72.058790883504,-34.0412091164961,4.9860441331262e-09
"A4V.X16-WTcr.G85Rhr",-56.55,-75.558790883504,-37.5412091164961,1.18729215348168e-09
"A4V.G85Rcr-WTcr.G85Rhr",-76.8,-95.8087908835039,-57.791209116496,7.72604202836646e-13
"A4V.G85Rhr-WTcr.G85Rhr",-46.625,-62.1456127639511,-31.1043872360489,9.50908574104403e-10
"G85Rcr-WTcr",-96.55,-112.070612763951,-81.0293872360489,0
"WTcr.null26-WTcr",1.78333333333322,-16.138326581177,19.7049932478435,0.999999989403435
"G85Rcr.null26-WTcr",-68.2166666666667,-86.138326581177,-50.2950067521565,3.47311068793488e-12
"null26.null26-WTcr",-59.7166666666668,-77.638326581177,-41.7950067521566,8.57985904545444e-11
"A4V.A4V-WTcr",-4.45952380952389,-16.6710766287482,7.75202900970038,0.982067111262373
"A4V.null26-WTcr",-52.7166666666668,-70.638326581177,-34.7950067521565,1.53444956740856e-09
"A4V.X16-WTcr",-56.2166666666668,-74.138326581177,-38.2950067521565,3.51853324254137e-10
"A4V.G85Rcr-WTcr",-76.4666666666667,-94.388326581177,-58.5450067521565,1.81965553736063e-13
"A4V.G85Rhr-WTcr",-46.2916666666668,-60.4599828618645,-32.1233504714691,1.36138322837098e-10
"WTcr.null26-G85Rcr",98.3333333333332,78.2963084140942,118.370358252572,0
"G85Rcr.null26-G85Rcr",28.3333333333333,8.29630841409429,48.3703582525722,0.00115722571409782
"null26.null26-G85Rcr",36.8333333333332,16.7963084140942,56.8703582525722,2.01449381367347e-05
"A4V.A4V-G85Rcr",92.0904761904761,76.9439090619303,107.237043319022,0
"A4V.null26-G85Rcr",43.8333333333332,23.7963084140943,63.8703582525722,8.11674213063718e-07
"A4V.X16-G85Rcr",40.3333333333332,20.2963084140942,60.3703582525722,3.95914295447941e-06
"A4V.G85Rcr-G85Rcr",20.0833333333333,0.0463084140942911,40.1203582525722,0.0490520770146785
"A4V.G85Rhr-G85Rcr",50.2583333333332,33.4941555327388,67.0225111339277,9.96121962693053e-10
"G85Rcr.null26-WTcr.null26",-69.9999999999999,-91.9494610671206,-48.0505389328793,2.39600450591126e-10
"null26.null26-WTcr.null26",-61.5,-83.4494610671206,-39.5505389328794,4.56656679137524e-09
"A4V.A4V-WTcr.null26",-6.2428571428571,-23.8415778151783,11.3558635294641,0.985882961239021
"A4V.null26-WTcr.null26",-54.5,-76.4494610671206,-32.5505389328793,6.21688401869491e-08
"A4V.X16-WTcr.null26",-58,-79.9494610671206,-36.0505389328794,1.64974606198243e-08
"A4V.G85Rcr-WTcr.null26",-78.2499999999999,-100.199461067121,-56.3005389328793,1.71797021053521e-11
"A4V.G85Rhr-WTcr.null26",-48.075,-67.0837908835039,-29.066209116496,4.21738153288942e-08
"null26.null26-G85Rcr.null26",8.49999999999995,-13.4494610671207,30.4494610671206,0.971473472950092
"A4V.A4V-G85Rcr.null26",63.7571428571428,46.1584221848216,81.355863529464,1.16501253089041e-11
"A4V.null26-G85Rcr.null26",15.5,-6.44946106712066,37.4494610671206,0.391874020497968
"A4V.X16-G85Rcr.null26",12,-9.94946106712068,33.9494610671206,0.754526746257169
"A4V.G85Rcr-G85Rcr.null26",-8.25,-30.1994610671206,13.6994610671206,0.977402319022628
"A4V.G85Rhr-G85Rcr.null26",21.925,2.91620911649601,40.9337908835039,0.013204325777638
"A4V.A4V-null26.null26",55.2571428571429,37.6584221848217,72.8558635294641,3.44050010703256e-10
"A4V.null26-null26.null26",7.00000000000002,-14.9494610671206,28.9494610671207,0.994410781657995
"A4V.X16-null26.null26",3.50000000000001,-18.4494610671206,25.4494610671206,0.99999660733218
"A4V.G85Rcr-null26.null26",-16.75,-38.6994610671206,5.19946106712068,0.282721325756715
"A4V.G85Rhr-null26.null26",13.425,-5.58379088350394,32.433790883504,0.391697060125004
"A4V.null26-A4V.A4V",-48.2571428571429,-65.8558635294641,-30.6584221848217,7.35686811470515e-09
"A4V.X16-A4V.A4V",-51.7571428571429,-69.3558635294641,-34.1584221848217,1.54090529225215e-09
"A4V.G85Rcr-A4V.A4V",-72.0071428571428,-89.605863529464,-54.4084221848216,5.56554802244591e-13
"A4V.G85Rhr-A4V.A4V",-41.8321428571429,-55.5896956561738,-28.0745900581119,7.20851711655257e-10
"A4V.X16-A4V.null26",-3.50000000000001,-25.4494610671206,18.4494610671206,0.99999660733218
"A4V.G85Rcr-A4V.null26",-23.75,-45.6994610671206,-1.80053893287934,0.0248796544040696
"A4V.G85Rhr-A4V.null26",6.425,-12.583790883504,25.433790883504,0.990641918521148
"A4V.G85Rcr-A4V.X16",-20.25,-42.1994610671206,1.69946106712068,0.0929725566206993
"A4V.G85Rhr-A4V.X16",9.92500000000001,-9.08379088350395,28.933790883504,0.804218614264981
