Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
WT-cr/LoxP,Boutons,1a,4,3,33,1,,
WT-cr/LoxP,Boutons,2a,4,3,19,1,,
WT-cr/LoxP,Boutons,2b,4,3,38,1,,
WT-cr/LoxP,Boutons,3a,4,3,15,1,,
WT-cr/LoxP,Boutons,3b,4,3,25,1,,
WT-cr/LoxP,Boutons,4a,4,3,15,1,,
WT-cr/LoxP,Boutons,4b,4,3,23,1,,
WT-cr/LoxP,Boutons,5a,4,3,28,1,,
WT-cr/LoxP,Boutons,6a,4,3,32,1,,
WT-cr/LoxP,Boutons,5b,4,3,22,1,,
WT-cr/LoxP,Boutons,4b,4,3,20,2,,
WT-cr/LoxP,Boutons,5a,4,3,35,2,,
WT-cr/LoxP,Boutons,5b,4,3,30,2,,
WT-cr/LoxP,Boutons,1a,4,3,37,2,,
WT-cr/LoxP,Boutons,1b,4,3,23,2,,
WT-cr/LoxP,Boutons,2a,4,3,29,2,,
WT-cr/LoxP,Boutons,2b,4,3,23,2,,
WT-cr/LoxP,Boutons,3a,4,3,48,2,,
WT-cr/LoxP,Boutons,1a,4,4,22,1,,
WT-cr/LoxP,Boutons,1b,4,4,18,1,,
WT-cr/LoxP,Boutons,2a,4,4,45,1,,
WT-cr/LoxP,Boutons,2b,4,4,35,1,,
WT-cr/LoxP,Boutons,3a,4,4,38,1,,
WT-cr/LoxP,Boutons,3b,4,4,39,1,,
WT-cr/LoxP,Boutons,4a,4,4,39,1,,
WT-cr/LoxP,Boutons,4b,4,4,20,1,,
WT-cr/LoxP,Boutons,5a,4,4,39,1,,
WT-cr/LoxP,Boutons,5b,4,4,38,1,,
WT-cr/LoxP,Boutons,6a,4,4,27,1,,
WT-cr/LoxP,Boutons,6b,4,4,36,1,,
WT-cr/LoxP,Boutons,1a,4,4,32,2,,
WT-cr/LoxP,Boutons,1b,4,4,28,2,,
WT-cr/LoxP,Boutons,2a,4,4,22,2,,
WT-cr/LoxP,Boutons,2b,4,4,31,2,,
WT-cr/LoxP,Boutons,3a,4,4,30,2,,
WT-cr/LoxP,Boutons,3b,4,4,26,2,,
WT-cr/LoxP,Boutons,4a,4,4,32,2,,
WT-cr/LoxP,Boutons,4b,4,4,35,2,,
WT-cr/LoxP,Boutons,5a,4,4,35,2,,
WT-cr/LoxP,Boutons,5b,4,4,33,2,,
WT-cr/LoxP,Boutons,6a,4,4,38,2,,
WT-cr/LoxP,Boutons,6b,4,4,48,2,,
WT-cr/LoxP,Boutons,1a,4,5,23,1,,
WT-cr/LoxP,Boutons,1b,4,5,34,1,,
WT-cr/LoxP,Boutons,2a,4,5,34,1,,
WT-cr/LoxP,Boutons,2b,4,5,8,1,,
WT-cr/LoxP,Boutons,3a,4,5,49,1,,
WT-cr/LoxP,Boutons,3b,4,5,43,1,,
WT-cr/LoxP,Boutons,4a,4,5,13,1,,
WT-cr/LoxP,Boutons,4b,4,5,33,1,,
WT-cr/LoxP,Boutons,5a,4,5,38,1,,
WT-cr/LoxP,Boutons,5b,4,5,42,1,,
WT-cr/LoxP,Boutons,6a,4,5,30,1,,
WT-cr/LoxP,Boutons,6b,4,5,23,1,,
WT-cr/LoxP,Boutons,1a,4,5,19,2,,
WT-cr/LoxP,Boutons,1b,4,5,18,2,,
WT-cr/LoxP,Boutons,2a,4,5,18,2,,
WT-cr/LoxP,Boutons,2b,4,5,26,2,,
WT-cr/LoxP,Boutons,3a,4,5,42,2,,
WT-cr/LoxP,Boutons,3b,4,5,11,2,,
WT-cr/LoxP,Boutons,4a,4,5,32,2,,
WT-cr/LoxP,Boutons,4b,4,5,37,2,,
WT-cr/LoxP,Boutons,5a,4,5,37,2,,
WT-cr/LoxP,Boutons,5b,4,5,37,2,,
WT-cr/LoxP,Boutons,6a,4,5,40,2,,
WT-cr/LoxP,Boutons,6b,4,5,26,2,,
WT-cr/LoxP,Boutons,1a,4,6,20,1,,
WT-cr/LoxP,Boutons,1b,4,6,20,1,,
WT-cr/LoxP,Boutons,2a,4,6,26,1,,
WT-cr/LoxP,Boutons,2b,4,6,29,1,,
WT-cr/LoxP,Boutons,3a,4,6,34,1,,
WT-cr/LoxP,Boutons,3b,4,6,31,1,,
WT-cr/LoxP,Boutons,4a,4,6,20,1,,
WT-cr/LoxP,Boutons,4b,4,6,27,1,,
WT-cr/LoxP,Boutons,5a,4,6,20,1,,
WT-cr/LoxP,Boutons,5b,4,6,22,1,,
WT-cr/LoxP,Boutons,6a,4,6,24,1,,
WT-cr/LoxP,Boutons,6b,4,6,12,1,,
WT-cr/LoxP,Boutons,1a,4,6,21,2,,
WT-cr/LoxP,Boutons,1b,4,6,15,2,,
WT-cr/LoxP,Boutons,2a,4,6,32,2,,
WT-cr/LoxP,Boutons,2b,4,6,25,2,,
WT-cr/LoxP,Boutons,3a,4,6,25,2,,
WT-cr/LoxP,Boutons,3b,4,6,25,2,,
WT-cr/LoxP,Boutons,4a,4,6,14,2,,
WT-cr/LoxP,Boutons,4b,4,6,35,2,,
WT-cr/LoxP,Boutons,5a,4,6,4,2,,
WT-cr/LoxP,Boutons,5b,4,6,19,2,,
WT-cr/LoxP,Boutons,6a,4,6,30,2,,
WT-cr/LoxP,Boutons,1a,7-Jun,3,42,1,,
WT-cr/LoxP,Boutons,2a,7-Jun,3,51,1,,
WT-cr/LoxP,Boutons,2b,7-Jun,3,37,1,,
WT-cr/LoxP,Boutons,3a,7-Jun,3,30,1,,
WT-cr/LoxP,Boutons,3b,7-Jun,3,49,1,,
WT-cr/LoxP,Boutons,4b,7-Jun,3,72,1,,
