Data,Sample,Experiment,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Boutons,Raw - VNC pMad,Norm - VNC pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad,Raw - NMJ pMad,Norm - NMJ pMad
side,,,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,,,a,a,b,b,a,a,b,b
NMJ,,,4,4,4,4,6-7,6-7,6-7,6-7,4,4,4,4,6-7,6-7,6-7,6-7,,,4,4,4,4,6-7,6-7,6-7,6-7
Segment,,,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,,,3,3,3,3,3,3,3,3
WT-cr/LoxP,1,1,33,22,23,20,42,42,30,22,,18,34,20,,43,32,22,550795.504,547172.8649,961240.025,830971.4828,,,971967.981,902141.6825,,
WT-cr/LoxP,1,2,37,32,19,21,29,52,19,18,23,28,18,15,,31,17,42,958742.03,954318.5682,2091577.213,1683405.856,1028357.874,853940.7441,1300203.642,1064972.692,,
WT-cr/LoxP,2,1,19,45,34,26,51,55,28,32,38,35,8,29,37,59,28,26,337400.333,334035.5309,482506.399,387739.3051,429755.062,350005.825,1034163.129,759069.3856,431864.405,373530.7715
WT-cr/LoxP,2,2,29,22,18,32,30,16,27,22,23,31,26,25,41,36,23,22,1464455.931,1458040.398,1333454.204,1162399.599,856938.164,701359.6289,1278871.711,1090778.046,1250009.587,1064960.028
WT-cr/LoxP,3,1,15,38,49,34,30,35,57,32,25,39,43,31,49,55,71,21,,,196481.638,121676.2728,391449.512,353682.5989,828325.936,714816.0729,981242.62,902151.4238
WT-cr/LoxP,3,2,48,30,42,25,87,34,40,29,,26,11,25,91,44,28,26,726097.208,719920.5628,2828192.65,2163474.224,,,5674660.059,4629211.451,4168169.643,2821513.104
WT-cr/LoxP,4,1,15,39,13,20,,44,47,20,23,20,33,27,72,47,43,32,869215.897,865385.4168,316639.924,275635.9738,516888.928,459573.6149,,,1307781.633,1036222.967
WT-cr/LoxP,4,2,,32,32,14,59,14,35,22,20,35,37,35,32,41,46,43,902171.184,886012.9553,,,350126.767,319713.2492,2381069.233,2022421.255,1550903.839,1430269.729
WT-cr/LoxP,5,1,28,39,38,20,58,37,33,13,22,38,42,22,49,35,32,20,686063.662,682844.9274,336090.585,249956.9536,313563.151,270637.2032,1222904.749,968752.7108,1704318.577,1203608.34
WT-cr/LoxP,5,2,35,35,37,4,71,38,29,14,30,33,37,19,56,45,28,31,,,1192897.332,918544.5509,,,2449167.162,2197261.161,1839644.144,1634075.839
WT-cr/LoxP,6,1,32,27,30,24,34,30,23,12,,36,23,12,,37,39,18,,,705365.202,593705.4991,,,969033.73,859433.7479,,
WT-cr/LoxP,6,2,,38,40,30,48,51,38,24,,48,26,,,,47,,625427.434,613636.2143,,,,,2956608.031,2845049.044,,
G85Rcr/G85Rhr,1,1,19,18,20,21,33,44,25,16,,34,23,20,,42,25,22,559489.253,555885.8237,324006.547,300170.0453,,,449603.838,394489.1191,,
G85Rcr/G85Rhr,1,2,10,29,17,19,48,44,31,25,,19,21,9,,48,19,27,559346.538,579276.4,1074115.309,858196.2051,,,2497476.761,2352859.022,,
G85Rcr/G85Rhr,2,1,20,24,19,9,48,34,27,30,24,23,16,19,35,42,33,17,409810.634,405365.6089,362520.086,156762.3612,445013.784,365134.3647,731002.239,617399.9831,243372.681,178306.0731
G85Rcr/G85Rhr,2,2,19,29,15,15,25,41,21,19,,20,16,8,32,31,23,18,,,1929940.045,1842431.793,1270336.622,1103078.463,1739763.165,1619368.723,2491974.703,2003498.868
G85Rcr/G85Rhr,3,1,9,27,21,20,43,26,35,15,21,22,20,21,44,34,15,22,456122.668,450892.5332,196909.3,171591.7985,214126.346,200463.9067,537743.758,472007.1998,491013.68,444242.5705
G85Rcr/G85Rhr,3,2,16,26,16,10,98,43,21,17,,22,16,19,94,20,20,27,443565.005,459369.5,920009.108,818357.9852,,,4383597.804,3302482.315,4294515.463,3451319.236
G85Rcr/G85Rhr,4,1,20,24,21,15,59,24,43,21,10,15,28,8,,41,24,39,,,200886.973,186892.2979,224015.876,210986.1431,1014630.682,945512.0599,,
G85Rcr/G85Rhr,4,2,,24,29,20,40,31,25,26,21,19,18,,60,28,26,2,342679.807,354889.7,,,1653387.676,1464286.319,3654860.562,3016968.648,2181974.212,2036533.765
G85Rcr/G85Rhr,5,2,20,11,,,62,22,24,,22,,,,59,50,,,433817.997,449275.2,1607192.345,1544855.4,1400372.658,1312553.977,2246117.352,2151945.46,3422815.568,3230527.421
OK371>gbb [WT],1,1,30,,,,63,,,,,,,,,,,,733309.625,730157.5168,875346.175,816397.5164,,,1329137.607,1171695.818,,
OK371>gbb [WT],1,2,22,,,,66,,,,19,,,,,,,,608196.58,629867,684483.047,533946.5178,608877.132,545420.7472,2500207.175,1853483.355,,
OK371>gbb [WT],2,1,,,,,36,,,,24,,,,35,,,,661033.083,654408.5532,,,248491.108,200630.4651,808024.585,329867.1574,688183.98,576599.6111
OK371>gbb [WT],2,2,18,,,,25,,,,32,,,,46,,,,483133.167,500347.5,535623.021,482959.8274,1362372.043,1200853.363,1563839.629,1447815.385,1159526.553,1086545.066
OK371>gbb [WT],3,1,34,,,,76,,,,,,,,,,,,578544.213,571621.0721,806205.018,727503.6245,,,1385560.813,1148382.165,,
OK371>gbb [WT],3,2,20,,,,47,,,,40,,,,26,,,,535768.343,554858.1,615869.007,522776.7133,1411045.092,1297845.974,1453580.818,863053.7806,1286075.631,1160972.077
OK371>gbb [WT],4,1,32,,,,42,,,,29,,,,46,,,,,,591785.517,539464.9924,274367.709,234012.7101,905763.584,762617.1644,464424.952,427233.6258
OK371>gbb [WT],4,2,16,,,,40,,,,,,,,,,,,370756.034,383966.3,556947.709,530343.456,,,1226610.897,1065878.099,,
OK371>gbb [G85R],1,1,44,,,,49,,,,,,,,,,,,783436.378,773783.41,698367.244,540684.2117,,,776545.601,433449.7365,,
OK371>gbb [G85R],1,2,30,,,,50,,,,16,,,,40,,,,581769.88,602498.7,646735.804,550882.6307,364623.345,274419.5281,1432196.456,1353008.673,1142323.025,998301.8445
OK371>gbb [G85R],2,1,21,,,,,,,,26,,,,49,,,,873479.487,856861.9533,529148.029,446394.5937,829649.67,704763.9279,908014.29,809018.2222,1484225.818,1347103.561
OK371>gbb [G85R],2,2,29,,,,42,,,,25,,,,35,,,,518605.95,537084.2,676166.857,509210.7721,1055181.144,944965.5967,1940261.968,1499482.668,878679.217,792680.727
OK371>gbb [G85R],3,1,33,,,,33,,,,27,,,,,,,,1271160.951,1261078.029,742141.153,622819.5247,1078549.515,901504.5439,894934.241,849920.2685,,
OK371>gbb [G85R],3,2,40,,,,31,,,,5,,,,40,,,,,,2754031.749,1679990.975,452783.446,393198.5874,2676848.148,2439011.499,1671572.732,1330323.539
OK371>gbb [G85R],4,1,27,,,,,,,,19,,,,27,,,,724504.362,709183.7649,846157.969,752913.6966,607796.727,543283.2778,,,920104.895,871793.2223
OK371>gbb [G85R],4,2,23,,,,30,,,,,,,,,,,,326176.336,337798.2,623242.099,548312.8301,,,1482976.82,1380916.371,,
OK371>gbb [G85R],5,1,34,,,,40,,,,,,,,,,,,468309.445,453021.0917,684083.29,618124.1439,,,1495188.8,1313417.173,,
OK371>gbb [G85R],5,2,,,,,,,,,,,,,,,,,227153.578,235247.2,,,,,,,,
OK371>gbb [G85R],6,1,,,,,46,,,,,,,,54,,,,793555.816,775341.6911,371743.065,202723.629,749012.425,659951.6903,977691.257,842957.0838,1103297.431,995173.4396
OK371>gbb [G85R],6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
OK371>gbb [G85R],7,1,25,,,,26,,,,15,,,,41,,,,921596.836,914294.4444,658418.734,575224.8461,414995.263,377185.1966,1039525.852,971950.6358,871896.104,797986.2978
OK371>gbb [G85R],7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
