w1118,WTLoxP/WTLoxP,G85R/G85R(HR),WT/WT,G85R/G85R(CR),A4V/A4V,A4V/X16,A4V/G85R(CR)
37.48226,55.3584662,17.0465844,31.76241,32.8884393,49.85318,64.3881589,44.0403748
14.98265,80.5950209,34.0070729,16.80381,82.9553929,78.74947,51.5774133,83.6947155
19.47916,75.925132,20.1871995,12.88762,42.9654623,59.09865,47.9299929,52.407694
12.82176,46.6610983,13.1555282,23.44098,46.2248143,49.50992,61.0506738,70.6192967
30.42329,67.0878074,22.9021475,3.368212,29.7142721,85.317,42.6966158,78.31327
41.20151,23.7675229,21.0409911,12.95216,45.7918783,12.44981,55.47438,56.1920368
29.15983,68.6483696,14.8057631,9.397536,37.583914,57.21548,45.0691379,47.3905124
61.99919,57.2005738,28.9044736,1.007316,10.1558065,125.3375,22.5196366,24.3175177
39.16247,37.7702014,2.75523227,17.34144,66.6139554,85.10484,71.7337136,38.9186139
30.2802,54.6942479,41.4944131,0.517011,36.7272505,57.20314,45.2063977,76.6530898
6.723339,35.5824421,77.0689219,65.28739,43.5434972,36.98654,19.3982995,73.4283887
19.87224,49.8231914,35.7708261,73.33909,57.5323692,31.49714,15.7667464,23.4658307
25.67562,73.3118459,60.3204744,39.2769,29.6016393,3.4199,45.6195276,74.6912967
3.911486,45.8111029,47.4333218,29.24503,67.0772014,72.31256,24.1766974,35.0489223
46.73858,11.0915915,18.3869717,75.08857,47.6610187,60.2617,52.2843915,45.3335828
43.57912,77.5157729,30.4836768,32.62731,77.3348051,21.26841,75.6950642,4.56202766
67.41384,71.3468923,8.80926629,118.4034,23.9073019,76.70332,82.717521,17.3090056
53.40791,65.6885804,28.9007953,88.90702,12.5473723,52.98031,40.505743,48.2906814
56.08164,72.919201,6.9560917,47.67849,7.02156394,54.60395,65.0037798,43.128113
85.2052,65.9257738,0.53932133,90.16372,17.1765297,67.36829,46.102893,14.8561902
38.83602,62.159612,6.23750569,39.35564,64.1983698,72.32493,46.5575645,20.6777594
79.21016,64.3270856,33.0747644,43.49061,18.5327585,44.31069,58.5118592,14.7361696
90.91641,0.52077464,3.52244454,23.59686,67.4942736,18.31298,96.4920162,45.1746838
10.43984,49.6553711,6.00629368,54.10927,41.0594938,95.13522,56.7591601,35.865229
92.62339,42.8591418,35.370196,53.11497,,36.84449,80.0659851,
,88.8838891,2.19349756,,,,,
,59.027309,7.35354386,,,,,
,45.8715301,18.5884475,,,,,
,87.4925079,26.2971141,,,,,
,35.0710684,17.0650538,,,,,
,52.4079241,30.9098159,,,,,
,32.2000913,25.1045895,,,,,
,60.9994873,,,,,,
,53.2830791,,,,,,
,54.7869724,,,,,,
,61.9684057,,,,,,
,79.4717124,,,,,,
,57.5003583,,,,,,
,60.3869135,,,,,,
,58.5040256,,,,,,
