,Genotype,Data,Sample,NMJ,Segment,Total boutons,1b,1s
,WTcr/LoxP,Boutons,1R,4,3,44,24,20
,WTcr/LoxP,Boutons,1L,4,3,34,19,15
,WTcr/LoxP,Boutons,2R,4,3,36,20,16
,WTcr/LoxP,Boutons,2L,4,3,37,18,19
,WTcr/LoxP,Boutons,3R,4,3,30,14,16
,WTcr/LoxP,Boutons,3L,4,3,34,16,18
,WTcr/LoxP,Boutons,4R,4,3,31,18,13
,WTcr/LoxP,Boutons,4L,4,3,38,20,18
,WTcr/LoxP,Boutons,5R,4,3,32,17,15
,WTcr/LoxP,Boutons,5L,4,3,29,17,12
,WTcr/LoxP,Boutons,6R,4,3,36,16,20
,G85Rcr/hr,Boutons,1R,4,3,23,14,9
,G85Rcr/hr,Boutons,1L,4,3,29,15,14
,G85Rcr/hr,Boutons,2R,4,3,29,9,20
,G85Rcr/hr,Boutons,2L,4,3,26,12,14
,G85Rcr/hr,Boutons,3R,4,3,41,23,18
,G85Rcr/hr,Boutons,3L,4,3,26,19,7
,G85Rcr/hr,Boutons,4R,4,3,49,24,25
,G85Rcr/hr,Boutons,4L,4,3,19,8,11
,G85Rcr/hr,Boutons,5R,4,3,42,10,32
,G85Rcr/hr,Boutons,5L,4,3,23,12,11
,"OK371>gbb, WTcr/Loxp",Boutons,1R,4,3,32,16,16
,"OK371>gbb, WTcr/Loxp",Boutons,1L,4,3,28,18,10
,"OK371>gbb, WTcr/Loxp",Boutons,2R,4,3,29,14,15
,"OK371>gbb, WTcr/Loxp",Boutons,2L,4,3,24,13,11
,"OK371>gbb, WTcr/Loxp",Boutons,3R,4,3,31,16,15
,"OK371>gbb, WTcr/Loxp",Boutons,3L,4,3,41,23,18
,"OK371>gbb, WTcr/Loxp",Boutons,4R,4,3,26,15,11
,"OK371>gbb, WTcr/Loxp",Boutons,4L,4,3,25,19,6
,"OK371>gbb, WTcr/Loxp",Boutons,5R,4,3,41,19,22
,"OK371>gbb, WTcr/Loxp",Boutons,5L,4,3,27,18,9
,"OK371>gbb, WTcr/Loxp",Boutons,6R,4,3,30,17,13
,"OK371>gbb, WTcr/Loxp",Boutons,6L,4,3,38,14,24
,"OK371>gbb, WTcr/Loxp",Boutons,7R,4,3,41,25,16
,"OK371>gbb, WTcr/Loxp",Boutons,8R,4,3,50,18,32
,"OK371>gbb, WTcr/Loxp",Boutons,8L,4,3,29,13,16
,"OK371>gbb, WTcr/Loxp",Boutons,9R,4,3,35,18,17
,"OK371>gbb, WTcr/Loxp",Boutons,9L,4,3,37,18,19
,"OK371>gbb, G85R",Boutons,1R,4,3,25,15,10
,"OK371>gbb, G85R",Boutons,1L,4,3,31,12,19
,"OK371>gbb, G85R",Boutons,2R,4,3,51,21,30
,"OK371>gbb, G85R",Boutons,2L,4,3,33,17,16
,"OK371>gbb, G85R",Boutons,3R,4,3,30,19,11
,"OK371>gbb, G85R",Boutons,4R,4,3,26,16,10
,"OK371>gbb, G85R",Boutons,4L,4,3,30,16,14
,"OK371>gbb, G85R",Boutons,5R,4,3,29,15,14
,"OK371>gbb, G85R",Boutons,5L,4,3,35,16,19
,"OK371>gbb, G85R",Boutons,6R,4,3,30,15,15
,"OK371>gbb, G85R",Boutons,6L,4,3,28,20,8
,"OK371>gbb, G85R",Boutons,7R,4,3,27,15,12
,"OK371>gbb, G85R",Boutons,7L,4,3,32,14,18
,"OK371>gbb, G85R",Boutons,8R,4,3,37,26,11
,"OK371>gbb, G85R",Boutons,8L,4,3,20,8,12
,"OK371>gbb, G85R",Boutons,9R,4,3,29,15,14
,"OK371>gbb, G85R",Boutons,9L,4,3,27,12,15
,"OK371>gbb, G85R",Boutons,10R,4,3,51,29,22
,"OK371>gbb, G85R",Boutons,10L,4,3,24,8,16
,"OK371>gbb, G85R",Boutons,11R,4,3,33,12,21
,"OK371>gbb, G85R",Boutons,11L,4,3,26,14,12
,"OK371>gbb, G85R",Boutons,12R,4,3,30,18,12
,"OK371>gbb, G85R",Boutons,12L,4,3,35,16,19
,"OK371>gbb, G85R",Boutons,13R,4,3,27,11,16
,"OK371>gbb, G85R",Boutons,13L,4,3,39,23,16
,"OK371>SaxA, WT",Boutons,1R,4,3,29,11,18
,"OK371>SaxA, WT",Boutons,1L,4,3,24,13,11
,"OK371>SaxA, WT",Boutons,2R,4,3,27,10,17
,"OK371>SaxA, WT",Boutons,2L,4,3,,18,
,"OK371>SaxA, WT",Boutons,3R,4,3,39,16,23
,"OK371>SaxA, WT",Boutons,3L,4,3,33,17,16
,"OK371>SaxA, WT",Boutons,4R,4,3,36,15,21
,"OK371>SaxA, WT",Boutons,4L,4,3,36,15,21
,"OK371>SaxA, WT",Boutons,5R,4,3,34,14,20
,"OK371>SaxA, WT",Boutons,5L,4,3,38,10,28
,"OK371>SaxA, WT",Boutons,6R,4,3,42,22,20
,"OK371>SaxA, WT",Boutons,6L,4,3,30,22,8
,"OK371>SaxA, WT",Boutons,7R,4,3,33,16,17
,"OK371>SaxA, WT",Boutons,7L,4,3,40,18,22
,"OK371>SaxA, WT",Boutons,8R,4,3,33,17,16
,"OK371>SaxA, G85R",Boutons,1R,4,3,38,21,17
,"OK371>SaxA, G85R",Boutons,1L,4,3,28,18,10
,"OK371>SaxA, G85R",Boutons,3R,4,3,40,26,14
,"OK371>SaxA, G85R",Boutons,3L,4,3,46,22,24
,"OK371>SaxA, G85R",Boutons,4R,4,3,29,18,11
,"OK371>SaxA, G85R",Boutons,4L,4,3,53,26,27
,"OK371>SaxA, G85R",Boutons,5R,4,3,40,26,14
,"OK371>SaxA, G85R",Boutons,5L,4,3,44,23,21
,"OK371>SaxA, G85R",Boutons,6R,4,3,44,16,28
,"OK371>SaxA, G85R",Boutons,6L,4,3,48,36,12
,WTcr/LoxP,Boutons,1R,4,4,45,23,22
