genotype,eclosed,not eclosed,dataset
A4V,12,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V,18,3,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V,36,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V,21,2,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V,29,0,21.08.23_sod1null.df1.Jsedited.xlsx
A4V,8,2,21.08.23_sod1null.df1.Jsedited.xlsx
A4V/G85Rcr,10,49,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/G85Rcr,1,8,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/G85Rcr,0,20,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/G85Rcr,0,27,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/G85Rcr,3,17,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,26,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,12,0,21.08.23_sod1null.df1.Jsedited.xlsx
A4V/X16,11,0,21.08.23_sod1null.df1.Jsedited.xlsx
A4V/X16,10,0,21.08.23_sod1null.df1.Jsedited.xlsx
A4V/X16,27,3,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,17,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,13,4,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,24,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
A4V/X16,9,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85R/X16,0,14,21.08.23_sod1null.df1.Jsedited.xlsx
G85R/X16,0,10,21.08.23_sod1null.df1.Jsedited.xlsx
G85R/X16,0,12,21.08.23_sod1null.df1.Jsedited.xlsx
G85R/X16,0,12,21.08.23_sod1null.df1.Jsedited.xlsx
G85Rcr,0,11,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,0,17,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,0,24,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,0,19,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,0,13,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,0,10,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rcr,1,33,21.08.23_sod1null.df1.Jsedited.xlsx
G85Rcr,0,12,21.08.23_sod1null.df1.Jsedited.xlsx
G85Rcr,1,10,21.08.23_sod1null.df1.Jsedited.xlsx
G85Rhr,0,21,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rhr,0,28,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rhr,0,36,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
G85Rhr,0,39,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,83,2,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,111,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,121,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,131,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,132,3,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,125,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,139,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
w1118,102,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTcr,10,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTcr,45,3,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTcr,152,3,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr,102,1,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr,161,4,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr,73,0,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr/X16,39,0,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr/X16,12,0,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr/X16,28,0,21.08.23_sod1null.df1.Jsedited.xlsx
WTcr/X16,20,0,21.08.23_sod1null.df1.Jsedited.xlsx
WTloxP,44,2,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTloxP,45,1,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTloxP,84,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
WTloxP,16,0,Figure 1B Eclosion Data AV4xX16 eclosion.xlsx
