w1118,WTloxP,G85Rhr,WTcr,G85Rcr,G85Rcr/null26,WTcr/null26,null26,A4V,A4V/null26,A4V/X16,A4V/G85Rcr
97.64705882,95.65217391,0,100,0,100,100,100,92.30769231,100,100,16.94915254
99.10714286,97.82608696,0,100,0,46.66666667,100,100,100,100,90,11.11111111
100,100,0,100,12.5,100,100,90,85.71428571,100,100,28.57142857
99.24242424,100,0,90.90909091,0,100,100,100,75,100,76.47058824,20
97.77777778,,,93.75,0,90.90909091,,100,97.2972973,100,100,0
100,,,98.06451613,0,100,,66.66666667,91.30434783,,100,0
100,,,99.02912621,0,,,,100,,100,15
100,,,97.57575758,2.941176471,,,,100,,100,
,,,100,0,,,,80,,100,
,,,,9.090909091,,,,100,,100,
,,,,0,,,,,,,
