Name,Genotype,Sex,Age,Branchpoints
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,12
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,16
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,18
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,19
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,17
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,16
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,16
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,8
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,12
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,19
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,18
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,9
WTM10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,M,10,17
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,14
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,12
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,15
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,16
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,14
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,17
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,11
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,10
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,13
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,14
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,15
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,21
WtsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,M,10,12
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,6
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,8
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,10
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,7
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,3
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,7
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,7
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,4
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,8
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,7
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,8
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,4
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,14
A4VM10,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,M,10,6
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,9
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,17
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,10
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,17
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,9
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,14
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,14
A4VsaxM10,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,M,10,12
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,16
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,19
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,19
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,15
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,15
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,16
WTF10,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,10,11
