"","GRF.CxDf","GRF.CxOE","WTF.CxDf","WTF.CxOE","GRxWT.FC","GRxWT.FDf","GRxWT.FOE","GRM.CxDf","GRM.CxOE","WTM.CxDf","WTM.CxOE","GRxWT.MC","GRxWT.MDf","GRxWT.MOE","GR.FxM","WT.FxM"
"FBgn0000003",-1.61765377425636,-0.839460248887337,-0.503530511801696,0.37247829485894,0.383477135549086,-0.730646126905578,-0.828461408197191,-1.2178633410863,-0.885660601385743,0.459721404830195,0.00469470546726592,-0.0953180907092779,-1.77290283662577,-0.985673397562287,0.647765444525053,0.168970218266689
"FBgn0000008",0.0797074682504779,0.370865374312335,-0.362874168261676,-0.271924870417694,-0.895590947485179,-0.453009310973026,-0.25280070275515,0.413897401553104,0.0947444678829977,-0.122174334570747,-0.271265677855277,-0.385488236451732,0.150583499672118,-0.0194780907134572,-0.446551904072542,0.0635508069609043
"FBgn0000014",-0.281311817361199,0.133542093577188,-0.141754386167235,-0.0893898589429574,0.0965364411638104,-0.0430209900301535,0.319468393683955,-0.451415216736556,-0.1998147489237,0.3671536596341,0.0391912129245378,0.497004370891302,-0.321564505479354,0.257998409043064,0.621225545518497,1.02169347524599
"FBgn0000015",-0.459569873996582,0.0586730287554699,0.394336114771285,0.0900103628671192,0.785866539343158,-0.0680394494247081,0.754529205231509,-0.397527338129675,-0.0925007086094571,0.051315008277643,-0.358785027484936,0.472442938958194,0.0236005925508758,0.738727257833672,0.584522855247197,0.271099254862232
"FBgn0000017",0.0326249659216716,0.0565972451983221,-0.451694427226116,-0.452697589853304,-0.529683738851379,-0.0453643457035916,-0.0203889037997522,0.478383348816432,0.0444567686223147,0.119561733233331,-0.0739118408883609,-0.119592299627063,0.239229315956039,-0.00122369011638685,0.124499649584261,0.534591088808578
"FBgn0000018",-0.626706993465069,-0.0664787225132762,-0.297349158225551,-0.111608113081867,-0.167148360140905,-0.496506195380423,-0.122018969572315,0.0914540539138854,0.240258508848278,-0.304035198383646,0.157883497782849,-0.42694923136521,-0.0314599790676781,-0.344574220299781,-0.185197139134946,-0.444998010359251
"FBgn0000022",-0.067855140636394,0.0967743925600974,-0.691887817569405,-0.135974814185637,-0.489866307421374,0.134166369511637,-0.25711710067564,0.561973204416329,0.440480375940559,-0.51112878539787,-0.50853594320229,-0.815860805568782,0.257241184245417,0.133155513574067,0.773013390336374,0.447018892188966
"FBgn0000024",-0.0647782234648222,0.0901268195456867,-0.737821088563615,-0.732391793511248,-0.391705434113575,0.281337430985218,0.43081317894336,0.396456533531065,0.121854968548386,0.33775939330589,-0.011447764347304,0.427374089576783,0.486071229801958,0.560676822472473,0.471375406426917,1.29045493011727
"FBgn0000028",-0.15856277471326,0.100043891214332,-0.0354330432790476,-0.311807554207379,0.189300628313431,0.0661708968792179,0.601152073735142,-0.26496930212404,0.205847765207265,0.222040523750293,0.0550200997421141,0.459233093568036,-0.027776732306297,0.610060759033187,-1.38447062321911,-1.11453815796451
"FBgn0000032",-0.116655721664031,0.0485919036220352,-0.142819564210651,-0.0783617065430935,-0.160112555340804,-0.133948712794184,-0.0331589451756754,-0.00738819561684389,-0.0733246278645272,0.203200061610359,0.138801766180399,-0.0263530014852332,-0.236941258712436,-0.238479395530159,-0.0440856314491594,0.0896739224064116
