"","GRF.CxDf","GRF.CxOE","WTF.CxDf","WTF.CxOE","GRxWT.FC","GRxWT.FDf","GRxWT.FOE","GRM.CxDf","GRM.CxOE","WTM.CxDf","WTM.CxOE","GRxWT.MC","GRxWT.MDf","GRxWT.MOE","GR.FxM","WT.FxM"
"FBgn0000003",0.154168921968492,0.668844566425216,0.710123848369326,0.819368118469657,0.742900501765696,0.640239107916304,0.373419391227989,0.139952353163368,0.860476378287518,0.687656914023925,0.998016147758084,0.930504658748799,0.056925777809342,0.271982783842671,0.05,0.05
"FBgn0000008",0.90632616340406,0.636631272253899,0.433567780163217,0.631358103036451,0.0330978123065238,0.322425161338456,0.50013404072477,0.146741375121456,0.999434219973619,0.812508947202472,0.644528691497436,0.244486822453823,0.695771091384526,0.962389704294397,0.136037425367291,0.837483053531382
"FBgn0000014",0.418245091042647,0.868152141519872,0.720808701485349,0.874587286118235,0.800920834209252,0.94712530709541,0.231080744598191,0.0440358081310895,0.928984289842186,0.279316156738925,0.957289115933489,0.0523996856546552,0.232065507306894,0.300123000214186,0.00635541164286149,4.05298727225792e-05
"FBgn0000015",0.285661871276322,0.975708257110159,0.393169420907651,0.915352334902087,0.0609916446034068,0.929203667102177,0.0251831095611315,0.173146092594633,0.999434219973619,0.934813660806346,0.517423699675389,0.159842248997573,0.963876611692135,0.0243910843792234,0.0451512078736227,0.357919053550451
"FBgn0000017",0.928495001335179,0.942243583754131,0.0566745668638164,0.0784240815953288,0.0159403622346029,0.906466703274988,0.947248172085156,0.00333790576566645,0.999434219973619,0.622381710667605,0.847280352367641,0.513742181140085,0.180525504353838,0.997012320970229,0.429215346079363,0.000729666188144873
"FBgn0000018",0.0195905629423064,0.94782884477763,0.320224688623802,0.787080437047496,0.572415128976376,0.0818566229492063,0.651409929153115,0.653383702191759,0.763760756405081,0.274799416404107,0.690109378956227,0.0440811183819545,0.91816035755232,0.0868969433888141,0.35071371838986,0.0189401425445735
"FBgn0000022",0.939926792220761,0.964330024142713,0.195733877775244,0.87433372852248,0.336564111686601,0.872213611446753,0.579001561827989,0.117259641786999,0.80297039911484,0.331139813717709,0.407444825583042,0.0463982850122394,0.574918719529987,0.767320423347921,0.05,0.05
"FBgn0000024",0.931388201674123,0.961999750612966,0.119519823116169,0.18409870970224,0.394919283867137,0.613781666979233,0.247246419387822,0.198677119685778,0.999434219973619,0.480907143911562,0.992256575441984,0.236465680432521,0.18591026814116,0.101389851769011,0.128996927411937,0.000121513731573467
"FBgn0000028",0.755819475935434,0.943701593712071,0.968414944942414,0.559709034877092,0.671133260539626,0.928640689475087,0.064960494837994,0.29681368225297,0.954766895484464,0.580656241328642,0.946154823660656,0.110062519983754,0.949152696740503,0.0291810506133352,1.31894978997195e-05,0.000186917126216446
"FBgn0000032",0.552629192401747,0.93267498473386,0.466270467750166,0.762653251435346,0.367664831184617,0.50503871436333,0.867255291782807,0.959315014754605,0.981317319157124,0.260878734976311,0.53871680430095,0.875131524271895,0.0921360554395425,0.0680922043873179,0.745094914605414,0.459588075594873
"FBgn0000036",0.299527649241607,0.646930487879306,0.827216393154446,0.921277997460886,0.595004858618115,0.905833711425716,0.0413143805610026,0.919498016223654,0.98847232088096,0.966501231020369,0.992256575441984,0.013528448602444,0.0255647317326492,0.00300650762343649,0.863665451433233,0.0619285446812526
"FBgn0000037",0.72858362318338,1,0.762416764114375,0.931040962652085,0.518643764908245,0.611525404939965,0.326757025410034,0.645581184544172,0.999434219973619,0.914419758412276,0.904963210916797,0.824023689285627,0.408581548426825,0.828087325937882,0.903199480274238,0.602205336842634
"FBgn0000038",0.90408311733683,0.630471775293657,0.686127820985464,1,0.589489049141401,0.858817141235704,0.758015435584028,0.252019780786273,0.999434219973619,0.346863846374663,0.28945500140387,0.411567569416252,0.586971354328958,0.656093167516639,0.196145229961473,0.647985075738306
"FBgn0000039",0.754846397521256,0.989212242278059,0.338781590199194,0.534589878129577,0.729693897878939,0.883311769574553,0.744217284467591,0.063745264946695,1,0.466884634489865,0.707276770770934,0.255921134342848,0.0796421733399521,0.702592534147327,0.391323301319644,0.00583509457203936
"FBgn0000042",0.995685200083767,0.821976954277153,0.0499537342284804,0.247899423638355,0.0256326643757588,0.955716272174857,0.112619667644571,0.00706142557025861,0.999434219973619,0.722635081852219,0.244239260858861,0.0243900977882783,0.516670111345732,0.365930481991519,0.000168822793367086,2.73270915175131e-05
"FBgn0000043",0.0924851325168764,0.3836287690246,0.422868649682246,0.928347319918576,0.143953140180347,0.0249137633112806,0.00206009261521599,0.43301634074292,0.966903610693757,0.437796220356006,0.615685434441002,0.0070366537372658,0.0197228974476261,0.00936973378935222,0.02985304127838,0.27680759215667
"FBgn0000044",0.228754895834185,0.901150476665028,0.0480536688280554,0.373689090147695,0.332658866923984,0.997773367178191,0.883541553287767,0.0352658727100181,0.999434219973619,0.539601194260976,0.946431285353493,0.181618888233674,0.797283379479108,0.173594288158124,0.280653064612048,0.0670274871048641
"FBgn0000045",0.648838111053325,1,1,0.978899568651557,0.00665967636229373,0.00152416236436907,0.00147952509381567,0.538807306735894,0.540326505290206,0.709655344472332,0.849635183656662,0.0418666270561564,0.00359834777201128,0.00313588764654408,0.05,0.05
"FBgn0000046",0.564006877324762,0.902267176191647,0.236916128717049,0.324284648857563,0.251075634830366,0.671347331092682,0.84624356147742,0.820688454521121,0.95446089147358,0.904971289087643,0.584216718179712,0.744805771056012,0.748419397518109,0.179509610436325,0.837083237516089,0.327428218818457
"FBgn0000047",0.351491899159228,0.49121906764871,0.8261098346914,0.832012832987262,0.666198258318202,0.865575520475932,0.227357878174029,0.0345246120082886,0.999434219973619,0.548521654448353,0.681153759163999,0.274495277601471,0.120940276826487,0.880087023940531,0.05,0.05
"FBgn0000052",0.641267019044312,0.954349835835539,0.405400095689267,0.666584191549134,0.074532886855521,0.0269316074729167,0.252059832944121,0.547336825500884,0.761918190931356,0.260878734976311,0.982600016468064,0.942058564469493,0.0385341030131898,0.177657324935889,0.191870090201876,0.000393971675399242
"FBgn0000053",0.98087783974147,0.968369338252625,1,0.72164766057296,0.443373460241118,0.529496811519006,0.636562931418432,0.928937618771471,0.85204866061355,0.581104716111267,0.936648718005724,0.912882071346419,0.645536863884475,0.562441689599114,0.674687643421576,0.0701149706933184
"FBgn0000055",0.244590128821331,0.908178040585781,0.655884471326258,0.880441668519309,0.215931700087965,0.719133729620557,0.480544240549212,0.0453594043632668,0.765068970446856,0.527093925045419,0.705552905037076,0.135897104539261,0.288140660339736,0.742358240003637,0.05,0.05
"FBgn0000057",0.918945618179504,0.892739798335178,0.468606985081008,0.676524659177875,0.822344163088222,0.235365083943743,0.609268595882797,0.335401872348045,0.771054862372156,0.978052904601092,0.58101902147595,0.923642299584929,0.473901348236412,0.804177677848926,0.00142382376973595,0.00542417600530093
"FBgn0000061",0.783491749102825,0.500608450771587,0.416837268724099,0.595392249205868,0.16845220627946,0.474802332724786,0.667068885738789,0.086406118438731,0.999434219973619,0.262798414793215,0.0185244387536487,0.262952285447631,0.0734305748249241,0.0524071594024809,0.0885535463577834,0.016521528308434
"FBgn0000063",0.463922651100283,0.552112063132277,0.376051174140682,0.613655316239314,0.473652342480089,0.639868783587603,0.657790427999417,0.224113309052254,0.733166934949762,0.0648734145129682,0.866545493809262,0.401601217400015,0.788249020515449,0.0838743618740671,8.12356317617891e-06,8.68337498650938e-06
"FBgn0000064",0.580948960537667,0.859834988049898,0.0256440139401466,0.261134125329808,0.127780442646428,0.773952498267269,0.608892148723566,0.214461827829836,0.965974884523757,0.337999885269655,0.915059850765316,0.317208869072625,0.251651552473462,0.552945605699491,0.0746305532255886,0.120160535486215
"FBgn0000071",0.764093189640831,0.827557606070978,0.793580893509814,0.485403869165387,0.358470056106959,0.900764459211484,0.649067189078747,0.859253046276547,0.911861947342015,0.743248366099565,0.303150233517233,0.743940918506109,0.819662625380018,0.810512624653672,0.332874942956646,0.0514995999092619
"FBgn0000075",0.786128230356692,0.973355897525948,0.622030241667394,0.839633182863313,0.909379357233725,0.984265496836518,0.754382531965266,0.558852106959309,0.999434219973619,0.968944965980525,0.910248403626721,0.44748735636515,0.79057746116115,0.733764830407939,0.10733539865805,0.635673420866436
"FBgn0000077",0.532469246016817,0.699327710230788,0.654523055621247,0.698398005494795,0.55458643581829,0.725654338872203,0.471825400692929,0.094744597232952,0.999434219973619,0.62152349508652,0.912489593169599,0.859432064248503,0.636205739122092,0.872462309085093,0.00109239252149201,0.021229288890474
"FBgn0000078",0.966667287775364,0.880702881347893,0.994307439306051,1,0.022059997227392,0.0345394262820689,0.0139634232329743,0.0372009189166299,0.986791696953155,0.0681982092994133,0.0589728535656047,0.000286623754171596,0.838850627967919,0.12876291486605,0.74482337909066,0.245449822317457
