,Genotype,TKT,Sex,Replicate,Group,SampleID
GR.F1,GR,Control,F,1,GR.F,GR.F1
GR.F2,GR,Control,F,2,GR.F,GR.F2
GR.F3,GR,Control,F,3,GR.F,GR.F3
GR.M1,GR,Control,M,1,GR.M,GR.M1
GR.M2,GR,Control,M,2,GR.M,GR.M2
GR.M3,GR,Control,M,3,GR.M,GR.M3
TktDfGR.F1,GR,DF,F,1,TktDfGR.F,TktDfGR.F1
TktDfGR.F2,GR,DF,F,2,TktDfGR.F,TktDfGR.F2
TktDfGR.F3,GR,DF,F,3,TktDfGR.F,TktDfGR.F3
TktDfGR.M1,GR,DF,M,1,TktDfGR.M,TktDfGR.M1
TktDfGR.M2,GR,DF,M,2,TktDfGR.M,TktDfGR.M2
TktDfGR.M3,GR,DF,M,3,TktDfGR.M,TktDfGR.M3
TktDfWT.F1,WT,DF,F,1,TktDfWT.F,TktDfWT.F1
TktDfWT.F2,WT,DF,F,2,TktDfWT.F,TktDfWT.F2
TktDfWT.F3,WT,DF,F,3,TktDfWT.F,TktDfWT.F3
TktDfWT.M1,WT,DF,M,1,TktDfWT.M,TktDfWT.M1
TktDfWT.M2,WT,DF,M,2,TktDfWT.M,TktDfWT.M2
TktDfWT.M3,WT,DF,M,3,TktDfWT.M,TktDfWT.M3
TktOEGR.F1,GR,OE,F,1,TktOEGR.F,TktOEGR.F1
TktOEGR.F2,GR,OE,F,2,TktOEGR.F,TktOEGR.F2
TktOEGR.F3,GR,OE,F,3,TktOEGR.F,TktOEGR.F3
TktOEGR.M1,GR,OE,M,1,TktOEGR.M,TktOEGR.M1
TktOEGR.M2,GR,OE,M,2,TktOEGR.M,TktOEGR.M2
TktOEGR.M3,GR,OE,M,3,TktOEGR.M,TktOEGR.M3
TktOEWT.F1,WT,OE,F,1,TktOEWT.F,TktOEWT.F1
TktOEWT.F2,WT,OE,F,2,TktOEWT.F,TktOEWT.F2
TktOEWT.F3,WT,OE,F,3,TktOEWT.F,TktOEWT.F3
TktOEWT.M1,WT,OE,M,1,TktOEWT.M,TktOEWT.M1
TktOEWT.M2,WT,OE,M,2,TktOEWT.M,TktOEWT.M2
TktOEWT.M3,WT,OE,M,3,TktOEWT.M,TktOEWT.M3
WT.F1,WT,Control,F,1,WT.F,WT.F1
WT.F2,WT,Control,F,2,WT.F,WT.F2
WT.F3,WT,Control,F,3,WT.F,WT.F3
WT.M1,WT,Control,M,1,WT.M,WT.M1
WT.M2,WT,Control,M,2,WT.M,WT.M2
WT.M3,WT,Control,M,3,WT.M,WT.M3
