"","GR.F","GR.M","TktDfGR.F","TktDfGR.M","TktDfWT.F","TktDfWT.M","TktOEGR.F","TktOEGR.M","TktOEWT.F","TktOEWT.M","WT.F","WT.M"
"FBgn0000003",0.956033230364919,0.609790720146799,0.309729641298991,0.255176799426795,0.512722080254433,0.902173063512814,0.532114170291009,0.330333512751899,0.940667789234073,0.652404124463662,0.730251302688983,0.649006362866711
"FBgn0000008",15.7725355350498,21.5060291472732,16.6397342910032,28.6233234796898,22.8213062109696,25.7920850052041,20.3944131617721,22.9562912956686,24.2981902404563,23.2623552862604,29.3527412985734,28.0934463591662
"FBgn0000014",216.743847956976,140.91382639426,178.336921819549,103.075264290134,183.742249271261,128.750737388736,237.747476593471,122.679977997298,190.523159445429,102.586376335525,202.715828635441,99.8403489756727
"FBgn0000015",154.99552226892,103.350548370645,112.683351144752,78.5212417487173,118.153682015713,77.1752040402515,161.397556539421,96.9370252128144,95.7238868735712,58.0859886012022,89.891747979704,74.4883057505773
"FBgn0000017",77.1039551885376,70.7294528071222,78.8695617474176,98.5236712159533,81.3863564506022,83.4634086411202,80.1901150938053,72.949182936916,81.296326163395,72.9993650362083,111.313500986124,76.8445858561937
"FBgn0000018",7.76819391802968,8.83047777549231,5.02581502344429,9.3984207480008,7.0960325242959,9.61829934639936,7.42179718471098,10.4294300009884,8.07158206275011,13.2499495563583,8.72051188500367,11.8742056112451
"FBgn0000022",3.23177924775396,1.89504247398424,3.07384948168466,2.79033045894036,2.80930198124493,2.3225639955941,3.44596869465061,2.56832079603093,4.13333487149215,2.34052674901669,4.54258745899812,3.33265731764927
"FBgn0000024",30.9950789218412,22.3674585621765,29.6238312739196,29.4008555265611,24.3808113720417,20.9926304351099,32.9803905628616,24.3358879725746,24.4317755240022,16.4860194891621,40.6703057763104,16.6244028056329
"FBgn0000028",4.48242383032736,11.717524488988,4.01059115256258,9.75497647605478,3.8347461417538,9.94342626908325,4.78317023494082,13.5071416640174,3.16031107889908,8.8543862136091,3.92972693547259,8.52076722199467
"FBgn0000032",28.4274052402055,29.3114806084439,26.208701532862,29.1571289704155,28.7687406961301,34.372685638276,29.397551146209,27.857296719259,30.0931878478332,32.8630104377771,31.7653234511132,29.8488075618733
"FBgn0000036",17.0218382736424,17.6392459744496,12.8344423356961,17.2861956522486,13.589567902246,10.6681095288399,21.1586719222046,19.5191203771686,13.9226221688188,10.4134589831757,14.6612056129825,10.4886513628492
"FBgn0000037",5.32747461212126,5.15134597826668,4.5843809810625,5.76706954660854,3.66891442250949,4.5542962076805,5.27532962642526,4.87074834000219,3.95723881266936,5.19606735369506,4.20819735750029,4.79007029661435
"FBgn0000038",4.9200916860339,6.67839680568361,4.61375262638025,8.6159854714111,5.07462775656369,7.38474386689992,6.61649707946995,7.01450571713686,5.9629898875638,7.89448534214106,5.97466760628907,5.36216554189419
"FBgn0000039",4.66560545263786,3.76291629565047,4.06541075437583,5.82218438031059,3.73248501728471,3.57231363333011,4.53160753649971,3.75622210295839,4.04881732118106,3.34525589503022,5.34263699171519,2.72736961947879
"FBgn0000042",2908.42767352986,2005.69669531248,2897.32550905009,2591.55324364811,2940.49555344253,2403.11693627402,2728.85483167539,1954.35530276453,3223.27485377686,2143.20889170955,3899.72674120274,2539.2229917021
"FBgn0000043",649.518741319652,543.123687039591,535.881801654,508.12056744182,693.12846022128,639.188987512082,559.810469661727,509.644232254301,753.242648069278,648.727000610221,769.846913097097,704.331275228737
