"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005929","GO:0005929",5.16961553190461e-16,1,159,177,"cilium","CC",6.20147079207277e-12
"GO:0044782","GO:0044782",9.29882139786236e-15,1,135,148,"cilium organization","BP",5.57743307443784e-11
"GO:0060271","GO:0060271",4.89477616103694e-13,1,121,133,"cilium assembly","BP",1.9572578275933e-09
"GO:0022626","GO:0022626",2.79975642273635e-12,1,94,97,"cytosolic ribosome","CC",8.3964695117863e-09
"GO:0015630","GO:0015630",6.8842495175288e-11,1,279,355,"microtubule cytoskeleton","CC",1.65166914424551e-07
"GO:0003341","GO:0003341",3.98177583316036e-10,0.99999999995898,73,78,"cilium movement","BP",7.96089714909861e-07
"GO:0007018","GO:0007018",1.3964370512578e-09,0.999999999534449,156,189,"microtubule-based movement","BP",2.39309412384122e-06
"GO:0030031","GO:0030031",9.3803334485128e-09,1,165,203,"cell projection assembly","BP",1.40658100060449e-05
"GO:0031514","GO:0031514",1.89894729911014e-08,0.999999999322515,44,45,"motile cilium","CC",2.53108575556948e-05
"GO:0120031","GO:0120031",2.49399412046962e-08,0.999999990680752,156,191,"plasma membrane bounded cell projection assembly","BP",2.99179534691535e-05
"GO:0036064","GO:0036064",5.04856167631446e-08,0.99999999809679,43,44,"ciliary basal body","CC",5.50568598809711e-05
"GO:0005856","GO:0005856",1.28951498997195e-07,1,385,528,"cytoskeleton","CC",0.000128908515164196
"GO:0051606","GO:0051606",2.13239760566594e-07,0.999999931653074,112,133,"detection of stimulus","BP",0.000196771089827451
"GO:0007017","GO:0007017",3.73585307884833e-07,1,344,470,"microtubule-based process","BP",0.000313856409831011
"GO:0035082","GO:0035082",4.04327028114876e-07,0.999999958393583,49,52,"axoneme assembly","BP",0.000313856409831011
"GO:0022625","GO:0022625",4.3173581248134e-07,0.999999966073074,53,55,"cytosolic large ribosomal subunit","CC",0.000313856409831011
"GO:0001539","GO:0001539",4.70941595278276e-07,0.999999930630302,55,60,"cilium or flagellum-dependent cell motility","BP",0.000313856409831011
"GO:0060285","GO:0060285",4.70941595278276e-07,0.999999930630302,55,60,"cilium-dependent cell motility","BP",0.000313856409831011
"GO:0002181","GO:0002181",6.95956040085492e-07,0.999999779355744,115,133,"cytoplasmic translation","BP",0.00041789108547564
"GO:0097014","GO:0097014",6.96717381586596e-07,0.999999896311443,52,57,"ciliary plasm","CC",0.00041789108547564
"GO:0060294","GO:0060294",9.466955578123e-07,0.999999876234172,49,53,"cilium movement involved in cell motility","BP",0.000530358862316187
"GO:0005930","GO:0005930",9.72648797178736e-07,0.999999853032339,51,56,"axoneme","CC",0.000530358862316187
"GO:0005815","GO:0005815",1.24180779061522e-06,0.999999469494225,147,185,"microtubule organizing center","CC",0.000647683750270444
"GO:0022627","GO:0022627",2.39828809005395e-06,0.999999882251279,42,43,"cytosolic small ribosomal subunit","CC",0.0011987443303453
"GO:0030286","GO:0030286",3.27593124248006e-06,0.999999624538618,43,46,"dynein complex","CC",0.00157192284739163
