"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0044782","GO:0044782",1,"GO:0044782",0.994,11.2075052974165,9,"cilium organization","cilium organization"
"GO:0060271","GO:0060271",1,"GO:0044782",0.977,10.2535656322636,124,"cilium assembly","cilium organization"
"GO:0003341","GO:0003341",2,"GO:0003341",0.998,8.70835196140093,38,"cilium movement","cilium movement"
"GO:0007018","GO:0007018",2,"GO:0003341",0.894,8.07590328463503,82,"microtubule-based movement","cilium movement"
"GO:0030031","GO:0030031",1,"GO:0044782",0.691,6.7820769444364,18,"cell projection assembly","cilium organization"
"GO:0120031","GO:0120031",1,"GO:0044782",0.692,6.09903798691714,0,"plasma membrane bounded cell projection assembly","cilium organization"
"GO:0051606","GO:0051606",3,"GO:0051606",0.991,5.62104021962268,0,"detection of stimulus","detection of stimulus"
"GO:0007017","GO:0007017",2,"GO:0003341",0.754,4.85183525311652,13,"microtubule-based process","cilium movement"
"GO:0035082","GO:0035082",1,"GO:0044782",0.878,4.59669314028636,17,"axoneme assembly","cilium organization"
"GO:0001539","GO:0001539",4,"GO:0001539",0.998,4.52406811760744,0,"cilium or flagellum-dependent cell motility","cilium or flagellum-dependent cell motility"
"GO:0060285","GO:0060285",4,"GO:0001539",0.998,4.25918856183582,9,"cilium-dependent cell motility","cilium or flagellum-dependent cell motility"
"GO:0002181","GO:0002181",5,"GO:0002181",0.995,3.88971839399896,199,"cytoplasmic translation","cytoplasmic translation"
"GO:0060294","GO:0060294",4,"GO:0001539",0.989,3.70603870900788,8,"cilium movement involved in cell motility","cilium or flagellum-dependent cell motility"
"GO:0030317","GO:0030317",4,"GO:0001539",0.978,3.50326899740737,29,"flagellated sperm motility","cilium or flagellum-dependent cell motility"
"GO:0007600","GO:0007600",6,"GO:0007600",0.987,3.50326899740737,0,"sensory perception","sensory perception"
"GO:0070925","GO:0070925",1,"GO:0044782",0.509,3.50326899740737,0,"organelle assembly","cilium organization"
"GO:0009593","GO:0009593",3,"GO:0051606",0.932,3.50326899740737,46,"detection of chemical stimulus","detection of stimulus"
"GO:0097722","GO:0097722",4,"GO:0001539",0.657,3.50326899740737,0,"sperm motility","cilium or flagellum-dependent cell motility"
"GO:0048515","GO:0048515",7,"GO:0048515",0.997,3.37893689320199,15,"spermatid differentiation","spermatid differentiation"
"GO:0007606","GO:0007606",6,"GO:0007600",0.957,3.37893689320199,99,"sensory perception of chemical stimulus","sensory perception"
