"","GO:0044782","GO:0060271","GO:0003341","GO:0007018","GO:0030031","GO:0120031","GO:0051606","GO:0007017","GO:0035082","GO:0001539","GO:0060285","GO:0002181","GO:0060294","GO:0030317","GO:0097722","GO:0009593","GO:0070925","GO:0007600","GO:0007606","GO:0048515"
"GO:0044782",0.994,0.977,0.028,0.031,0.691,0.692,0,0.036,0.878,0.027,0.027,0.03,0.027,0.027,0.027,0,0.509,0,0,0.029
"GO:0060271",0.977,0.995,0.028,0.031,0.959,0.964,0,0.035,0.895,0.027,0.027,0.03,0.027,0.026,0.026,0,0.895,0,0,0.029
"GO:0003341",0.028,0.028,0.998,0.894,0.029,0.029,0,0.754,0.598,0.025,0.025,0.028,0.958,0.947,0.025,0,0.03,0,0,0.027
"GO:0007018",0.031,0.031,0.894,0.993,0.032,0.032,0,0.848,0.656,0.028,0.028,0.031,0.855,0.844,0.027,0,0.034,0,0,0.029
"GO:0030031",0.691,0.959,0.029,0.032,0.992,0.987,0,0.036,0.86,0.028,0.028,0.031,0.027,0.027,0.027,0,0.658,0,0,0.03
"GO:0120031",0.692,0.964,0.029,0.032,0.987,0.993,0,0.036,0.865,0.028,0.028,0.031,0.027,0.027,0.027,0,0.654,0,0,0.03
"GO:0051606",0,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0.932,0,0,0,0
"GO:0007017",0.036,0.035,0.754,0.848,0.036,0.036,0,0.978,0.73,0.031,0.031,0.035,0.717,0.707,0.03,0,0.039,0,0,0.033
"GO:0035082",0.878,0.895,0.598,0.656,0.86,0.865,0,0.73,0.998,0.025,0.025,0.027,0.575,0.568,0.024,0,0.798,0,0,0.026
"GO:0001539",0.027,0.027,0.025,0.028,0.028,0.028,0,0.031,0.025,0.998,0.998,0.027,0.989,0.978,0.657,0,0.029,0,0,0.026
"GO:0060285",0.027,0.027,0.025,0.028,0.028,0.028,0,0.031,0.025,0.998,0.998,0.027,0.989,0.978,0.657,0,0.029,0,0,0.026
"GO:0002181",0.03,0.03,0.028,0.031,0.031,0.031,0,0.035,0.027,0.027,0.027,0.995,0.027,0.026,0.026,0,0.033,0,0,0.029
"GO:0060294",0.027,0.027,0.958,0.855,0.027,0.027,0,0.717,0.575,0.989,0.989,0.027,0.999,0.987,0.651,0,0.029,0,0,0.026
"GO:0030317",0.027,0.026,0.947,0.844,0.027,0.027,0,0.707,0.568,0.978,0.978,0.026,0.987,0.999,0.999,0,0.028,0,0,0.422
"GO:0097722",0.027,0.026,0.025,0.027,0.027,0.027,0,0.03,0.024,0.657,0.657,0.026,0.651,0.999,0.999,0,0.028,0,0,0.422
"GO:0009593",0,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0,0.995,0,0,0,0
"GO:0070925",0.509,0.895,0.03,0.034,0.658,0.654,0,0.039,0.798,0.029,0.029,0.033,0.029,0.028,0.028,0,0.987,0,0,0.031
"GO:0007600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987,0.957,0.203
"GO:0007606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957,0.99,0.198
"GO:0048515",0.029,0.029,0.027,0.029,0.03,0.03,0,0.033,0.026,0.026,0.026,0.029,0.026,0.422,0.422,0,0.031,0.203,0.198,0.997
