"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0005929","GO:0005929",1,"GO:0005929",0.989,11.2075052974165,66,"cilium","cilium"
"GO:0022626","GO:0022626",2,"GO:0022626",0.986,10.2535656322636,221,"cytosolic ribosome","cytosolic ribosome"
"GO:0015630","GO:0015630",3,"GO:0015630",0.97,8.70835196140093,24,"microtubule cytoskeleton","microtubule cytoskeleton"
"GO:0031514","GO:0031514",1,"GO:0005929",0.818,8.07590328463503,19,"motile cilium","cilium"
"GO:0036064","GO:0036064",1,"GO:0005929",0.816,6.7820769444364,48,"ciliary basal body","cilium"
"GO:0005856","GO:0005856",3,"GO:0015630",0.912,6.09903798691714,51,"cytoskeleton","microtubule cytoskeleton"
"GO:0022625","GO:0022625",2,"GO:0022626",0.851,5.62104021962268,108,"cytosolic large ribosomal subunit","cytosolic ribosome"
"GO:0097014","GO:0097014",1,"GO:0005929",0.86,4.85183525311652,1,"ciliary plasm","cilium"
"GO:0005930","GO:0005930",1,"GO:0005929",0.859,4.59669314028636,46,"axoneme","cilium"
"GO:0005815","GO:0005815",3,"GO:0015630",0.854,4.52406811760744,22,"microtubule organizing center","microtubule cytoskeleton"
"GO:0022627","GO:0022627",2,"GO:0022626",0.832,4.25918856183582,86,"cytosolic small ribosomal subunit","cytosolic ribosome"
"GO:0030286","GO:0030286",3,"GO:0015630",0.73,3.88971839399896,22,"dynein complex","microtubule cytoskeleton"
"GO:0036126","GO:0036126",1,"GO:0005929",0.783,3.70603870900788,30,"sperm flagellum","cilium"
"GO:0097729","GO:0097729",1,"GO:0005929",0.783,3.50326899740737,0,"9+2 motile cilium","cilium"
"GO:0032838","GO:0032838",1,"GO:0005929",0.613,3.50326899740737,2,"plasma membrane bounded cell projection cytoplasm","cilium"
"GO:0042600","GO:0042600",4,"GO:0042600",0.999,3.50326899740737,43,"egg chorion","egg chorion"
