"","GO:0005929","GO:0022626","GO:0015630","GO:0031514","GO:0036064","GO:0005856","GO:0022625","GO:0097014","GO:0005930","GO:0005815","GO:0022627","GO:0030286","GO:0036126","GO:0097729","GO:0032838","GO:0042600"
"GO:0005929",0.989,0.096,0.105,0.818,0.816,0.109,0.083,0.86,0.859,0.093,0.081,0.081,0.783,0.783,0.613,0.003
"GO:0022626",0.096,0.986,0.444,0.079,0.324,0.464,0.851,0.159,0.341,0.395,0.832,0.342,0.075,0.075,0.163,0.003
"GO:0015630",0.105,0.444,0.97,0.085,0.689,0.912,0.378,0.09,0.652,0.854,0.369,0.73,0.081,0.081,0.046,0.003
"GO:0031514",0.818,0.079,0.085,0.998,0.696,0.088,0.07,0.727,0.727,0.077,0.069,0.069,0.962,0.962,0.517,0.003
"GO:0036064",0.816,0.324,0.689,0.696,0.998,0.638,0.288,0.726,0.725,0.814,0.282,0.558,0.671,0.671,0.516,0.003
"GO:0005856",0.109,0.464,0.912,0.088,0.638,0.959,0.393,0.093,0.676,0.797,0.383,0.678,0.084,0.084,0.048,0.003
"GO:0022625",0.083,0.851,0.378,0.07,0.288,0.393,0.996,0.14,0.301,0.342,0.74,0.302,0.067,0.067,0.143,0.003
"GO:0097014",0.86,0.159,0.09,0.727,0.726,0.093,0.14,0.997,0.996,0.081,0.138,0.072,0.7,0.7,0.977,0.003
"GO:0005930",0.859,0.341,0.652,0.727,0.725,0.676,0.301,0.996,0.997,0.592,0.295,0.523,0.699,0.699,0.976,0.003
"GO:0005815",0.093,0.395,0.854,0.077,0.814,0.797,0.342,0.081,0.592,0.989,0.335,0.662,0.074,0.074,0.042,0.003
"GO:0022627",0.081,0.832,0.369,0.069,0.282,0.383,0.74,0.138,0.295,0.335,0.997,0.296,0.066,0.066,0.14,0.003
"GO:0030286",0.081,0.342,0.73,0.069,0.558,0.678,0.302,0.072,0.523,0.662,0.296,0.997,0.066,0.066,0.037,0.003
"GO:0036126",0.783,0.075,0.081,0.962,0.671,0.084,0.067,0.7,0.699,0.074,0.066,0.066,0.999,0.999,0.497,0.003
"GO:0097729",0.783,0.075,0.081,0.962,0.671,0.084,0.067,0.7,0.699,0.074,0.066,0.066,0.999,0.999,0.497,0.003
"GO:0032838",0.613,0.163,0.046,0.517,0.516,0.048,0.143,0.977,0.976,0.042,0.14,0.037,0.497,0.497,0.996,0.003
"GO:0042600",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.999
