"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04145","path:dme04145",6.23721068145153e-07,0.999999860466845,69,79,8.79446706084666e-05,"Phagosome"
"dme04814","path:dme04814",1.04657188171288e-05,0.999996160305318,88,111,0.000737833176607578,"Motor proteins"
"dme03010","path:dme03010",0.000714821742853679,0.999645735128086,113,143,0.0335966219141229,"Ribosome"
"dme04213","path:dme04213",0.00165327184989602,0.999402022133089,45,57,0.0582778327088346,"Longevity regulating pathway"
"dme04141","path:dme04141",0.00316662629703622,0.998252312631507,102,138,0.0892988615764213,"Protein processing in endoplasmic reticulum"
"dme03050","path:dme03050",0.00409362646076976,0.998497052174562,44,54,0.0962002218280893,"Proteasome"
"dme04080","path:dme04080",0.00553588492624634,0.997521177974847,56,72,0.111508539228676,"Neuroactive ligand-receptor interaction"
"dme04146","path:dme04146",0.00849099852766255,0.995659016402972,68,90,0.141554084797733,"Peroxisome"
"dme00620","path:dme00620",0.00940961180980874,0.996302975487514,40,50,0.141554084797733,"Pyruvate metabolism"
"dme00630","path:dme00630",0.0116126943328679,0.996290980012994,28,34,0.141554084797733,"Glyoxylate and dicarboxylate metabolism"
"dme04745","path:dme04745",0.0119201164173787,0.996228426822712,26,32,0.141554084797733,"Phototransduction"
"dme00561","path:dme00561",0.0120471561529985,0.995176431046457,38,48,0.141554084797733,"Glycerolipid metabolism"
"dme00982","path:dme00982",0.0174044036346694,0.99179020043428,49,63,0.188770839422183,"Drug metabolism"
"dme00052","path:dme00052",0.0260199225284092,0.989644757590212,31,39,0.239759709704138,"Galactose metabolism"
"dme00040","path:dme00040",0.026367334976364,0.988153606643894,38,49,0.239759709704138,"Pentose and glucuronate interconversions"
"dme00983","path:dme00983",0.0272067755692639,0.984452824512898,68,92,0.239759709704138,"Drug metabolism"
"dme04144","path:dme04144",0.035371015040677,0.976811190328712,93,136,0.288697741166717,"Endocytosis"
"dme01232","path:dme01232",0.0368726274963671,0.981058084416979,45,60,0.288697741166717,"Nucleotide metabolism"
"dme00010","path:dme00010",0.0389025324976428,0.980354259492899,42,56,0.288697741166717,"Glycolysis / Gluconeogenesis"
"dme00980","path:dme00980",0.0433575068745486,0.976802877287504,49,65,0.305670423465568,"Metabolism of xenobiotics by cytochrome P450"
"dme00230","path:dme00230",0.0471451970201998,0.97108532371603,65,93,0.316546322849913,"Purine metabolism"
"dme00020","path:dme00020",0.0513053311561772,0.976054700898562,32,42,0.328820531500954,"Citrate cycle (TCA cycle)"
"dme00790","path:dme00790",0.0621019391696873,0.970338173654284,31,41,0.3807118879533,"Folate biosynthesis"
"dme00330","path:dme00330",0.0709497740790269,0.964388331913305,33,44,0.416829922714283,"Arginine and proline metabolism"
"dme00480","path:dme00480",0.0743688666954085,0.954660945164424,56,78,0.419440408162104,"Glutathione metabolism"
"dme04142","path:dme04142",0.0806258344813562,0.94533325370586,81,117,0.437240102379663,"Lysosome"
"dme02010","path:dme02010",0.102237155597702,0.944945044108498,28,41,0.517453238597921,"ABC transporters"
"dme00051","path:dme00051",0.102756671494623,0.95103515811287,25,33,0.517453238597921,"Fructose and mannose metabolism"
"dme00830","path:dme00830",0.121395193535204,0.943281082989131,22,29,0.586008536529366,"Retinol metabolism"
"dme00071","path:dme00071",0.129094304991465,0.934042838888525,25,34,0.586008536529366,"Fatty acid degradation"
"dme00340","path:dme00340",0.129902067199258,0.977976160105467,7,8,0.586008536529366,"Histidine metabolism"
"dme00532","path:dme00532",0.133533624469356,0.977122740970588,7,8,0.586008536529366,"Glycosaminoglycan biosynthesis"
"dme01200","path:dme01200",0.137150934081341,0.901207226546727,83,122,0.586008536529366,"Carbon metabolism"
"dme04137","path:dme04137",0.145408412247056,0.917500893098463,31,43,0.603017239024556,"Mitophagy"
"dme04136","path:dme04136",0.166206562399728,0.918641910912264,19,26,0.66957500852462,"Autophagy"
"dme01100","path:dme01100",0.186085564978453,0.833935752972496,719,1125,0.71861906676596,"Metabolic pathways"
"dme04512","path:dme04512",0.190781052949591,0.935075591670923,8,11,0.71861906676596,"ECM-receptor interaction"
"dme00500","path:dme00500",0.193670386787989,0.890679724402397,25,35,0.71861906676596,"Starch and sucrose metabolism"
"dme00053","path:dme00053",0.21510700231153,0.879538427988686,23,32,0.777694546818609,"Ascorbate and aldarate metabolism"
"dme00920","path:dme00920",0.222593085629084,0.931577141139422,8,10,0.784640626842519,"Sulfur metabolism"
"dme00910","path:dme00910",0.234241195513136,0.898963835694272,12,16,0.803611184487506,"Nitrogen metabolism"
"dme03250","path:dme03250",0.239373544315427,0.857598394465114,23,34,0.803611184487506,"Viral life cycle"
"dme00860","path:dme00860",0.287864769943378,0.813265522036543,29,42,0.943928664232936,"Porphyrin metabolism"
