"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0000502","GO:0000502",6.12483237528163e-11,1,14,54,"proteasome complex","CC",7.34734891738784e-07
"GO:1905369","GO:1905369",2.39068218753011e-10,0.999999999982903,14,59,"endopeptidase complex","CC",1.43393117608056e-06
"GO:1905368","GO:1905368",7.03245037480847e-09,0.999999999195642,15,88,"peptidase complex","CC",2.81204248987341e-05
"GO:0005838","GO:0005838",1.08756620717584e-08,0.999999999521238,9,26,"proteasome regulatory particle","CC",3.26161105532034e-05
"GO:0022624","GO:0022624",1.59598906751792e-08,0.999999999256232,9,27,"proteasome accessory complex","CC",3.82909697078898e-05
"GO:1901565","GO:1901565",1.70991788963873e-07,0.999999945029594,36,542,"organonitrogen compound catabolic process","BP",0.000257997176944966
"GO:0006511","GO:0006511",1.72618012634423e-07,0.999999953561307,27,337,"ubiquitin-dependent protein catabolic process","BP",0.000257997176944966
"GO:0030163","GO:0030163",1.86782523468304e-07,0.999999946842605,29,382,"protein catabolic process","BP",0.000257997176944966
"GO:0019941","GO:0019941",2.19715631688087e-07,0.999999940118431,27,341,"modification-dependent protein catabolic process","BP",0.000257997176944966
"GO:0016491","GO:0016491",2.19751804938965e-07,0.999999928611609,36,543,"oxidoreductase activity","MF",0.000257997176944966
"GO:0051603","GO:0051603",2.36576270956538e-07,0.999999933525629,28,364,"proteolysis involved in protein catabolic process","BP",0.000257997176944966
"GO:0043632","GO:0043632",3.50251051599212e-07,0.999999902101364,27,349,"modification-dependent macromolecule catabolic process","BP",0.000350134301248679
"GO:0044265","GO:0044265",6.30008623076767e-07,0.999999796772951,32,476,"cellular macromolecule catabolic process","BP",0.00058135257249453
"GO:0009057","GO:0009057",2.77363539494313e-06,0.999998999756937,34,560,"macromolecule catabolic process","BP",0.00227039846169184
"GO:0043161","GO:0043161",2.8389443919121e-06,0.999999253424545,21,255,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP",0.00227039846169184
"GO:1901575","GO:1901575",6.54681847515158e-06,0.999997225528264,45,878,"organic substance catabolic process","BP",0.0049084771517449
"GO:0010498","GO:0010498",7.443816792027e-06,0.999997907466331,21,271,"proteasomal protein catabolic process","BP",0.00525270742571505
"GO:0006508","GO:0006508",1.32213826440878e-05,0.999994278730531,43,843,"proteolysis","BP",0.00881131701102649
"GO:0044248","GO:0044248",1.59335257475698e-05,0.99999292320139,45,912,"cellular catabolic process","BP",0.0100599249930446
