"","go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:1901565","GO:1901565",1,"GO:1901565",0.982,6.13386933550637,1,"organonitrogen compound catabolic process","organonitrogen compound catabolic process"
"GO:0006511","GO:0006511",1,"GO:1901565",0.924,5.84347169285632,126,"ubiquitin-dependent protein catabolic process","organonitrogen compound catabolic process"
"GO:0030163","GO:0030163",1,"GO:1901565",0.947,4.5509781214267,10,"protein catabolic process","organonitrogen compound catabolic process"
"GO:0019941","GO:0019941",1,"GO:1901565",0.925,4.48656782950032,6,"modification-dependent protein catabolic process","organonitrogen compound catabolic process"
"GO:0051603","GO:0051603",1,"GO:1901565",0.938,4.41690363512912,13,"proteolysis involved in protein catabolic process","organonitrogen compound catabolic process"
"GO:0044265","GO:0044265",1,"GO:1901565",0.836,3.58838504614503,0,"cellular macromolecule catabolic process","organonitrogen compound catabolic process"
"GO:0043161","GO:0043161",1,"GO:1901565",0.888,3.58838504614503,154,"proteasome-mediated ubiquitin-dependent protein catabolic process","organonitrogen compound catabolic process"
"GO:0009057","GO:0009057",1,"GO:1901565",0.858,3.58838504614503,0,"macromolecule catabolic process","organonitrogen compound catabolic process"
"GO:0043632","GO:0043632",1,"GO:1901565",0.801,3.58838504614503,0,"modification-dependent macromolecule catabolic process","organonitrogen compound catabolic process"
"GO:0010498","GO:0010498",1,"GO:1901565",0.899,3.58838504614503,27,"proteasomal protein catabolic process","organonitrogen compound catabolic process"
"GO:1901575","GO:1901575",1,"GO:1901565",0.904,3.58838504614503,2,"organic substance catabolic process","organonitrogen compound catabolic process"
"GO:0006508","GO:0006508",2,"GO:0006508",0.967,3.45576534106785,579,"proteolysis","proteolysis"
"GO:0044248","GO:0044248",1,"GO:1901565",0.843,3.23556040143398,0,"cellular catabolic process","organonitrogen compound catabolic process"
"GO:0009056","GO:0009056",1,"GO:1901565",0.864,2.64389791614267,1,"catabolic process","organonitrogen compound catabolic process"
"GO:0043248","GO:0043248",3,"GO:0043248",1,2.64389791614267,11,"proteasome assembly","proteasome assembly"
