"","GO:1901565","GO:0006511","GO:0030163","GO:0019941","GO:0051603","GO:0043632","GO:0044265","GO:0009057","GO:0043161","GO:1901575","GO:0010498","GO:0006508","GO:0044248","GO:0043248","GO:0009056"
"GO:1901565",0.982,0.924,0.947,0.925,0.938,0.801,0.836,0.858,0.888,0.904,0.899,0.476,0.843,0,0.864
"GO:0006511",0.924,0.989,0.963,0.988,0.974,0.983,0.936,0.908,0.952,0.847,0.936,0.836,0.84,0.025,0.809
"GO:0030163",0.947,0.963,0.986,0.964,0.977,0.872,0.909,0.931,0.926,0.87,0.938,0.514,0.811,0,0.831
"GO:0019941",0.925,0.988,0.964,0.989,0.975,0.984,0.938,0.91,0.951,0.848,0.937,0.837,0.841,0.025,0.81
"GO:0051603",0.938,0.974,0.977,0.975,0.987,0.864,0.9,0.922,0.937,0.86,0.949,0.85,0.803,0,0.822
"GO:0043632",0.801,0.983,0.872,0.984,0.864,0.988,0.942,0.914,0.946,0.852,0.83,0.29,0.845,0.025,0.814
"GO:0044265",0.836,0.936,0.909,0.938,0.9,0.942,0.983,0.955,0.9,0.893,0.864,0.304,0.886,0.026,0.854
"GO:0009057",0.858,0.908,0.931,0.91,0.922,0.914,0.955,0.98,0.872,0.917,0.884,0.312,0.856,0,0.878
"GO:0043161",0.888,0.952,0.926,0.951,0.937,0.946,0.9,0.872,0.992,0.812,0.979,0.801,0.805,0.024,0.774
"GO:1901575",0.904,0.847,0.87,0.848,0.86,0.852,0.893,0.917,0.812,0.97,0.823,0.268,0.905,0,0.93
"GO:0010498",0.899,0.936,0.938,0.937,0.949,0.83,0.864,0.884,0.979,0.823,0.991,0.812,0.768,0,0.785
"GO:0006508",0.476,0.836,0.514,0.837,0.85,0.29,0.304,0.312,0.801,0.268,0.812,0.967,0.249,0,0.256
"GO:0044248",0.843,0.84,0.811,0.841,0.803,0.845,0.886,0.856,0.805,0.905,0.768,0.249,0.968,0.027,0.936
"GO:0043248",0,0.025,0,0.025,0,0.025,0.026,0,0.024,0,0,0,0.027,1,0
"GO:0009056",0.864,0.809,0.831,0.81,0.822,0.814,0.854,0.878,0.774,0.93,0.785,0.256,0.936,0,0.962
