"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005920","GO:0005920",2.69426283348051e-07,0.999999998328909,4,8,"smooth septate junction","CC",0.0018234087290298
"GO:0019991","GO:0019991",3.85593973522364e-07,0.999999987409662,6,36,"septate junction assembly","BP",0.0018234087290298
"GO:0090528","GO:0090528",7.37798703429818e-07,1,3,3,"smooth septate junction assembly","BP",0.0018234087290298
"GO:0120192","GO:0120192",7.60006972753334e-07,0.999999971750035,6,40,"tight junction assembly","BP",0.0018234087290298
"GO:0120193","GO:0120193",7.60006972753334e-07,0.999999971750035,6,40,"tight junction organization","BP",0.0018234087290298
"GO:0043297","GO:0043297",1.39735813835329e-06,0.99999994146512,6,46,"apical junction assembly","BP",0.00279378470461434
"GO:0005887","GO:0005887",3.51849938948639e-06,0.999999319727604,15,463,"integral component of plasma membrane","CC",0.00602970266803981
"GO:0005886","GO:0005886",4.12479680305189e-06,0.99999876577802,27,1346,"plasma membrane","CC",0.00618513280617631
"GO:0031226","GO:0031226",5.34198061558621e-06,0.999998929188092,15,479,"intrinsic component of plasma membrane","CC",0.0066687794630181
"GO:0005911","GO:0005911",5.55916927560695e-06,0.999999482782038,8,125,"cell-cell junction","CC",0.0066687794630181
"GO:0007043","GO:0007043",6.1280125726676e-06,0.999999660848118,6,59,"cell-cell junction assembly","BP",0.00668287625652005
"GO:0005918","GO:0005918",6.99110927194337e-06,0.999999741125527,5,35,"septate junction","CC",0.00698877890218606
"GO:0071944","GO:0071944",8.83333188345792e-06,0.999997092616235,30,1656,"cell periphery","CC",0.00815112686722778
"GO:0016021","GO:0016021",1.00547006378895e-05,0.999996888351096,26,1277,"integral component of membrane","CC",0.00861544206086586
"GO:0070160","GO:0070160",1.08868143715159e-05,0.999999554330443,5,38,"tight junction","CC",0.00870654834671364
"GO:0031224","GO:0031224",1.50375785394564e-05,0.99999522821967,26,1306,"intrinsic component of membrane","CC",0.0112744245099574
"GO:0016327","GO:0016327",1.87998485823232e-05,0.999999514720724,4,23,"apicolateral plasma membrane","CC",0.0132660578584441
"GO:0045216","GO:0045216",3.43078034163522e-05,0.999997374988412,6,79,"cell-cell junction organization","BP",0.0228642449879201
"GO:0070161","GO:0070161",3.80586413061028e-05,0.99999532184047,8,162,"anchoring junction","CC",0.0240290242688426
"GO:0043296","GO:0043296",6.51405842595789e-05,0.999996003667764,5,55,"apical junction complex","CC",0.0390713224388954
"GO:0016020","GO:0016020",7.58842976767122e-05,0.999969226805907,39,2655,"membrane","CC",0.0433480016633257
"GO:0061028","GO:0061028",8.32210848055808e-05,1,2,2,"establishment of endothelial barrier","BP",0.045378187878534
"GO:0005506","GO:0005506",0.000140695523713574,0.999982394070369,7,129,"iron ion binding","MF",0.0733818914116539
"GO:0001885","GO:0001885",0.000206377309605413,0.999999433971676,2,3,"endothelial cell development","BP",0.0952193156164051
"GO:0003158","GO:0003158",0.000206377309605413,0.999999433971676,2,3,"endothelium development","BP",0.0952193156164051
"GO:0045446","GO:0045446",0.000206377309605413,0.999999433971676,2,3,"endothelial cell differentiation","BP",0.0952193156164051
"GO:0005215","GO:0005215",0.00108173793022237,0.999643440116274,15,731,"transporter activity","MF",0.48061215596102
"GO:0019637","GO:0019637",0.00160607117406713,0.999577806430638,10,386,"organophosphate metabolic process","BP",0.675738444293172
"GO:0043169","GO:0043169",0.00163357910007519,0.999382541606827,18,1014,"cation binding","MF",0.675738444293172
